DDP,DB Commodity Short ETN due April 1,NASDAQ
30.59,30.54,30.59,30.37
30.71,30.71,30.71,30.71
31.17,31.36,31.74,31.17
31.40,31.46,32.02,31.40
32.01,33.63,34.05,32.01
32.68,32.70,33.07,32.33
32.85,32.29,32.85,31.03
32.00,31.97,32.00,31.97
31.52,31.46,31.52,31.26
31.16,31.19,31.25,29.87
31.34,31.07,31.34,31.07
30.60,31.09,31.09,26.91
31.33,31.33,31.33,31.33
32.18,31.49,32.18,31.33
31.25,31.13,31.75,30.74
30.71,30.62,31.04,30.61
31.09,31.17,31.28,31.00
31.17,31.17,31.17,31.17
31.17,31.17,31.17,31.17
30.67,30.29,30.67,30.19
30.37,29.99,30.37,29.99
30.00,30.00,30.00,30.00
29.94,30.23,30.30,29.94
30.23,30.23,30.23,30.23
30.23,30.23,30.23,30.23
30.11,30.49,30.49,30.07
30.65,30.65,30.65,30.65
31.26,31.26,31.26,31.26
31.63,31.08,31.63,31.08
31.16,31.13,31.16,30.73
31.18,31.09,31.18,31.09
30.61,31.03,31.03,30.61
31.11,31.00,31.11,30.03
31.90,32.08,32.20,31.87
32.08,32.08,32.08,32.08
31.39,31.41,31.41,31.39
33.23,33.18,33.23,33.01
33.28,33.62,34.15,33.06
34.17,33.75,34.49,33.75
32.70,32.78,33.15,32.67
32.76,33.94,33.94,32.71
33.98,33.78,34.13,33.56
34.05,35.41,36.32,34.05
35.50,35.79,36.37,35.06
36.19,35.40,36.19,34.64
35.09,34.75,35.28,33.87
38.05,33.70,38.05,33.40
33.05,34.00,34.82,33.05
33.00,33.00,33.00,32.33
32.25,32.97,32.97,31.22
31.41,31.83,32.24,31.41
32.36,32.35,32.41,30.96
31.50,31.19,31.54,30.92
31.12,31.58,31.82,31.12
31.76,31.38,31.76,31.38
31.85,31.54,31.85,31.29
32.81,32.15,32.81,32.15
32.50,32.21,32.50,32.20
32.21,30.95,32.21,30.85
30.70,30.70,30.70,30.70
30.33,30.80,30.95,30.33
30.44,30.02,30.44,29.71
29.51,30.00,30.50,29.51
30.10,30.25,31.07,30.10
31.60,30.75,31.60,30.75
30.70,30.70,31.49,30.70
30.83,30.61,31.20,30.40
30.30,30.27,30.30,30.11
30.01,30.02,30.02,30.01
30.17,30.10,31.44,29.97
30.10,30.10,30.10,30.10
30.10,30.10,30.10,30.10
30.10,30.10,30.10,30.10
30.10,30.10,30.10,30.10
30.10,30.10,30.10,30.10
29.80,29.50,29.80,29.30
30.00,29.96,30.19,29.96
31.33,30.67,31.33,30.03
30.67,30.67,30.67,30.67
30.06,31.36,31.36,30.06
31.14,31.14,31.14,31.14
31.40,31.40,31.40,31.40
31.40,31.40,31.40,31.40
31.40,31.40,31.40,31.40
