CADC,China Advanced Construction Materials Group,NASDAQ
22.20,21.84,22.56,21.84
21.72,21.66,22.32,21.36
21.60,21.84,22.20,21.60
21.84,22.04,22.68,21.24
22.08,22.08,22.68,21.96
22.80,22.17,22.80,21.96
22.44,24.24,24.84,22.08
24.24,27.60,28.20,24.00
30.00,26.40,30.84,25.32
27.00,25.92,27.00,24.60
24.72,26.16,26.40,24.00
25.32,25.56,25.80,24.24
26.04,24.48,26.04,24.12
24.60,23.40,24.96,22.56
23.52,23.28,24.96,22.56
23.40,21.12,23.40,20.88
21.36,20.88,21.60,19.92
20.40,19.20,21.12,19.20
19.80,20.40,21.48,18.72
20.16,18.72,21.00,18.72
18.72,19.80,19.80,18.60
19.92,22.08,22.44,19.56
21.84,23.16,24.12,21.60
23.04,23.04,23.64,22.09
23.88,22.44,24.36,22.44
22.20,22.20,22.56,21.84
22.20,21.72,22.20,21.60
22.08,21.12,23.04,21.00
21.00,21.84,22.56,21.00
21.72,21.60,22.06,21.00
21.39,19.80,22.20,19.32
19.80,20.64,20.64,19.20
20.76,21.12,21.84,20.76
21.72,21.96,23.04,21.72
21.96,21.84,22.08,21.72
21.84,21.60,22.20,21.60
21.60,20.52,21.96,20.40
20.64,21.48,21.48,20.52
21.36,21.60,21.84,21.36
21.72,22.08,22.44,21.60
22.56,22.56,23.04,22.56
22.32,22.92,23.28,22.32
23.16,23.16,23.52,23.16
23.16,22.68,24.00,22.56
23.16,22.80,23.40,22.80
22.56,22.20,22.68,22.20
22.20,23.40,24.00,22.20
24.00,22.32,24.00,21.84
22.32,21.60,22.44,21.60
21.24,21.72,22.08,20.52
21.72,21.60,22.08,20.40
21.00,20.28,21.00,19.80
19.80,19.80,20.52,19.80
19.80,19.20,19.92,18.72
19.32,18.12,19.44,18.12
18.24,18.60,19.08,18.24
19.08,18.12,19.08,18.12
18.24,18.00,18.24,17.64
18.12,18.48,19.20,17.64
18.48,19.20,19.20,18.48
18.72,18.48,18.72,18.48
18.00,19.20,19.56,18.00
19.44,19.32,19.44,18.00
19.08,19.20,20.40,18.24
