AGU,Agrium Inc. Common Stock,NASDAQ
84.08,85.40,85.92,83.91
85.18,84.61,86.79,84.22
85.41,86.32,86.98,84.77
85.33,83.21,85.70,82.57
82.58,81.62,84.22,80.04
82.34,79.75,82.55,79.49
81.90,82.98,83.73,80.87
83.72,85.32,85.59,83.09
85.26,83.71,85.77,83.59
82.14,84.19,84.29,81.62
84.95,83.58,85.12,83.29
83.72,85.34,86.00,83.11
86.06,87.27,87.69,85.79
88.58,88.21,88.89,87.44
86.60,87.76,87.95,86.22
87.49,86.32,87.52,85.68
88.09,89.21,89.74,87.77
88.92,87.74,89.05,86.87
88.87,88.63,89.27,88.12
87.57,89.80,89.95,87.27
88.54,87.08,88.88,86.45
86.64,87.23,88.88,86.53
87.41,88.65,89.29,87.41
89.13,88.67,90.33,88.35
89.37,89.38,90.00,88.93
88.88,88.08,88.99,87.46
89.43,90.33,90.93,89.43
90.95,90.71,91.00,89.75
91.33,91.82,92.25,90.42
91.94,92.56,92.91,91.88
91.62,92.40,93.49,91.57
92.33,91.04,92.40,90.57
90.47,88.93,90.74,88.57
89.01,88.59,90.00,88.41
87.37,87.38,87.85,85.02
89.07,87.97,89.09,86.81
87.15,85.62,87.89,85.59
87.76,87.05,88.46,83.21
85.96,82.72,85.96,81.46
83.42,80.78,84.45,77.84
77.77,75.21,79.65,74.00
75.74,80.55,80.70,75.13
79.33,79.94,82.48,77.68
81.52,82.65,83.92,81.52
83.98,83.68,84.10,82.80
84.89,84.07,84.99,82.97
83.04,83.17,83.60,82.03
82.40,82.94,84.27,82.31
80.05,78.91,80.05,77.91
77.44,76.64,79.96,76.57
77.68,77.03,78.50,76.79
78.02,80.32,80.85,76.96
80.38,81.16,81.42,79.67
82.19,80.62,82.55,80.08
80.29,83.42,83.54,79.05
84.57,85.92,86.00,84.41
85.76,87.75,88.08,85.66
88.68,85.96,89.07,84.97
86.01,86.56,87.15,85.39
84.72,86.83,87.47,84.42
84.75,86.56,86.66,83.90
87.26,88.33,88.54,86.72
87.79,87.34,90.17,87.00
86.64,85.76,87.59,84.85
85.03,84.58,86.31,82.80
84.70,85.07,85.41,83.97
85.48,86.45,87.34,84.38
87.30,87.36,87.50,86.01
87.71,87.19,87.75,86.88
85.64,84.67,86.17,83.84
84.77,82.37,84.99,82.24
82.50,79.03,83.54,79.00
74.45,72.57,75.03,71.69
70.80,71.84,72.87,70.55
72.99,72.82,72.99,68.58
76.55,74.64,77.42,74.21
74.96,70.91,75.06,70.63
72.25,70.30,72.25,69.40
68.18,66.66,68.86,66.60
65.62,64.09,66.96,63.97
62.44,64.97,65.35,60.15
65.40,68.18,68.50,64.90
68.23,71.04,71.93,68.23
71.51,68.71,71.99,67.89
70.27,71.97,73.00,70.27
71.80,73.64,74.10,70.53
73.95,73.78,74.99,72.25
73.29,73.91,74.47,72.27
75.13,75.83,75.99,74.56
75.37,73.65,75.37,73.02
73.32,74.87,75.41,71.95
75.33,73.02,75.35,72.70
73.53,74.70,75.06,72.62
75.50,76.45,76.51,75.10
77.08,79.00,79.27,77.05
78.93,77.67,79.55,77.31
78.63,79.95,80.21,77.25
82.81,82.25,85.25,81.25
83.29,83.92,85.13,83.17
82.85,82.29,83.74,82.05
79.04,78.79,80.04,77.27
80.19,81.41,82.19,79.98
82.70,79.93,82.88,77.89
79.12,78.40,79.45,77.68
78.51,80.31,80.39,78.22
80.42,80.47,81.09,79.68
78.67,77.37,79.17,76.89
78.02,77.88,78.13,75.53
78.23,78.66,79.00,77.40
77.86,77.67,78.68,77.00
77.35,76.57,77.83,76.53
75.94,75.47,77.47,75.35
75.16,70.35,75.37,69.76
71.33,70.58,72.50,70.37
69.24,70.02,70.37,68.31
70.32,69.52,70.32,68.92
68.11,67.14,68.71,67.14
66.62,65.87,67.41,65.68
68.12,67.88,68.69,67.39
68.31,67.41,68.60,67.17
71.07,69.99,71.19,69.14
69.99,70.48,71.47,69.99
71.41,68.75,71.51,68.54
69.80,69.61,70.65,68.29
69.71,70.89,71.83,69.37
70.63,71.99,72.34,69.66
71.73,69.07,71.84,68.86
68.84,68.72,69.05,67.53
67.50,67.11,67.75,66.09
67.31,65.17,67.85,64.57
64.81,64.49,65.39,63.39
65.42,64.79,65.50,64.47
65.11,65.34,66.03,64.68
65.47,65.61,65.88,64.93
66.77,67.15,67.41,66.63
67.54,67.88,68.04,67.02
67.47,68.75,68.97,67.39
69.25,69.23,69.69,68.90
69.19,68.06,69.26,67.88
68.67,66.81,68.81,66.51
66.20,66.87,67.21,65.73
66.92,67.11,67.71,66.86
68.46,71.12,71.51,68.43
70.97,71.61,72.08,70.65
71.48,71.77,72.86,71.40
71.74,69.98,71.99,69.90
70.35,71.14,71.17,69.84
72.70,73.87,74.10,72.40
73.99,74.29,74.42,72.86
73.06,74.29,74.96,72.18
73.52,77.31,77.40,73.33
77.85,77.49,78.79,77.01
77.32,78.48,78.63,77.21
79.11,79.75,80.45,78.49
79.47,80.01,80.84,79.34
79.66,80.50,81.00,78.89
79.66,79.13,79.66,78.45
78.84,80.68,81.00,78.25
80.58,80.15,81.59,79.86
79.60,81.09,81.53,79.50
80.28,80.06,80.30,78.88
80.50,80.26,81.05,79.18
81.24,82.10,82.75,81.00
82.64,82.20,82.96,81.64
82.80,83.28,83.62,82.48
83.40,83.01,83.82,82.57
83.06,81.20,83.52,80.85
83.34,82.98,84.15,81.31
83.64,82.81,84.12,82.59
81.96,81.41,82.11,81.14
82.21,82.00,82.84,81.56
81.77,81.40,82.15,80.63
81.65,80.86,81.92,80.22
80.62,82.25,82.69,80.48
82.64,82.96,83.36,82.26
83.44,85.07,85.60,83.35
84.99,85.30,85.91,84.55
85.15,84.52,85.75,84.39
84.75,83.69,84.85,83.50
83.21,83.97,84.27,82.83
84.10,85.53,86.00,83.95
86.18,85.16,86.62,84.46
85.35,85.98,86.10,85.18
85.84,85.23,86.10,84.82
84.72,82.72,84.98,82.22
81.10,80.26,81.16,79.85
80.50,80.97,81.31,79.90
81.84,83.41,83.57,81.84
84.11,83.24,84.28,83.19
83.29,82.19,83.84,81.98
82.59,83.25,83.26,81.75
83.22,82.15,83.41,81.70
82.56,83.15,83.70,82.44
83.80,86.07,86.98,83.35
86.35,86.74,87.51,86.00
87.55,88.27,89.20,87.13
89.42,87.75,89.87,87.70
86.94,86.79,87.48,86.17
86.05,86.50,86.80,85.47
87.62,88.31,88.57,87.14
88.42,87.70,89.90,87.62
87.67,86.75,87.68,85.33
86.36,86.05,86.64,84.85
87.03,86.37,87.31,85.94
86.46,88.27,88.72,86.05
88.35,87.85,88.66,87.16
86.21,87.39,87.85,86.21
87.33,87.23,88.81,86.92
86.33,85.99,86.51,85.67
85.64,84.17,86.40,83.41
84.81,84.76,85.21,84.34
85.15,86.38,87.14,85.14
86.33,85.34,86.52,85.17
85.78,84.76,85.82,84.13
85.27,85.61,86.17,85.27
85.20,85.03,85.58,84.62
84.84,85.79,86.53,84.56
86.40,86.58,87.09,86.16
85.33,85.77,85.91,84.56
86.01,85.17,86.32,85.03
86.80,88.19,88.50,86.72
87.68,88.30,88.50,87.00
88.58,88.80,89.25,88.06
88.33,87.90,88.59,87.68
87.78,88.65,89.35,87.32
88.45,88.93,89.09,87.61
88.84,88.14,89.29,87.61
87.73,85.19,87.73,84.85
84.74,84.86,85.46,84.36
83.74,84.57,84.59,82.19
82.45,83.15,83.33,81.22
83.86,82.54,84.12,82.39
82.28,83.41,84.03,81.89
82.10,80.94,82.36,80.76
81.00,79.04,81.47,78.93
79.06,79.09,79.77,78.28
79.35,77.18,79.60,77.12
77.74,76.48,78.14,76.22
77.05,79.74,80.29,76.87
78.94,78.35,79.71,78.07
77.90,79.16,79.42,76.97
79.12,80.71,80.79,78.86
80.47,79.28,80.55,78.92
