INVT,Inventergy Global,NASDAQ
0.83,0.81,0.85,0.80
0.80,0.80,0.80,0.80
0.81,0.77,0.81,0.77
0.77,0.80,0.87,0.75
0.77,0.78,0.79,0.76
0.79,0.79,0.79,0.79
0.80,0.82,0.82,0.80
0.80,0.90,0.96,0.75
0.90,0.90,0.90,0.90
0.92,0.89,0.92,0.89
0.84,0.84,0.84,0.84
0.87,0.89,0.90,0.87
0.86,0.83,0.86,0.83
0.80,0.82,0.82,0.80
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.83,0.82
0.82,0.85,0.85,0.82
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.82,0.85,0.89,0.82
0.85,0.86,0.86,0.85
0.82,0.83,0.83,0.80
0.80,0.87,0.87,0.80
0.87,0.87,0.87,0.87
0.80,0.88,0.88,0.76
0.84,0.85,0.85,0.84
0.89,0.89,0.89,0.89
0.89,0.89,0.89,0.89
0.81,0.81,0.81,0.81
0.84,0.85,0.85,0.84
0.84,0.82,0.84,0.82
0.81,0.80,0.81,0.80
0.80,0.80,0.81,0.80
0.80,0.80,0.80,0.80
0.84,0.88,0.90,0.84
0.95,1.10,1.28,0.77
1.05,1.05,1.20,0.95
1.01,1.09,1.09,0.95
1.01,0.94,1.01,0.90
0.90,0.90,0.90,0.90
0.90,0.94,0.98,0.90
0.82,0.80,0.90,0.79
0.83,0.78,0.88,0.78
0.81,0.79,0.81,0.79
0.85,0.85,0.90,0.84
0.83,0.80,0.83,0.80
0.91,0.94,0.94,0.78
0.80,0.80,0.96,0.80
0.80,0.85,0.90,0.80
0.80,0.78,0.80,0.78
0.92,0.92,1.15,0.85
0.91,0.90,1.00,0.82
0.95,0.85,0.95,0.85
0.81,0.84,0.98,0.81
0.83,0.85,0.87,0.79
0.82,0.82,0.90,0.75
0.80,0.79,0.80,0.79
0.80,0.80,0.80,0.79
0.79,0.83,0.83,0.67
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.86,0.77,0.87,0.75
0.85,0.85,0.85,0.85
0.82,0.89,0.90,0.82
0.82,0.81,0.82,0.81
0.81,0.81,0.81,0.81
0.76,0.79,0.82,0.72
0.79,0.79,0.79,0.79
0.68,0.80,0.85,0.68
0.80,0.70,0.80,0.70
0.70,0.79,0.84,0.68
0.81,0.75,0.81,0.69
0.70,0.72,0.79,0.70
0.70,0.70,0.70,0.70
0.71,0.76,0.76,0.71
0.70,0.70,0.74,0.69
0.74,0.70,0.74,0.69
0.73,0.73,0.73,0.73
0.73,0.73,0.82,0.71
0.78,0.72,0.82,0.70
0.77,0.85,1.00,0.77
0.85,0.85,0.95,0.85
0.86,0.85,0.86,0.84
0.85,0.85,0.89,0.85
0.85,0.82,0.85,0.77
0.80,0.80,0.82,0.79
0.83,0.83,0.83,0.83
0.82,0.82,0.88,0.80
0.80,0.80,0.80,0.80
0.84,0.89,0.95,0.84
0.89,0.93,0.93,0.89
0.96,0.97,0.99,0.92
0.96,0.87,0.96,0.86
0.87,0.87,0.87,0.87
0.88,0.88,0.88,0.88
0.87,0.89,0.89,0.87
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.87,0.85,0.87,0.85
0.89,0.89,0.89,0.89
0.90,0.91,0.91,0.90
0.87,0.88,0.88,0.87
0.99,1.02,1.05,0.87
0.99,1.00,1.01,0.87
0.87,0.89,0.89,0.87
0.87,0.94,0.95,0.87
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.91,0.93,0.93,0.91
0.87,0.89,0.89,0.87
0.83,0.86,0.86,0.83
0.86,0.86,0.86,0.86
0.85,0.84,0.85,0.84
0.83,0.83,0.83,0.83
0.85,0.88,0.88,0.85
0.83,0.83,0.83,0.83
0.90,0.90,0.90,0.90
0.92,0.93,0.95,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.88,0.84,0.88,0.84
0.85,0.87,0.87,0.85
0.87,0.88,0.88,0.87
0.90,0.90,0.92,0.90
0.87,0.86,0.88,0.84
0.86,0.84,0.86,0.84
0.84,0.80,0.84,0.80
0.80,0.80,0.80,0.80
0.79,0.76,0.79,0.76
0.78,0.76,0.82,0.75
0.77,0.75,0.77,0.75
0.75,0.77,0.77,0.75
0.75,0.75,0.78,0.75
0.75,0.76,0.76,0.75
0.70,0.73,0.75,0.70
0.72,0.75,0.75,0.72
0.87,0.85,0.87,0.83
0.85,0.85,0.85,0.85
0.75,0.71,0.75,0.71
0.71,0.71,0.71,0.71
0.71,0.83,0.83,0.71
0.83,0.71,0.83,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.72,0.72,0.72,0.72
0.75,0.71,0.77,0.71
0.75,0.81,0.81,0.75
0.83,0.74,0.83,0.74
0.80,0.71,0.80,0.71
0.78,0.73,0.81,0.73
0.79,0.80,0.82,0.79
0.83,0.79,0.83,0.79
0.76,0.76,0.76,0.76
0.82,0.83,0.83,0.82
0.82,0.81,0.82,0.81
0.79,0.73,0.79,0.73
0.81,0.81,0.81,0.81
0.80,0.75,0.80,0.75
0.78,0.73,0.78,0.71
0.77,0.71,0.77,0.71
0.71,0.71,0.76,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.74,0.74,0.71
0.80,0.78,0.80,0.71
0.78,0.78,0.78,0.78
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.78,0.79,0.80,0.77
0.80,0.78,0.80,0.78
0.80,0.74,0.80,0.74
0.75,0.75,0.75,0.75
0.74,0.86,0.86,0.74
0.82,0.78,0.86,0.78
0.78,0.83,0.83,0.78
0.83,0.87,0.87,0.83
0.87,0.85,0.88,0.85
0.85,0.85,0.85,0.85
0.85,0.83,0.85,0.78
0.83,0.83,0.83,0.83
0.82,0.83,0.83,0.82
0.85,0.85,0.85,0.84
0.85,0.83,0.85,0.82
0.83,0.83,0.83,0.83
0.82,0.82,0.82,0.82
0.81,0.82,0.84,0.81
0.83,0.83,0.83,0.83
0.82,0.82,0.82,0.82
0.82,0.89,0.89,0.82
0.90,0.80,0.90,0.80
0.80,0.80,0.80,0.78
