WSO,Watsco,NASDAQ
58.23,59.75,59.85,58.21
59.36,59.98,60.43,58.88
60.29,59.65,61.29,59.15
59.78,58.26,60.57,58.04
57.14,56.50,57.83,56.30
55.13,56.56,56.72,54.61
57.36,58.04,58.05,57.04
57.67,56.73,58.11,56.51
56.24,55.59,56.75,54.77
54.79,55.92,55.97,54.48
56.27,57.25,57.44,55.83
57.81,58.24,58.94,56.99
58.73,59.02,59.23,58.00
57.98,57.37,58.58,56.92
56.39,56.69,57.06,55.39
56.86,55.77,57.62,55.77
55.92,53.71,56.00,53.67
52.25,52.24,53.57,51.45
52.21,52.99,53.79,52.08
53.51,54.38,54.47,52.42
55.56,55.41,57.15,55.06
55.50,53.06,55.76,52.95
54.21,53.45,54.31,51.91
52.11,51.10,52.87,51.01
50.79,51.31,52.75,50.61
50.82,54.44,54.59,50.45
54.63,55.03,55.44,53.66
55.26,56.53,57.34,55.21
56.45,55.84,57.15,55.82
56.75,57.92,58.18,56.73
57.30,59.26,59.46,57.24
59.00,59.67,60.40,58.63
59.25,59.37,59.63,58.51
59.68,58.54,59.68,57.87
58.01,57.88,58.34,57.04
58.12,59.31,59.70,57.65
59.35,59.81,60.45,59.07
58.00,56.46,59.34,55.62
57.24,57.41,57.45,55.82
58.02,59.60,60.50,58.02
59.46,59.91,60.90,58.18
60.62,60.35,60.86,58.76
62.03,63.80,64.36,61.67
63.56,63.07,63.96,62.18
62.37,61.66,63.32,61.46
59.88,59.62,61.28,59.13
60.52,61.06,61.17,59.90
61.92,63.17,63.46,61.03
62.68,62.86,63.10,61.79
62.83,62.38,62.93,60.96
63.02,63.57,63.72,61.75
61.93,61.05,62.51,60.65
61.91,61.80,62.47,61.18
62.42,63.29,63.54,62.33
63.22,62.93,63.46,62.59
62.77,63.99,64.28,62.30
63.58,63.58,64.95,63.34
63.26,62.16,63.76,61.84
62.20,62.95,63.31,61.89
61.72,61.04,62.27,60.24
61.03,60.32,61.30,60.00
59.69,58.49,59.76,57.72
58.14,57.90,59.19,57.88
59.51,61.04,61.12,59.51
61.33,61.61,62.05,60.50
63.76,63.50,65.00,63.00
63.63,62.39,63.76,62.32
63.24,63.00,63.44,62.71
63.95,64.41,65.24,63.71
64.35,64.33,65.22,64.30
64.08,65.09,65.32,63.32
64.51,64.08,65.49,63.97
64.29,65.17,65.98,64.14
64.61,65.26,65.27,63.77
65.57,63.33,66.00,62.77
62.96,61.85,63.33,61.80
62.61,62.48,62.80,61.46
62.72,64.15,64.47,62.72
64.45,63.56,65.33,63.35
64.77,66.58,66.62,64.72
66.52,66.60,66.90,65.69
66.86,66.23,66.90,65.98
66.47,66.35,66.56,66.02
66.24,66.57,67.25,66.09
66.40,65.13,66.71,65.09
65.47,66.00,66.24,65.34
65.70,65.66,66.40,65.54
70.43,66.22,70.43,66.12
65.98,66.76,67.21,65.94
66.61,67.99,68.08,65.77
67.85,67.61,68.16,67.01
67.75,67.25,67.75,66.62
68.11,68.04,68.25,67.18
67.44,68.50,68.75,67.18
68.90,68.04,68.90,67.90
67.70,67.82,68.00,67.30
68.50,68.02,68.89,67.63
67.38,67.01,67.47,66.39
67.33,68.46,68.85,66.82
68.41,67.30,68.41,66.84
67.17,67.53,68.32,66.93
67.35,68.57,68.89,67.00
68.62,69.65,69.85,68.25
70.25,69.68,70.71,69.46
69.31,69.70,70.09,69.31
69.34,69.43,69.77,68.58
69.93,68.97,69.97,68.61
69.50,70.30,70.41,69.18
70.47,69.92,71.16,69.88
70.95,71.74,72.59,70.53
71.29,71.55,72.24,71.05
71.43,70.91,71.59,70.60
71.01,70.91,71.23,69.88
70.83,71.38,71.64,70.67
70.58,70.52,71.25,70.25
70.99,71.94,72.20,70.99
71.45,72.20,72.28,71.28
72.44,73.10,74.13,71.05
72.15,72.94,73.58,70.49
72.68,72.74,73.53,72.68
72.98,72.55,73.59,72.18
72.61,71.64,72.83,71.23
71.89,72.94,73.07,71.72
73.03,72.62,73.20,72.48
72.02,72.51,73.33,71.46
72.57,71.85,72.68,71.16
71.88,71.39,72.98,71.39
71.63,71.87,72.66,71.31
71.93,71.72,73.04,71.44
71.45,72.04,72.17,71.20
71.23,69.73,71.41,69.56
69.97,70.51,70.72,69.44
71.14,70.24,71.14,69.97
70.01,71.01,71.27,69.97
71.03,71.85,72.13,71.01
72.49,72.84,72.85,71.54
73.15,74.55,75.64,73.06
74.67,74.11,74.79,73.29
74.18,74.97,75.47,74.02
75.21,74.32,75.47,74.18
73.93,72.94,73.93,72.36
73.08,73.20,73.45,72.49
72.65,72.07,72.65,71.21
72.13,72.86,72.94,71.36
73.50,73.59,73.78,73.30
73.71,73.44,74.11,73.36
73.60,73.59,73.62,72.56
72.95,73.57,73.97,72.81
74.16,74.04,74.57,73.57
74.10,74.09,74.21,73.27
73.88,74.48,74.61,73.50
74.07,74.12,74.48,73.63
74.13,74.10,74.49,73.97
73.05,73.58,73.91,72.69
73.65,72.17,73.91,71.47
72.81,72.30,73.32,71.90
72.04,72.20,72.44,71.56
72.02,70.97,72.33,70.79
71.44,71.39,72.20,70.97
71.67,71.03,72.18,70.98
70.91,71.01,71.40,70.51
71.10,70.01,71.24,69.60
70.79,73.00,73.48,70.54
71.83,71.31,72.12,70.55
71.53,72.94,73.21,71.32
73.42,73.49,73.78,73.23
73.51,73.95,74.17,73.29
74.18,74.60,75.16,73.56
74.43,71.95,75.18,71.72
72.57,72.93,74.08,71.80
72.65,74.10,74.18,72.31
74.02,73.18,74.02,72.86
72.70,72.68,72.85,71.86
72.26,72.62,73.81,72.11
72.14,73.94,74.00,72.14
73.25,74.14,74.70,73.18
74.65,74.26,74.87,73.69
73.89,73.94,74.90,73.74
73.27,73.01,73.84,72.87
73.40,72.37,73.40,72.22
72.58,71.91,73.15,71.86
72.07,69.28,72.07,69.26
69.22,66.39,69.42,66.33
66.74,68.89,68.90,66.01
68.94,69.33,69.60,68.72
68.72,70.98,71.15,68.57
71.19,71.68,71.70,70.62
71.59,71.70,72.08,71.12
72.47,73.39,73.75,72.32
72.64,73.00,73.05,71.52
73.00,73.61,74.02,72.13
70.84,72.28,72.44,70.84
72.26,70.64,72.81,70.20
70.33,71.08,71.23,69.49
71.63,73.57,73.59,71.42
73.98,73.22,74.54,73.14
73.23,73.49,73.57,72.91
74.00,72.53,74.09,72.44
72.84,73.40,73.60,72.39
73.39,72.65,73.91,72.25
72.96,72.78,73.59,71.82
73.10,73.17,73.58,72.61
72.89,73.63,73.91,72.46
74.08,74.20,74.58,73.87
74.31,73.46,74.39,73.26
73.54,71.92,73.75,71.71
72.15,72.67,72.79,71.94
71.69,70.28,71.89,69.97
70.53,71.27,71.70,70.00
71.90,72.42,72.73,71.89
71.93,73.32,73.32,71.32
74.66,73.80,74.66,73.46
73.54,74.15,74.53,72.99
74.24,76.86,76.91,74.04
76.85,77.83,78.09,76.37
77.00,77.15,77.48,76.71
76.78,77.54,77.55,76.60
77.97,76.45,78.95,76.03
76.60,75.34,76.73,74.51
74.56,75.28,75.74,73.47
75.68,78.06,78.07,75.20
77.63,77.32,78.11,76.38
77.99,77.82,78.23,76.84
77.56,78.83,79.12,77.56
79.01,79.22,80.10,78.39
78.75,78.60,79.57,78.06
77.22,78.63,79.41,76.75
78.63,75.62,78.63,75.43
67.98,66.40,70.40,64.13
67.31,67.50,68.80,66.42
67.50,67.85,68.37,67.02
67.79,67.70,68.41,67.50
67.31,67.94,68.17,66.89
68.02,67.35,68.45,67.08
67.33,68.89,69.12,66.92
69.93,70.46,70.82,69.19
70.64,69.66,71.16,69.59
70.13,70.85,71.07,70.05
70.87,71.20,71.50,70.20
71.04,71.21,71.44,70.19
70.88,71.54,71.77,70.27
71.63,71.94,72.15,70.66
72.11,72.89,73.73,72.07
72.79,72.81,72.97,72.23
72.63,74.10,74.35,72.43
74.12,75.46,75.56,73.66
75.46,75.50,75.79,74.62
75.57,75.55,76.76,75.26
75.59,74.54,75.59,74.29
74.65,74.15,74.71,73.73
74.12,74.72,75.60,74.03
74.93,74.66,75.54,74.36
74.66,75.06,75.93,74.46
75.15,75.34,75.98,74.57
75.08,75.04,75.46,74.61
75.79,75.46,76.41,74.94
75.46,75.58,75.99,74.37
75.46,76.09,76.54,75.28
76.38,78.22,78.37,76.38
78.52,78.00,78.55,77.53
77.86,77.00,78.19,76.90
77.12,77.19,77.85,76.76
77.22,77.85,78.65,77.22
78.09,78.02,79.06,76.81
78.33,78.59,79.58,78.11
78.38,78.36,78.84,77.87
78.23,78.01,78.61,77.54
77.98,78.87,79.31,77.98
78.45,78.23,79.19,77.89
79.14,78.69,79.67,78.10
78.29,77.34,78.29,77.00
77.62,77.28,79.47,77.13
77.35,75.99,77.57,75.81
76.42,75.65,76.52,75.36
75.30,75.79,76.16,75.17
76.90,76.80,77.93,76.24
77.21,76.92,77.79,76.48
77.32,78.62,78.76,76.98
78.65,79.70,79.96,78.35
79.98,80.12,80.34,79.43
80.02,79.34,80.20,78.98
79.28,77.62,79.28,76.82
77.58,77.24,78.85,77.06
71.70,69.07,71.98,68.58
69.29,68.46,69.77,68.07
68.29,68.71,68.97,68.15
68.50,69.04,69.22,68.21
68.88,70.45,70.78,68.88
70.35,69.94,71.24,69.63
69.78,68.76,69.91,68.38
68.95,69.02,70.12,68.62
68.57,68.42,68.79,67.92
68.85,68.41,68.85,68.03
66.50,67.52,67.76,64.85
67.68,67.94,68.44,67.50
68.51,68.35,69.36,68.03
68.35,70.95,71.22,67.88
71.37,69.73,71.37,69.67
69.75,70.88,71.03,69.53
71.26,70.91,71.48,70.47
70.07,70.80,71.62,69.58
70.83,70.00,71.14,69.36
69.59,69.63,71.26,69.11
69.65,70.67,72.06,69.64
70.49,70.04,71.49,69.95
70.14,69.05,70.85,69.00
68.81,68.66,69.24,68.27
68.45,70.04,70.13,68.07
70.98,72.01,72.09,70.97
71.78,71.84,72.68,71.47
71.95,71.85,72.25,71.51
71.95,72.82,72.84,71.50
72.65,71.77,72.69,71.07
71.87,71.11,72.08,71.10
70.86,71.47,71.81,69.76
71.91,71.87,72.52,70.93
71.92,71.69,72.38,71.52
72.12,71.07,72.12,70.98
71.05,71.88,72.14,70.73
71.89,71.49,72.15,70.80
71.14,71.89,72.00,71.04
71.89,70.80,72.00,70.67
70.75,70.65,71.17,70.21
71.20,71.92,72.02,70.81
72.32,72.47,73.45,71.88
72.46,72.01,72.77,71.94
71.60,72.39,72.62,71.30
72.56,72.67,72.80,72.00
72.90,75.13,75.24,72.76
75.13,75.15,76.29,74.79
75.06,76.20,76.47,75.06
75.68,75.86,76.12,74.82
75.53,75.08,75.53,74.88
74.98,74.54,75.36,74.47
74.39,74.09,74.72,73.38
73.76,73.57,74.48,73.55
73.40,74.90,75.29,73.25
76.83,77.12,77.17,76.18
77.40,77.67,78.32,77.02
78.02,77.99,78.43,77.60
77.41,77.53,78.13,77.10
77.46,76.89,77.76,76.22
77.30,77.31,77.47,76.91
77.84,76.99,77.84,76.38
76.21,74.55,76.21,73.68
74.55,75.25,75.59,74.18
74.00,74.88,75.41,74.00
74.69,74.13,75.17,74.03
74.59,75.52,75.69,74.08
75.47,76.15,76.43,74.98
76.18,76.32,76.51,75.06
76.13,75.15,76.70,75.04
74.92,75.59,76.12,74.92
75.84,75.62,76.33,74.83
75.97,76.25,76.60,75.63
76.24,76.29,76.88,76.05
76.26,75.61,76.59,75.23
76.36,75.35,76.36,75.11
75.84,75.90,76.20,75.38
75.33,74.79,75.50,74.13
75.22,74.68,75.71,74.63
74.48,75.23,75.40,74.48
75.24,74.18,75.24,73.61
74.43,75.06,75.28,74.43
75.23,74.76,75.23,74.42
74.92,75.43,75.47,74.36
75.59,76.08,76.57,75.36
75.25,77.61,77.92,74.51
77.87,79.13,79.30,77.75
79.05,79.61,80.22,78.92
79.46,77.86,79.71,77.73
77.63,76.95,77.88,76.67
77.20,78.11,78.46,77.20
78.42,76.09,78.46,76.07
76.66,76.86,77.67,76.12
76.78,78.43,78.92,76.68
78.43,77.87,78.96,77.87
77.23,77.41,77.95,76.09
77.15,77.63,77.76,76.44
78.28,78.54,79.09,77.98
78.61,78.93,79.37,78.54
78.73,79.75,79.98,78.73
80.17,81.08,81.12,79.88
80.82,80.75,82.03,80.31
80.50,80.32,80.66,79.48
80.27,80.66,81.47,80.22
80.87,81.44,81.61,80.70
81.55,82.35,82.44,81.50
82.77,82.38,83.92,82.18
82.47,82.67,82.90,81.54
83.25,84.25,84.52,82.70
83.68,83.90,84.78,83.52
84.00,83.86,84.06,83.40
84.09,83.12,84.43,82.59
83.72,83.74,83.92,83.02
82.98,83.44,83.61,82.42
83.60,84.18,84.48,83.04
83.77,82.91,84.29,82.39
83.35,82.35,83.78,81.93
82.77,80.63,82.89,80.54
80.87,81.17,81.35,80.45
79.82,82.12,82.20,79.49
82.38,82.98,83.09,81.78
83.09,82.10,83.09,81.60
82.50,83.16,83.37,82.24
83.08,82.65,84.11,81.89
82.10,81.52,82.14,80.53
81.01,77.72,81.35,77.65
78.52,79.75,79.91,78.52
78.89,78.87,79.03,77.09
78.94,80.31,81.98,78.94
80.47,80.95,81.17,79.54
81.34,81.64,81.94,80.60
81.98,82.28,82.58,81.45
82.77,82.88,83.43,82.09
83.16,83.37,84.39,83.01
83.35,83.22,83.63,82.40
83.61,84.04,84.34,83.40
84.00,84.38,84.42,83.41
84.00,82.70,84.32,81.36
83.09,83.64,84.35,82.98
84.25,85.63,85.91,84.04
85.77,85.60,86.18,84.97
85.76,86.20,86.43,84.98
86.04,86.68,86.85,85.75
86.62,85.94,86.86,85.84
86.17,86.27,86.37,85.80
86.24,85.83,86.55,85.40
85.92,86.83,86.87,85.89
86.61,86.99,87.16,86.38
86.87,86.89,87.54,86.22
87.45,88.43,88.63,87.13
88.20,88.28,89.10,87.98
88.13,89.16,89.43,87.98
89.14,87.66,90.41,87.07
87.50,88.34,89.12,87.38
87.65,87.77,88.13,86.71
88.91,87.69,89.33,87.07
87.06,86.84,87.55,85.80
86.74,86.95,87.24,86.25
86.33,87.25,88.35,86.33
87.25,87.96,88.24,86.55
88.01,86.36,88.51,85.57
86.26,84.69,86.41,84.50
84.67,84.84,85.36,83.89
85.41,85.42,85.75,84.43
85.85,85.47,85.98,84.95
84.22,85.25,85.61,83.02
85.74,84.59,86.25,84.39
84.59,86.95,87.13,84.01
86.82,85.93,87.33,85.49
86.36,86.22,86.61,84.93
86.44,86.97,87.53,85.80
