EMITF,Elbit Imaging Ltd. - Ordinary Shares,NASDAQ
58.00,56.20,58.00,55.60
56.60,57.60,57.80,55.00
54.80,54.80,54.80,54.80
54.40,54.40,54.40,54.40
55.20,55.60,55.60,55.20
54.40,54.20,54.40,54.20
53.00,53.00,53.00,53.00
53.60,51.60,53.60,51.60
50.00,50.60,50.60,50.00
51.20,52.20,52.20,46.60
50.00,50.00,50.53,50.00
48.00,48.00,48.00,48.00
49.80,46.60,49.80,46.60
42.42,46.60,46.60,42.42
46.80,47.60,48.00,46.80
43.20,46.88,47.96,43.20
38.20,45.60,46.00,38.20
46.00,44.00,46.00,44.00
nan,44.80,nan,nan
45.60,47.77,47.80,45.60
45.20,45.00,46.00,45.00
nan,45.00,nan,nan
45.00,45.60,46.80,45.00
45.00,44.40,45.00,42.20
45.00,42.40,45.00,42.40
nan,42.40,nan,nan
45.20,43.20,45.20,43.20
44.60,45.20,45.20,44.60
46.80,46.60,46.80,45.40
47.40,48.00,48.00,47.40
46.40,46.40,46.40,46.40
46.20,46.20,46.20,46.20
46.40,47.40,47.40,45.20
47.60,46.67,47.60,46.60
46.40,46.40,47.40,46.40
43.20,46.80,46.80,43.20
46.80,47.80,47.80,46.80
48.40,46.80,48.40,46.80
43.00,43.00,44.52,43.00
43.00,43.00,43.00,42.00
42.80,44.20,44.20,40.60
41.60,42.60,42.60,41.60
43.60,45.20,45.20,43.60
41.60,44.20,44.20,40.40
nan,42.00,nan,nan
48.00,48.80,51.60,48.00
48.80,48.00,49.00,48.00
52.80,52.00,52.80,51.60
53.60,52.00,54.40,52.00
52.20,52.20,52.20,50.80
53.00,52.08,53.00,52.08
53.60,55.60,55.60,53.40
56.00,56.00,56.00,56.00
nan,54.60,nan,nan
56.60,55.40,56.80,53.00
53.40,54.00,54.12,53.40
53.40,55.80,56.00,53.40
53.20,54.20,54.20,48.40
49.00,51.61,54.00,49.00
49.40,51.00,51.00,49.40
51.60,53.40,53.40,49.00
53.60,53.60,53.60,53.60
nan,53.20,nan,nan
55.20,56.00,56.00,55.20
56.02,56.02,56.02,56.02
51.80,55.40,57.60,50.80
56.80,56.40,56.80,56.40
55.60,55.40,55.60,55.20
55.40,56.20,56.20,55.40
56.80,57.60,57.60,56.80
56.00,56.20,56.20,53.40
56.20,57.80,57.80,50.60
49.60,50.60,50.60,47.80
46.80,46.00,46.80,46.00
44.00,47.60,47.60,44.00
44.60,47.60,47.60,44.60
nan,44.00,nan,nan
40.60,45.80,45.80,40.60
40.60,40.80,42.00,40.60
41.60,41.60,41.60,41.60
40.80,40.80,40.80,40.80
41.40,41.60,41.80,41.40
41.80,42.40,42.40,41.80
nan,42.00,nan,nan
41.80,41.80,41.80,41.80
41.00,41.00,41.00,41.00
41.00,42.20,44.60,41.00
42.00,43.20,43.20,41.00
nan,42.20,nan,nan
43.20,43.20,43.20,43.20
nan,42.20,nan,nan
41.00,42.20,43.00,41.00
42.20,42.00,42.20,42.00
41.20,41.80,41.80,41.00
45.60,51.80,73.60,44.20
52.60,49.80,58.00,49.60
50.40,50.00,52.58,50.00
50.20,47.80,50.20,47.80
47.80,47.02,47.80,47.02
45.00,43.80,45.00,43.80
45.84,43.80,46.00,43.80
44.20,43.80,46.00,43.80
43.40,43.40,43.40,43.40
45.60,45.20,45.60,43.40
45.00,45.00,45.00,45.00
nan,45.00,nan,nan
47.00,47.00,47.00,47.00
46.60,47.03,47.85,44.00
nan,45.00,nan,nan
44.00,44.00,44.00,44.00
44.00,46.60,46.60,43.23
nan,46.60,nan,nan
46.40,46.00,46.40,46.00
45.60,45.60,45.60,45.60
46.20,47.00,47.00,46.20
45.20,45.80,45.80,45.20
50.40,51.00,51.00,50.40
50.40,49.00,50.40,47.20
48.40,48.00,48.60,47.80
nan,48.40,nan,nan
48.00,50.00,50.00,46.20
48.20,48.20,50.00,48.20
nan,49.80,nan,nan
47.20,46.20,47.80,45.58
nan,47.80,nan,nan
48.80,48.00,48.80,48.00
47.00,47.00,47.00,47.00
51.60,47.40,51.60,47.00
nan,47.00,nan,nan
44.20,44.20,44.20,44.20
48.00,48.00,48.00,48.00
47.40,45.80,47.40,44.40
47.20,44.40,47.20,44.40
43.80,46.00,47.40,42.80
44.80,44.80,44.80,44.80
45.60,46.00,46.00,45.20
44.00,44.00,44.00,44.00
44.00,44.20,44.40,43.20
43.80,44.20,44.20,43.80
44.40,45.60,45.60,44.40
45.18,45.18,45.18,45.18
nan,44.40,nan,nan
N/A,N/A,N/A,N/A
49.20,50.60,50.60,48.80
51.60,49.00,51.60,49.00
49.00,46.20,49.00,46.20
N/A,N/A,N/A,N/A
46.87,46.87,46.87,46.87
48.00,48.00,48.00,48.00
N/A,N/A,N/A,N/A
46.20,47.80,48.00,46.20
47.20,47.00,47.20,47.00
47.80,47.48,47.80,47.48
46.60,46.60,46.60,46.60
46.40,48.00,48.00,46.40
47.80,47.80,47.80,47.80
N/A,N/A,N/A,N/A
45.00,45.00,45.00,45.00
47.20,47.80,47.80,47.20
45.20,45.60,45.60,45.20
47.00,47.00,47.00,46.20
45.80,45.88,45.88,45.80
45.00,45.05,45.05,45.00
45.00,45.00,45.00,45.00
45.00,45.72,45.72,45.00
N/A,N/A,N/A,N/A
40.80,42.82,44.97,40.80
37.60,36.00,37.60,35.20
37.00,37.00,38.40,37.00
37.00,36.40,38.40,36.40
36.40,36.40,36.40,36.40
36.40,34.60,39.40,34.20
35.00,38.02,38.02,34.60
35.40,35.40,35.40,35.40
37.00,37.02,37.02,37.00
37.00,37.00,37.00,37.00
37.40,36.00,37.40,34.80
36.00,36.20,36.20,36.00
35.20,35.20,35.20,35.20
35.20,35.00,36.60,35.00
35.00,34.40,35.20,34.40
34.80,34.40,36.00,34.40
34.20,34.20,34.40,34.20
34.20,34.20,34.92,34.20
34.88,34.00,34.88,34.00
34.00,34.60,34.60,33.00
34.00,33.00,34.00,33.00
34.00,32.28,34.00,32.28
32.00,30.20,32.00,30.20
31.20,32.00,33.20,30.60
32.00,32.00,33.34,32.00
33.60,31.60,35.80,30.80
32.40,32.20,32.40,30.00
31.40,28.60,31.40,28.60
34.40,33.00,34.40,30.80
35.00,34.40,35.20,33.40
35.20,36.40,37.40,35.00
37.00,40.20,41.00,37.00
44.00,50.00,52.40,44.00
50.00,46.60,50.00,46.20
66.20,64.00,66.20,61.00
76.00,70.00,76.00,68.00
61.00,60.00,67.00,58.00
65.00,63.20,65.60,60.60
57.00,47.20,57.00,47.00
50.00,54.38,54.38,48.20
54.60,52.20,54.60,51.20
52.20,52.60,52.80,51.20
52.51,52.40,52.51,52.40
50.40,48.00,50.96,46.60
50.20,47.80,50.20,47.80
