ULTI,The Ultimate Software Group,NASDAQ
81.41,81.49,81.74,79.77
81.23,82.44,82.53,80.94
82.94,82.25,84.18,81.91
81.19,80.47,81.76,80.32
80.21,80.33,81.06,79.20
78.50,77.02,78.98,76.82
77.08,79.41,79.69,76.22
79.02,81.73,81.88,79.02
82.02,82.31,82.65,81.72
83.27,82.36,83.92,82.26
82.41,83.94,84.27,82.30
84.64,82.68,85.20,82.57
82.78,82.60,82.94,81.99
82.25,82.03,82.91,81.50
81.90,85.11,85.12,81.70
84.83,87.40,87.60,84.69
86.77,89.10,89.93,86.27
89.77,90.99,91.41,89.56
90.35,89.81,90.89,89.46
89.75,86.04,89.86,85.82
86.41,86.41,86.58,85.69
85.23,86.30,87.10,84.49
86.17,87.05,87.89,85.48
87.00,87.35,87.95,86.30
86.78,86.60,87.10,85.71
88.57,88.93,89.28,87.45
89.13,90.79,90.81,88.81
90.93,92.13,92.16,89.65
91.55,91.66,92.06,90.60
90.50,89.49,90.72,88.44
89.27,88.86,89.57,88.03
89.49,86.96,89.59,86.82
87.13,87.35,87.95,86.66
87.00,87.16,87.59,85.97
87.46,88.20,88.82,87.46
88.30,87.51,88.52,87.00
88.29,88.38,88.90,87.00
88.34,88.61,90.31,87.79
88.67,89.17,89.72,88.24
88.60,89.33,89.88,87.97
87.66,88.52,89.61,86.62
88.92,89.34,90.69,87.98
89.75,90.98,91.53,88.83
92.07,91.79,92.63,90.33
92.00,93.41,94.00,91.66
93.72,92.37,94.15,91.00
92.24,89.47,92.81,89.43
95.89,92.31,99.09,90.63
89.01,89.60,91.32,88.80
89.70,92.41,93.46,89.70
92.20,93.84,94.17,91.77
94.12,95.44,95.91,93.31
94.78,94.81,96.24,94.09
94.45,94.70,94.96,93.38
94.52,94.99,95.26,93.71
94.90,93.96,94.94,92.78
94.23,93.76,94.25,92.19
93.05,94.33,94.66,91.94
94.05,96.10,96.59,90.00
95.78,97.83,98.20,95.72
97.88,95.74,98.23,95.43
95.72,95.26,96.99,94.63
94.83,95.91,96.64,94.60
95.74,96.72,97.04,95.43
96.22,96.02,96.75,94.80
99.47,98.94,99.74,97.56
98.99,97.61,100.83,97.11
97.98,98.04,98.30,96.92
97.25,98.07,98.55,96.01
98.49,99.19,99.60,97.66
99.34,99.95,100.00,97.14
99.13,101.09,101.82,99.13
101.34,104.15,106.40,99.51
104.87,101.02,104.87,100.55
101.96,100.74,103.66,100.65
100.90,98.98,101.59,98.90
99.65,98.91,99.95,98.40
99.31,98.08,99.39,97.63
98.73,100.41,100.49,97.94
100.17,100.88,102.80,99.61
100.68,100.43,100.80,99.71
100.29,100.25,100.92,98.01
99.37,100.06,100.43,99.30
101.05,99.00,101.31,98.97
98.51,98.40,99.23,96.71
98.70,98.14,100.50,97.50
98.16,97.76,99.20,97.36
98.02,101.04,101.78,98.02
100.41,102.10,102.44,100.41
102.30,102.87,103.05,102.00
103.59,101.76,103.59,101.00
102.18,102.04,102.76,101.36
102.68,104.99,105.00,101.55
104.46,101.82,105.00,101.67
101.24,100.90,102.00,100.01
100.87,98.94,101.19,98.46
98.94,99.89,100.32,98.80
100.44,99.48,101.19,98.32
100.18,103.05,104.81,100.18
103.00,102.58,104.15,101.16
103.20,101.75,103.20,100.88
101.84,99.71,101.84,98.92
99.91,99.40,99.91,97.99
98.58,96.41,99.41,95.35
95.78,96.10,96.60,93.16
95.42,97.22,97.58,94.97
97.97,96.29,97.97,95.87
96.81,96.67,97.40,95.45
96.39,96.93,97.36,94.65
95.53,101.36,101.97,95.21
98.11,95.60,99.00,94.82
96.56,95.16,97.97,95.11
95.23,95.73,95.81,94.62
96.33,94.50,96.50,94.34
93.53,91.96,93.53,91.55
92.13,87.95,92.13,87.47
87.80,86.48,88.37,86.31
87.01,87.85,88.09,86.03
87.66,87.88,89.11,87.21
87.82,85.75,88.48,85.30
86.24,87.00,87.17,85.08
86.84,87.88,88.14,86.07
88.50,88.12,89.98,87.31
87.74,89.54,90.00,87.74
89.80,89.73,90.17,89.35
90.59,91.58,92.56,89.94
91.50,92.38,92.73,91.17
92.03,92.17,92.87,91.71
91.63,93.16,93.37,90.54
94.31,95.83,96.28,94.31
95.96,94.51,96.25,94.29
95.42,94.98,95.42,94.22
94.86,95.22,95.84,94.30
95.34,91.12,95.34,90.55
91.27,91.99,92.91,90.89
92.00,92.21,93.06,91.26
92.50,92.32,92.93,91.61
92.72,93.32,93.80,91.49
93.51,93.64,94.56,92.32
93.45,91.94,94.00,91.57
91.56,92.54,93.36,90.98
92.67,94.50,94.51,92.25
94.63,96.58,97.83,94.17
96.83,97.56,98.31,96.26
97.34,96.40,97.91,95.77
95.73,95.60,97.11,94.75
95.40,94.69,95.40,93.02
95.05,93.44,95.20,92.52
93.68,93.25,93.68,92.20
92.59,93.23,94.15,92.19
93.03,94.41,94.49,92.96
96.57,99.09,99.09,95.74
98.83,96.00,98.97,95.70
96.50,96.36,97.12,95.36
95.41,96.14,96.71,94.52
95.77,95.18,96.64,95.01
95.57,98.47,99.41,95.57
99.00,99.70,100.00,98.17
99.91,99.81,100.48,99.50
99.61,100.28,100.46,99.53
99.46,97.82,99.91,97.67
97.56,96.81,98.42,96.57
97.00,97.06,97.50,96.45
96.18,95.20,96.21,93.84
94.91,94.55,95.22,93.92
94.73,94.76,95.81,94.05
94.38,96.35,96.60,94.06
96.43,98.16,98.23,96.43
98.16,98.82,99.95,97.61
99.66,101.00,101.11,98.40
100.54,101.68,102.76,99.90
101.24,101.54,102.10,100.55
101.53,101.49,102.24,101.00
100.53,99.75,101.41,99.23
99.91,99.84,100.72,98.69
97.50,94.58,97.81,92.14
94.42,94.40,94.67,93.26
94.52,95.28,96.08,94.52
94.96,95.11,95.35,94.15
95.22,94.69,95.75,94.54
95.07,95.27,95.33,94.68
94.85,95.90,96.06,94.44
96.50,95.99,97.29,95.84
96.14,95.88,96.40,94.71
95.80,96.09,96.69,95.63
95.87,95.71,96.68,94.72
96.00,96.82,96.97,95.57
96.97,97.08,98.01,96.75
97.57,97.08,98.53,96.46
97.08,98.27,99.33,97.00
98.45,98.27,99.32,97.49
97.78,98.75,99.88,97.50
98.44,99.98,100.54,97.81
100.76,100.68,101.00,99.51
100.13,100.67,101.44,100.11
100.87,100.59,100.87,99.63
101.24,101.77,101.99,100.10
101.21,101.04,101.60,100.63
100.85,101.79,102.03,99.84
101.98,101.85,102.97,101.66
101.86,102.38,103.14,100.36
102.38,101.96,102.93,101.15
100.79,101.57,102.51,100.18
101.50,100.51,102.00,99.65
101.07,102.60,102.90,100.43
102.05,102.40,102.94,101.14
103.13,101.79,103.13,101.50
102.08,102.05,102.34,100.25
102.22,101.74,102.65,101.13
105.05,102.97,105.05,100.28
103.14,104.16,104.65,102.25
103.67,102.64,104.73,102.31
103.00,101.89,103.25,101.56
102.14,100.38,102.43,100.22
100.38,100.39,100.71,99.64
99.01,97.50,99.15,96.31
97.88,98.91,99.04,97.26
99.16,97.20,99.16,97.13
97.75,99.72,100.48,97.61
99.52,98.66,100.09,98.22
98.35,98.09,98.58,96.71
97.61,95.45,98.48,95.04
96.26,97.65,97.75,95.75
97.20,96.79,97.38,96.34
97.20,94.42,97.22,94.04
94.40,93.55,95.95,93.48
93.34,92.84,93.84,92.15
93.43,92.66,94.18,91.66
92.07,92.65,93.30,91.59
92.80,93.61,95.34,92.75
93.16,94.63,95.05,92.85
94.95,96.08,96.43,94.35
96.25,96.59,97.27,94.78
103.90,108.61,113.35,100.81
108.18,108.03,110.15,107.70
108.84,110.81,111.61,107.87
110.73,109.94,110.95,109.72
110.19,109.93,110.33,108.79
109.40,109.95,110.27,109.23
109.51,109.24,110.00,108.69
109.42,112.00,112.88,109.42
111.41,111.15,112.17,111.12
110.96,114.52,115.43,110.96
113.89,114.75,115.60,113.54
115.10,115.60,116.67,115.10
115.77,115.79,116.41,114.06
115.12,114.80,115.98,114.67
115.14,114.30,115.60,113.94
114.96,111.65,116.44,110.86
112.77,111.90,112.77,110.30
111.39,111.36,111.39,110.13
112.57,113.46,113.74,112.36
112.66,111.76,112.66,110.07
111.84,112.77,113.12,111.39
112.51,111.30,112.69,111.25
111.35,109.86,111.61,108.79
109.84,110.54,111.43,108.85
110.60,111.11,111.97,110.54
110.82,113.78,113.82,110.66
114.73,113.44,114.73,112.13
114.05,113.30,114.05,112.75
111.99,112.15,113.46,110.93
112.70,112.59,112.98,111.33
112.34,113.26,113.58,111.92
113.45,111.85,113.69,111.41
112.42,113.17,113.80,111.61
