VIS,Vanguard Industrials ETF - DNQ,NASDAQ
68.15,68.04,68.15,67.59
68.39,67.99,68.39,67.81
67.67,68.19,68.24,67.67
68.10,68.91,69.01,68.10
68.99,69.30,69.32,68.97
69.29,69.11,69.29,68.88
69.26,68.97,69.67,68.85
68.79,68.66,68.99,68.42
68.58,68.12,68.58,67.96
67.94,68.36,68.55,67.82
68.56,68.20,68.56,68.17
68.11,68.09,68.34,68.00
68.03,68.07,68.20,67.78
67.78,67.46,67.78,67.36
67.89,67.86,68.14,67.60
67.82,67.48,67.82,66.96
67.39,67.27,67.52,67.08
67.59,68.81,68.82,67.59
69.15,69.39,69.54,69.11
69.21,69.10,69.47,69.04
69.21,69.38,69.57,69.06
69.37,69.72,69.78,69.37
69.60,70.42,70.69,69.25
70.67,70.93,71.41,70.67
70.86,70.50,70.86,70.35
70.26,70.45,70.45,70.14
70.45,70.69,70.85,70.21
70.11,70.13,70.13,69.75
70.52,70.01,70.52,69.96
69.45,69.84,70.02,69.45
69.97,68.91,70.00,68.91
68.81,68.60,68.94,68.35
69.00,69.28,69.41,68.68
69.02,69.07,69.27,68.66
69.00,69.33,69.88,69.00
69.66,69.34,69.66,69.11
69.37,69.62,69.79,69.23
69.72,70.12,70.12,69.72
70.49,70.23,70.80,70.07
69.96,70.08,70.20,69.88
70.10,69.23,70.12,69.21
69.23,68.72,69.25,68.63
69.09,68.97,69.47,68.95
68.86,68.94,69.36,68.76
68.81,69.44,69.45,68.81
69.95,70.13,70.15,69.73
70.17,70.67,70.71,70.17
70.32,70.82,71.05,70.32
70.32,69.56,70.32,69.37
69.46,69.36,69.78,68.71
68.38,68.76,68.87,68.21
68.70,68.40,69.07,68.30
68.92,68.56,68.98,68.19
68.64,68.60,68.89,68.28
68.78,69.11,69.44,68.78
69.19,70.36,70.41,69.19
70.69,69.75,70.69,69.74
69.69,70.12,70.13,69.69
70.31,70.90,71.21,70.31
70.11,69.34,70.11,68.91
69.34,68.56,69.40,68.56
68.23,68.67,69.23,68.23
68.93,68.90,69.14,68.73
68.63,68.61,69.32,68.60
68.81,67.02,68.87,66.85
66.98,66.95,67.28,66.65
67.02,67.14,67.17,66.45
67.88,68.44,68.45,67.88
68.38,68.52,68.56,68.04
68.52,68.69,68.83,68.52
69.00,69.51,69.51,68.92
69.32,69.63,69.67,69.20
69.67,69.52,70.00,69.52
69.25,70.11,70.14,68.94
70.42,70.54,70.74,70.14
70.55,70.50,70.63,70.32
70.67,69.83,70.81,69.81
69.85,70.10,70.33,69.76
70.27,70.66,70.91,69.86
70.36,70.77,70.77,70.23
70.95,71.08,71.22,70.71
71.00,71.46,71.54,71.00
71.78,71.70,72.05,71.54
72.14,71.78,72.33,71.73
71.79,71.52,72.09,71.34
71.47,71.47,71.78,71.38
71.62,72.09,72.09,71.62
72.22,73.06,73.07,72.12
73.48,72.75,73.48,72.72
71.29,71.61,71.61,71.03
70.39,71.19,71.24,70.34
70.91,70.94,71.08,70.84
71.00,70.68,71.20,70.61
70.78,70.63,70.81,69.90
70.31,69.91,70.56,69.83
69.85,71.25,71.25,69.68
72.87,72.95,73.13,72.48
73.21,73.03,73.51,72.86
73.32,73.57,73.63,73.11
73.53,73.28,73.53,73.05
73.12,72.82,73.24,72.54
73.05,73.41,73.56,73.05
73.99,73.74,73.99,73.24
73.62,73.53,73.62,73.34
73.79,73.66,73.79,73.42
73.42,73.91,73.97,73.31
73.76,73.59,73.76,73.46
73.92,74.39,74.54,73.86
74.85,75.04,75.08,74.47
75.17,75.35,75.36,74.85
75.47,75.36,75.47,75.08
75.33,75.85,76.10,75.33
76.18,76.28,76.32,75.90
76.62,76.28,76.62,76.04
76.31,76.47,76.49,76.03
76.50,75.79,76.50,75.71
75.66,75.63,75.85,75.44
76.02,76.40,76.45,76.00
76.14,75.58,76.14,75.54
76.18,76.36,76.46,75.97
76.12,76.43,76.43,76.01
76.48,76.36,76.84,75.83
76.56,76.67,76.72,76.41
76.67,76.67,76.73,76.49
76.88,76.98,77.10,76.79
77.54,77.49,77.71,77.29
77.28,77.60,77.68,77.13
77.66,77.70,77.92,77.53
