EWM,iShares MSCI Malaysia Index Fund,NASDAQ
57.88,57.24,58.08,57.20
57.88,57.92,58.02,57.76
58.16,59.04,59.12,58.16
58.96,58.52,58.96,58.36
58.56,58.24,58.56,58.00
58.32,58.68,58.76,58.20
58.36,58.40,58.48,58.12
58.16,58.00,58.32,57.72
58.08,58.28,58.48,58.08
57.60,57.68,57.82,57.32
57.60,57.60,57.76,57.48
57.64,57.84,57.86,57.48
57.84,58.00,58.08,57.64
57.92,58.16,58.16,57.76
58.12,58.04,58.12,57.84
57.92,58.04,58.44,57.92
58.16,58.36,58.36,58.04
58.20,58.16,58.40,58.04
58.12,57.88,58.40,57.80
57.92,58.12,58.36,57.92
58.04,57.92,58.24,57.68
57.52,57.52,57.84,57.16
58.00,57.96,58.08,57.84
57.44,57.72,58.04,57.44
57.00,56.92,57.24,56.72
56.32,56.00,56.44,56.00
55.16,54.88,55.52,54.84
55.12,54.76,55.28,54.76
54.64,54.36,54.86,54.20
54.60,55.28,55.32,54.52
55.36,55.16,55.60,54.96
54.68,54.64,54.72,54.02
55.04,54.84,55.08,54.56
54.56,54.68,54.68,54.46
55.36,55.52,55.80,55.32
55.40,55.56,55.68,55.20
55.64,55.52,55.76,55.16
54.64,54.44,54.98,54.40
54.44,54.52,54.64,54.00
54.36,54.68,54.72,54.28
55.00,55.80,55.88,55.00
56.56,55.92,56.72,55.88
55.20,55.48,55.52,55.04
55.80,54.92,55.92,54.84
55.44,55.48,55.66,55.28
55.44,55.44,55.80,55.28
55.32,55.40,55.60,55.06
55.72,56.36,56.44,55.64
55.96,56.16,56.34,55.76
56.68,56.88,57.14,56.68
56.96,56.84,57.02,56.44
56.20,55.20,56.26,55.08
55.80,55.92,56.08,55.68
55.44,55.40,55.60,55.24
55.48,55.40,55.64,55.14
55.88,55.72,56.10,55.68
55.48,55.68,55.68,55.20
56.52,57.08,57.08,56.40
56.60,56.80,56.86,56.36
57.04,57.28,57.48,56.88
57.00,56.80,57.12,56.68
56.52,56.20,56.52,56.08
56.44,56.56,56.72,56.40
57.04,56.48,57.08,56.18
56.84,57.00,57.14,56.64
56.64,56.60,56.92,56.44
56.72,57.24,57.32,56.72
57.04,57.40,57.56,57.04
57.44,57.80,57.88,57.12
57.84,58.24,58.36,57.64
58.24,58.36,58.44,58.00
57.80,57.60,57.96,57.50
56.80,56.92,57.20,56.56
57.00,56.60,57.08,56.42
57.04,57.20,57.36,56.84
57.48,57.64,57.84,57.36
57.40,57.68,57.76,57.24
57.60,57.60,57.80,57.40
57.84,57.64,58.16,57.42
57.96,57.64,58.12,57.52
57.32,57.40,57.68,57.04
58.28,58.48,58.56,58.14
58.32,58.48,58.72,58.28
58.52,58.28,58.76,58.28
58.20,58.36,58.54,58.08
58.40,58.44,58.68,58.36
58.08,58.40,58.50,58.06
58.24,58.28,58.40,58.04
58.64,58.56,58.64,58.32
58.44,58.56,58.88,58.36
58.60,58.64,58.84,58.36
58.28,58.44,58.44,58.12
58.40,58.52,58.60,58.16
58.64,58.52,59.04,58.48
58.28,58.84,58.92,58.24
58.92,58.68,58.92,58.48
58.72,58.88,59.04,58.56
58.72,58.48,58.72,58.36
58.12,58.36,58.48,58.08
58.36,58.16,58.36,58.04
58.08,57.80,58.12,57.76
58.52,58.12,58.52,57.84
58.36,58.48,58.56,58.08
58.12,58.04,58.12,57.74
57.28,57.44,57.64,57.24
57.72,57.80,57.88,57.52
57.48,57.24,57.48,57.12
57.48,57.52,57.68,57.28
57.68,57.96,57.96,57.60
58.08,59.12,59.20,58.08
59.68,60.12,60.32,59.64
59.92,59.20,59.92,59.20
59.12,58.92,59.36,58.92
59.04,59.36,59.38,58.96
58.28,58.68,58.76,58.16
58.76,58.60,58.84,58.60
58.08,57.92,58.12,57.84
58.36,57.64,58.36,57.64
57.60,57.48,57.60,57.20
58.08,58.40,58.52,57.92
58.64,58.28,58.68,58.20
59.08,59.04,59.52,58.98
59.60,59.52,59.72,59.28
59.48,59.28,59.52,59.16
59.64,59.88,59.96,59.56
60.16,60.00,60.36,59.88
59.48,59.56,59.64,59.40
59.56,59.32,59.56,59.16
59.32,59.00,59.40,58.96
59.64,59.48,59.64,59.36
59.48,59.44,59.52,59.18
59.60,59.58,59.68,59.30
59.88,59.84,60.04,59.72
60.12,60.48,60.48,60.08
60.12,60.24,60.46,60.04
60.00,59.48,60.08,59.36
59.56,59.76,60.04,59.44
59.40,59.40,59.52,59.08
59.80,59.68,60.04,59.68
60.24,60.28,60.48,60.04
59.96,60.20,60.24,59.88
60.40,59.92,60.56,59.76
60.56,60.76,60.84,60.40
60.60,60.04,60.60,59.88
59.96,59.96,60.00,59.64
59.84,60.00,60.08,59.68
59.48,59.20,59.48,58.88
59.36,59.04,59.62,58.96
59.12,59.00,59.36,58.96
59.36,59.24,59.38,59.16
59.04,59.24,59.32,58.86
59.12,58.56,59.20,58.40
58.32,58.64,58.80,58.28
58.60,58.68,58.76,58.28
58.96,59.16,59.16,58.80
58.88,59.04,59.10,58.76
58.88,58.84,58.92,58.60
58.72,59.04,59.04,58.64
58.72,58.78,58.80,58.48
58.20,57.92,58.28,57.80
58.44,58.52,58.56,57.80
58.32,58.64,58.64,58.24
58.48,58.76,58.76,58.36
58.52,58.40,58.68,58.36
58.32,58.44,58.56,58.28
58.48,58.64,58.84,58.44
58.60,58.88,58.92,58.58
58.60,58.76,58.80,58.50
58.96,59.32,59.36,58.92
59.48,59.68,59.84,59.48
59.92,59.76,59.96,59.60
59.56,59.36,59.68,59.24
59.08,59.40,59.40,59.08
59.44,59.44,59.44,59.06
58.88,59.40,59.52,58.84
59.72,59.20,59.72,59.20
59.64,59.80,59.84,59.44
58.80,58.96,59.04,58.68
59.08,59.32,59.36,59.04
59.28,59.16,59.40,59.08
59.52,59.40,59.64,59.24
59.48,59.60,59.92,59.48
59.88,60.52,60.60,59.88
60.92,60.92,61.04,60.40
60.88,60.80,61.12,60.76
60.72,61.00,61.08,60.64
60.96,61.00,61.00,60.72
60.68,60.52,60.80,60.44
60.72,60.84,61.04,60.72
61.00,61.24,61.32,60.94
61.08,60.96,61.08,60.80
60.92,61.04,61.04,60.68
60.88,61.32,61.40,60.88
61.20,61.40,61.40,60.96
61.60,61.52,61.68,61.40
61.04,61.12,61.24,60.94
59.04,59.08,59.16,58.88
59.08,59.04,59.16,58.92
59.16,58.88,59.16,58.88
59.08,58.92,59.08,58.64
58.56,58.12,58.56,57.96
58.20,58.60,58.68,58.20
58.04,58.12,58.16,57.88
57.84,57.80,57.88,57.64
57.88,57.88,57.96,57.64
57.80,57.64,58.00,57.56
58.12,57.96,58.24,57.88
57.08,57.28,57.28,56.92
57.12,57.24,57.40,56.96
57.32,57.60,57.68,57.28
57.60,57.64,57.76,57.52
57.64,57.84,58.08,57.60
58.24,58.24,58.32,57.92
58.00,58.12,58.20,57.96
57.88,57.84,58.20,57.72
57.48,57.44,57.50,57.28
57.48,56.96,57.48,56.96
56.94,56.72,57.00,56.60
57.16,57.20,57.38,57.08
57.92,56.96,57.94,56.96
57.40,57.40,57.52,57.20
57.76,58.20,58.24,57.40
58.16,58.48,58.64,58.04
58.16,58.48,58.52,58.16
58.28,58.48,58.56,58.08
58.88,58.84,59.00,58.68
58.92,58.88,58.96,58.76
58.84,59.12,59.16,58.84
59.16,59.00,59.16,58.84
59.20,58.92,59.20,58.80
58.76,58.72,58.96,58.64
58.48,58.28,58.60,58.24
58.12,58.08,58.32,58.00
57.56,57.60,57.64,57.32
57.28,57.16,57.36,57.08
57.52,57.28,57.60,57.08
57.88,57.88,57.92,57.76
57.60,57.68,57.88,57.60
58.00,58.00,58.16,57.92
58.60,58.32,58.76,58.20
58.92,59.28,59.40,58.76
59.16,59.48,59.52,59.16
59.84,59.88,59.92,59.64
59.68,59.24,59.76,59.20
60.28,60.04,60.30,60.00
60.36,60.44,60.56,60.16
60.44,60.56,60.76,60.36
60.56,61.52,61.60,60.46
61.48,61.44,61.56,61.12
61.52,62.00,62.28,61.52
62.48,62.40,62.64,62.32
62.76,62.72,62.80,62.52
62.32,61.52,62.32,61.40
61.92,61.20,62.00,61.12
61.96,62.00,62.20,61.88
62.28,62.12,62.36,61.92
62.28,62.04,62.36,61.96
62.16,62.12,62.24,62.00
61.92,61.88,61.96,61.56
61.64,61.92,62.16,61.64
61.80,62.16,62.24,61.76
62.24,62.52,62.68,62.20
62.72,62.64,62.72,62.36
62.40,62.96,63.20,62.40
62.84,63.28,63.28,62.56
63.16,62.84,63.28,62.68
62.48,62.72,62.72,62.24
62.44,62.60,62.76,62.40
65.96,66.56,66.76,65.96
67.00,67.12,67.20,66.80
67.20,67.16,67.42,67.16
66.80,66.00,66.80,65.80
66.60,66.00,66.60,65.88
66.84,66.92,67.08,66.72
66.72,67.20,67.20,66.72
66.48,66.72,66.72,66.32
65.96,65.96,66.16,65.80
66.00,66.04,66.08,65.80
66.32,66.52,66.64,66.32
66.80,66.72,66.88,66.52
66.56,66.00,67.18,65.92
65.32,65.80,65.88,65.32
65.48,65.16,65.48,65.12
65.92,65.64,65.92,65.48
65.40,65.20,65.40,64.96
65.12,64.92,65.44,64.88
64.68,64.02,64.84,64.00
64.12,65.04,65.12,64.08
65.04,64.64,65.04,64.48
64.68,64.00,65.06,64.00
64.12,64.60,64.68,64.04
64.60,64.80,64.92,64.20
64.56,63.88,64.56,63.72
63.36,63.32,63.64,63.12
63.84,62.96,63.84,62.80
62.92,63.72,63.80,62.48
63.80,63.40,63.92,63.24
63.80,63.48,63.88,63.30
63.28,63.54,63.64,63.08
