BIO,Bio-Rad Laboratories,NASDAQ
102.66,102.18,102.89,100.85
102.24,102.38,102.73,102.00
102.37,103.25,103.50,102.03
103.16,103.50,103.99,102.19
103.33,103.12,103.77,102.83
102.95,103.31,103.76,102.84
103.37,103.50,104.00,102.95
103.50,102.87,103.83,102.18
102.57,101.54,102.93,101.29
101.69,101.62,102.74,101.58
101.98,100.99,102.10,100.66
100.88,101.19,101.71,100.19
101.39,101.56,101.88,100.24
100.87,100.31,101.14,100.18
100.77,100.38,101.16,99.66
99.92,103.03,103.15,99.02
103.42,104.81,105.43,102.95
105.00,106.10,106.48,104.98
105.40,107.25,107.70,105.40
102.35,105.89,106.20,102.17
105.45,106.51,107.12,105.38
106.50,107.32,107.97,106.28
107.35,108.38,108.48,105.97
108.52,109.42,109.44,108.15
109.50,108.46,109.62,107.94
108.25,107.54,108.25,107.23
107.52,107.29,107.95,106.82
106.53,107.54,108.03,106.52
107.76,107.67,109.52,107.53
107.10,108.12,108.52,106.78
108.42,107.78,108.82,107.37
108.23,107.45,108.23,106.88
107.75,107.41,107.83,107.07
107.11,106.72,107.45,106.42
107.01,107.00,107.61,106.09
106.96,108.04,108.42,106.96
107.76,107.45,108.06,107.15
107.35,109.26,109.43,106.90
109.19,109.55,109.93,108.95
108.65,108.71,109.52,108.36
108.69,105.04,108.69,104.78
105.01,103.93,105.43,103.80
104.11,106.60,106.85,104.11
107.28,106.06,107.45,106.06
106.00,105.04,106.00,103.93
105.26,105.51,106.01,104.54
105.50,105.41,105.88,104.47
105.29,102.47,105.39,102.01
102.36,101.13,102.36,100.36
101.01,101.83,101.84,100.09
100.72,100.74,101.29,100.15
100.70,100.02,101.67,99.74
100.91,100.84,101.17,100.12
100.85,100.94,101.31,99.00
100.84,101.35,101.72,100.16
100.92,104.47,106.10,100.92
104.49,102.04,105.11,101.77
101.25,102.79,103.46,100.12
103.34,103.25,104.26,102.95
103.08,103.07,104.18,101.37
103.42,101.51,103.42,100.74
101.49,101.19,102.59,100.74
101.27,101.16,101.70,99.65
100.67,100.65,100.97,100.00
100.37,100.65,101.00,100.03
100.25,100.86,101.70,100.25
100.56,100.40,101.50,99.74
101.39,102.29,102.65,100.75
101.55,102.62,102.62,100.52
102.48,102.19,102.86,101.45
102.53,103.99,104.00,102.49
103.53,103.05,103.53,100.71
102.82,102.94,103.86,101.50
99.74,102.95,103.50,99.74
103.88,105.15,105.65,102.83
104.92,104.49,105.92,102.98
104.76,104.32,105.09,103.36
104.13,104.96,105.75,103.56
105.39,104.56,105.91,104.28
104.00,105.00,105.53,103.60
105.09,104.43,105.36,103.46
104.61,104.94,105.52,103.99
105.48,105.35,106.00,104.51
105.12,104.72,105.72,104.71
105.00,104.73,105.30,104.17
104.25,104.25,104.87,103.46
104.32,103.98,104.76,103.55
103.88,107.11,107.67,103.88
