OSIS,OSI Systems,NASDAQ
38.53,38.30,38.93,38.15
38.30,37.75,38.49,37.74
37.51,38.28,38.51,37.51
38.25,39.07,39.07,38.25
39.04,39.11,39.18,38.79
39.31,39.98,40.03,39.10
39.95,39.63,40.10,39.43
39.75,39.72,40.02,39.37
39.06,39.58,39.94,39.06
39.53,39.52,40.05,39.18
39.72,39.63,40.03,39.24
39.46,39.39,39.60,38.83
39.50,39.07,39.55,38.98
38.80,38.15,39.10,38.04
38.20,38.32,38.75,38.20
38.75,38.52,38.75,38.32
38.40,38.51,39.13,38.17
38.69,39.29,39.29,38.35
39.43,39.68,39.80,39.33
39.65,39.69,39.83,39.47
39.80,41.46,41.50,39.67
41.11,40.53,41.65,40.51
40.00,41.68,41.96,39.81
41.74,41.27,42.28,40.89
41.33,42.17,42.69,41.09
42.11,42.06,42.31,41.77
42.20,41.78,42.23,41.74
42.09,43.00,43.18,42.09
43.09,43.18,43.56,42.97
43.18,43.22,43.26,42.91
43.12,43.40,43.50,42.92
43.58,43.53,44.35,43.32
42.83,43.84,43.86,42.83
43.17,43.30,44.08,43.07
43.01,42.96,43.91,42.82
43.12,43.93,44.04,42.95
43.96,42.86,44.48,42.82
43.00,43.12,43.59,39.91
42.93,42.85,42.95,42.17
42.98,43.75,43.81,42.98
43.75,43.86,43.95,43.31
43.90,44.39,44.59,43.51
44.52,44.67,45.28,44.22
44.17,43.97,44.43,43.77
43.95,43.60,44.02,43.55
43.27,41.69,43.38,41.27
41.89,41.90,42.42,41.41
41.71,41.29,41.76,40.86
42.32,40.15,42.40,39.27
39.84,38.47,40.74,38.38
38.52,38.99,39.14,37.50
38.41,36.76,38.94,36.73
36.85,36.47,37.43,35.30
35.28,32.89,37.37,32.79
33.33,35.01,35.11,31.92
34.12,34.18,35.33,33.82
34.33,36.11,36.76,34.15
36.44,36.28,37.10,35.64
36.47,37.32,37.32,36.09
36.77,36.23,37.21,36.13
36.21,35.64,36.54,35.45
34.62,34.00,35.08,33.52
33.39,34.20,34.94,33.33
35.12,33.68,35.88,33.49
33.74,36.33,36.35,33.71
36.23,36.25,36.78,35.76
36.55,36.40,36.74,34.25
36.22,37.63,37.95,35.54
38.09,39.32,39.35,37.90
39.15,39.41,39.86,38.64
39.48,38.88,39.72,38.49
38.81,38.79,39.69,38.43
37.91,36.43,38.51,36.42
35.32,35.72,36.09,35.29
36.38,36.09,36.61,36.00
35.99,35.12,36.25,34.80
34.83,33.62,35.06,33.51
33.24,34.56,34.63,32.93
34.57,35.16,35.25,34.15
35.37,35.71,36.15,34.94
36.12,35.86,36.12,35.10
36.04,35.54,36.16,35.32
34.99,37.54,38.51,34.92
37.57,36.35,37.64,35.90
36.22,33.89,36.22,33.75
32.86,32.94,33.69,32.49
32.93,33.37,33.51,32.46
33.73,33.72,34.41,32.48
34.49,34.99,35.95,34.14
35.05,33.88,35.16,33.84
34.62,34.40,34.92,33.12
34.08,33.52,34.90,33.51
33.55,31.78,34.59,31.78
31.60,35.17,35.32,31.00
35.09,35.82,36.01,34.82
35.80,37.27,37.35,35.80
37.39,36.87,37.75,36.61
37.44,39.20,39.25,37.44
39.04,39.17,39.35,38.64
39.34,40.27,40.50,39.20
40.14,40.73,41.00,39.61
41.36,41.51,41.57,40.56
41.33,40.34,41.48,40.17
40.64,42.49,42.80,40.21
42.54,40.73,43.34,40.52
40.66,41.34,41.56,40.01
42.03,42.30,42.45,41.66
42.39,43.51,44.08,42.24
43.55,41.83,44.27,41.41
42.21,42.75,42.96,40.77
44.24,45.30,45.57,43.77
44.98,44.72,45.44,44.41
43.94,44.30,44.81,43.73
41.51,42.45,43.00,41.04
43.10,43.44,43.83,42.31
43.84,45.20,45.30,43.05
44.65,45.58,45.68,44.52
45.36,46.77,46.97,45.03
47.01,46.87,47.39,45.82
45.62,44.39,45.95,44.23
45.10,46.00,46.88,44.42
46.32,46.38,46.86,45.86
