ANAT,American National Insurance Company - Common Stock,NASDAQ
70.87,70.69,71.56,70.51
70.55,71.95,72.13,70.55
71.55,70.10,71.74,70.00
70.36,70.97,71.17,70.36
70.98,70.30,72.12,70.02
71.70,71.21,72.34,70.84
71.48,71.71,72.08,71.48
72.20,72.00,72.20,71.43
72.04,72.02,72.42,71.61
72.24,72.39,72.64,72.17
72.40,71.50,72.40,71.50
71.50,71.52,71.64,71.11
71.50,70.81,72.05,70.54
70.80,68.14,70.80,68.14
68.60,69.24,69.97,68.26
68.30,71.90,72.05,68.30
71.56,71.14,72.22,71.14
71.65,71.69,72.48,71.49
71.98,72.00,72.30,71.61
71.93,71.83,72.18,71.38
71.34,71.79,71.89,71.34
71.50,71.77,71.81,71.36
71.82,71.98,72.15,71.64
72.30,73.05,73.05,71.73
72.51,72.39,73.44,72.34
72.58,71.95,72.58,71.85
71.95,71.42,72.17,71.15
71.76,71.52,71.93,71.24
71.94,71.58,72.00,71.53
71.82,72.01,72.25,71.75
72.23,72.18,72.29,71.57
71.82,72.26,72.49,71.82
72.00,72.60,72.62,71.85
73.15,72.20,73.15,71.88
72.54,72.40,72.74,72.00
72.59,72.57,72.77,72.50
72.24,72.02,72.64,72.00
72.11,72.91,73.00,72.07
72.80,72.99,73.00,72.40
72.87,73.02,73.02,72.68
72.95,73.06,73.06,72.05
73.15,73.96,73.98,72.53
73.82,73.62,74.34,73.54
73.70,72.62,73.80,72.56
72.76,73.37,73.50,72.54
72.89,72.27,72.89,72.20
72.34,71.31,72.74,71.25
72.24,71.35,72.24,71.25
71.67,71.07,72.15,71.01
71.08,70.25,71.23,70.01
70.32,69.41,70.32,69.25
69.11,64.39,69.11,63.68
64.78,64.17,65.54,64.10
64.61,64.73,65.82,64.15
64.97,64.41,65.28,64.40
64.78,64.84,65.25,64.64
65.00,65.41,65.53,64.92
65.42,65.54,65.77,65.20
65.50,65.87,66.11,65.50
65.88,65.73,66.24,65.63
66.15,65.47,66.63,65.47
66.15,68.99,69.34,66.15
69.37,69.35,69.91,68.20
69.39,68.99,69.98,68.06
68.54,69.08,70.01,68.00
69.00,68.10,69.44,68.01
67.91,68.05,68.45,67.50
67.78,67.91,68.47,67.46
67.92,68.99,69.58,67.81
68.64,68.16,69.22,67.90
