BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&P 500 BuyWrite Index Structured Product,NASDAQ
nan,54.25,nan,nan
nan,54.35,nan,nan
nan,54.38,nan,nan
54.35,54.63,54.63,54.35
nan,54.63,nan,nan
54.12,54.18,54.18,54.12
53.92,53.98,53.98,53.85
nan,53.98,nan,nan
nan,53.98,nan,nan
nan,53.98,nan,nan
nan,53.98,nan,nan
nan,53.98,nan,nan
nan,53.98,nan,nan
nan,53.98,nan,nan
nan,53.73,nan,nan
53.80,53.59,53.80,53.26
53.27,53.36,53.36,53.27
53.16,53.45,53.45,53.16
53.22,53.22,53.22,53.22
53.22,53.17,53.22,53.09
nan,53.77,nan,nan
nan,53.77,nan,nan
53.43,53.43,53.43,53.43
53.74,54.04,54.04,53.74
53.00,53.22,53.22,53.00
53.35,52.61,53.35,52.55
nan,52.61,nan,nan
52.55,52.39,52.55,52.38
52.42,52.42,52.42,52.42
51.78,51.84,51.84,51.78
51.38,51.30,51.38,51.21
51.50,51.52,51.52,51.37
51.68,52.04,52.04,51.68
52.04,52.04,52.04,52.04
50.76,52.16,52.43,50.76
52.19,52.22,52.39,52.13
52.10,52.36,52.45,52.10
52.01,52.29,52.29,51.98
52.35,52.30,52.45,52.23
52.65,52.65,52.65,52.65
52.25,52.45,52.75,52.20
52.16,52.36,52.50,52.16
52.46,52.25,52.46,52.25
52.38,52.60,52.60,52.38
52.25,52.46,52.57,52.24
52.28,52.49,52.49,52.28
52.46,52.47,52.47,52.28
nan,52.47,nan,nan
52.48,52.48,52.52,52.48
52.54,52.52,52.60,52.51
52.52,52.51,52.59,52.46
52.52,52.51,52.65,52.43
52.52,52.60,52.65,52.52
52.57,52.48,52.64,52.48
52.54,52.56,52.91,52.29
52.46,52.16,52.56,52.10
51.64,52.19,52.19,51.64
52.30,52.05,52.43,52.05
51.99,52.13,52.13,51.71
51.90,52.05,52.05,51.90
51.75,51.92,51.92,51.75
52.91,52.99,52.99,52.90
53.04,53.18,53.25,53.03
53.15,53.01,53.37,52.95
53.13,53.29,53.29,53.13
53.12,53.21,53.29,53.12
