HSIC,Henry Schein,NASDAQ
89.54,90.07,90.19,89.17
90.89,90.72,91.49,89.93
90.72,91.13,91.64,90.45
90.25,91.91,92.15,89.57
91.67,93.06,93.06,91.13
92.69,93.29,93.58,92.69
93.09,94.40,94.81,93.07
94.50,94.77,94.98,93.86
94.90,95.41,95.94,94.53
95.45,95.98,96.05,95.16
95.28,95.35,95.99,95.12
96.28,95.38,96.28,94.95
95.52,95.30,95.98,95.21
95.17,96.15,96.28,95.17
96.25,95.32,97.09,95.11
94.60,95.69,95.78,94.38
95.08,95.11,95.64,94.26
95.72,96.50,97.01,95.15
96.16,95.23,96.16,94.94
95.03,96.22,96.44,94.62
95.92,96.29,96.93,95.27
96.27,96.30,96.34,95.06
96.35,95.76,96.96,95.46
95.84,93.96,95.93,93.53
94.24,93.99,94.73,92.86
94.16,95.44,95.60,93.99
95.80,96.27,96.28,95.17
95.60,96.49,96.91,95.03
97.02,95.65,97.15,95.26
97.10,96.95,97.28,95.35
97.14,96.93,97.54,96.57
97.68,97.64,98.18,97.09
97.90,98.15,98.28,97.45
