MBCN,Middlefield Banc Corp. - Common Stock,NASDAQ
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.99,18.00,18.00,17.99
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.07,16.95,17.07,16.50
16.95,16.95,16.95,16.95
16.95,16.95,16.95,16.95
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
16.95,16.95,16.95,16.95
17.50,17.50,17.50,17.50
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,17.00,17.50,16.75
16.75,16.75,16.75,16.75
16.97,16.97,16.97,16.97
16.97,16.97,16.97,16.97
16.97,16.97,16.97,16.97
16.97,16.97,16.97,16.97
16.97,16.97,16.97,16.97
16.15,16.15,16.87,16.15
16.15,16.15,16.15,16.15
16.15,16.15,16.15,16.15
16.15,16.15,16.15,16.15
16.50,16.50,16.50,16.25
16.50,16.50,16.50,16.50
16.70,16.50,16.70,16.50
16.50,16.50,16.50,16.50
16.80,16.80,16.80,16.80
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.03,17.03,17.00
17.03,17.03,17.03,17.03
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.95,17.35,17.95,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.21,17.25,17.25,17.21
17.25,17.25,17.25,17.25
17.00,17.00,17.00,17.00
17.25,17.25,17.25,17.25
