ANTM,Anthem,NASDAQ
73.60,73.81,74.58,73.51
74.01,73.56,74.42,73.40
71.19,68.70,71.26,68.35
68.56,68.39,69.19,68.02
67.72,67.55,68.02,66.68
68.32,65.44,68.55,64.28
64.91,63.94,65.60,63.94
64.12,64.73,64.80,62.15
63.63,62.26,64.55,62.23
62.91,61.95,63.05,60.77
60.19,57.01,60.95,56.94
58.32,60.25,60.38,56.61
59.10,57.26,59.85,57.08
57.46,60.71,61.39,56.94
61.37,60.38,61.66,59.73
61.04,62.29,62.32,60.63
61.71,62.05,62.71,60.91
62.36,61.79,63.03,61.14
60.12,58.93,60.38,58.32
58.57,58.09,60.24,57.80
59.41,57.57,59.89,57.44
57.90,59.48,59.54,57.08
58.87,60.74,60.78,58.54
60.93,59.58,61.50,59.33
59.24,60.43,60.83,57.70
61.16,62.42,62.44,61.00
62.38,62.78,63.20,61.65
63.14,63.30,64.99,62.76
64.10,63.50,65.82,63.43
62.32,62.19,63.21,62.06
60.17,61.90,62.28,59.74
62.76,64.14,64.42,62.50
63.62,63.18,64.79,63.11
62.55,61.81,63.11,61.17
61.01,63.38,63.39,60.78
63.69,65.89,66.65,63.50
66.35,66.48,67.32,64.50
67.10,67.35,67.43,65.30
67.66,67.70,67.83,66.10
66.37,67.10,67.42,66.02
67.60,67.26,68.83,65.89
67.32,65.14,67.51,65.07
63.27,63.63,65.06,62.84
63.45,64.05,64.69,62.97
64.65,65.81,66.00,63.89
66.98,67.06,67.99,66.13
67.00,64.83,67.27,64.76
66.26,65.37,66.76,63.84
65.37,65.28,66.94,64.49
65.43,62.32,66.31,61.83
61.34,63.03,63.20,60.44
62.99,63.95,64.14,62.72
64.06,64.96,64.96,63.60
65.21,65.79,66.50,64.26
66.78,67.53,67.71,66.23
67.14,66.99,67.59,66.74
67.49,67.00,68.25,66.97
66.57,66.05,66.90,65.51
66.93,67.07,67.31,66.25
66.40,65.61,66.92,65.46
64.77,64.06,64.77,62.57
64.33,64.90,66.20,64.21
64.78,65.25,65.40,64.13
65.96,66.65,67.06,65.75
67.03,68.45,68.60,67.03
68.02,67.00,68.71,66.84
68.06,69.58,70.20,67.40
71.23,70.58,71.78,69.57
70.53,68.68,70.53,68.41
68.05,68.90,70.07,68.05
66.99,66.79,67.71,66.29
68.03,67.99,68.50,67.59
68.62,67.84,68.74,67.31
67.20,67.42,67.52,66.24
67.19,68.10,68.21,66.94
68.42,68.83,69.05,67.28
67.74,66.96,67.91,66.82
67.58,68.57,68.79,67.28
69.48,70.75,71.25,69.48
70.52,70.30,71.30,69.76
70.14,70.04,70.45,68.74
69.24,68.14,69.36,68.07
68.15,68.26,69.22,67.78
68.80,68.52,68.99,67.76
67.38,67.01,67.50,66.23
66.85,66.85,67.71,66.10
66.14,64.23,66.27,64.21
64.06,63.70,64.66,63.68
65.19,66.07,66.64,64.97
66.22,67.42,67.64,66.00
69.25,70.55,70.59,67.68
70.19,70.08,71.08,69.97
70.70,68.91,70.70,68.55
70.03,68.51,70.72,68.26
68.39,68.21,68.79,67.50
67.78,68.51,68.91,66.93
68.06,66.08,68.22,65.87
66.42,66.50,67.03,65.97
66.18,65.39,66.56,65.00
65.58,64.64,66.52,64.34
64.14,63.52,64.82,63.42
64.57,64.50,65.38,63.92
65.11,64.95,65.73,64.52
65.04,63.64,65.28,63.54
64.61,65.47,65.60,64.44
65.19,65.68,65.83,64.80
65.93,66.78,67.17,65.84
67.19,68.05,68.13,66.99
68.03,67.93,68.46,67.58
67.77,66.52,67.87,66.47
66.49,66.87,67.47,66.38
66.65,66.25,66.83,66.25
67.54,67.61,67.90,67.08
67.39,67.98,68.22,67.17
67.72,68.51,68.66,67.34
68.60,70.73,71.49,68.50
70.72,71.18,71.27,70.41
71.68,72.21,72.70,71.36
72.00,72.57,72.92,71.27
72.57,71.81,72.79,71.62
71.35,71.91,72.15,70.99
72.43,72.74,73.36,72.43
72.78,72.17,73.09,72.06
71.63,71.93,72.45,70.32
72.14,71.78,72.28,70.49
71.75,71.18,72.52,71.04
71.18,69.40,71.34,69.00
64.58,66.10,66.93,63.72
65.97,64.30,66.94,63.48
64.00,65.42,65.81,64.00
64.89,64.43,65.05,64.06
64.63,64.32,65.60,64.07
64.80,66.13,66.42,61.90
65.99,65.16,65.99,64.51
65.66,65.07,65.66,63.60
64.76,64.37,65.48,63.85
64.04,65.00,65.05,64.00
64.88,64.83,66.01,64.70
65.06,64.65,65.12,64.50
64.23,64.17,64.43,63.90
64.51,64.66,65.06,64.25
64.60,65.69,65.71,64.58
65.91,65.15,66.24,65.00
65.35,66.23,66.37,65.16
66.47,66.05,66.88,65.85
66.60,66.39,66.99,66.03
66.50,66.10,66.72,65.63
65.98,66.22,66.34,65.67
66.26,66.11,66.52,65.67
65.75,65.79,66.54,65.60
65.76,65.54,66.17,64.90
65.57,65.63,65.88,65.08
65.77,66.23,66.43,65.72
66.10,65.78,66.20,65.72
65.52,65.19,66.14,64.88
64.79,64.34,65.42,63.93
64.37,63.84,64.37,63.75
64.25,64.41,64.75,64.08
64.51,64.88,64.99,64.14
64.88,64.01,64.99,63.93
64.19,65.05,65.13,63.34
65.22,67.22,67.53,65.11
67.25,66.94,67.40,66.60
67.43,67.33,68.06,67.05
67.05,67.67,67.75,67.05
67.25,66.86,67.63,66.62
66.84,66.35,66.87,66.33
65.81,66.39,66.74,65.62
66.42,66.68,66.71,66.00
67.14,68.63,68.70,66.96
68.54,68.38,68.69,67.30
68.16,70.00,70.14,67.99
69.37,71.62,72.14,69.29
71.86,73.80,74.73,71.69
73.63,72.95,73.80,72.83
72.83,72.64,73.35,72.49
72.31,72.12,72.53,71.66
71.66,72.38,72.42,71.45
71.18,70.53,71.48,70.53
70.17,69.27,70.46,69.12
70.06,69.54,70.40,69.37
69.84,70.00,70.19,69.25
69.94,69.25,69.99,69.25
69.45,68.73,69.48,68.64
68.99,69.96,70.10,68.94
69.35,69.17,69.56,69.02
68.89,70.62,70.87,68.88
70.82,70.68,71.23,70.41
70.15,70.59,70.88,69.93
70.51,70.76,71.00,70.05
71.50,70.40,72.44,69.98
68.24,69.35,69.50,67.46
69.25,68.63,69.39,68.59
68.23,67.82,68.74,67.53
67.72,68.41,68.73,67.71
68.18,68.79,68.93,68.12
68.46,67.30,68.46,67.09
67.24,66.26,67.34,65.88
66.00,66.60,66.76,65.79
66.17,66.88,67.09,65.93
66.33,65.77,66.51,65.60
66.38,65.94,66.42,65.70
65.71,66.11,66.51,65.41
66.07,66.08,66.44,65.47
65.89,65.62,66.21,65.37
65.91,65.26,66.35,65.23
65.20,66.45,66.74,65.00
66.63,65.08,66.73,64.85
65.23,66.90,66.94,65.20
67.11,67.11,68.31,66.85
66.77,66.73,67.23,65.88
66.91,67.82,69.34,66.81
67.58,67.90,68.55,67.58
68.28,68.84,68.99,67.91
68.37,68.04,69.04,67.74
68.09,67.39,68.27,66.93
66.72,66.36,67.20,66.21
66.30,65.45,66.42,65.05
65.19,66.17,66.38,64.90
66.57,67.27,67.43,66.17
67.51,67.27,68.22,67.02
67.10,69.07,69.11,67.10
68.80,69.01,69.46,68.23
69.55,69.47,69.88,68.58
69.31,68.74,69.60,68.47
68.91,69.80,70.24,68.62
69.95,70.77,71.06,69.71
70.65,71.34,71.49,70.24
71.71,71.88,72.79,71.25
71.48,70.86,72.26,70.66
70.87,69.46,71.23,69.32
69.94,69.76,70.46,68.75
69.46,68.95,70.54,68.78
69.00,69.10,70.04,68.29
69.40,69.49,70.65,69.22
68.67,65.90,71.34,64.00
67.03,63.79,67.25,63.22
64.22,62.26,64.66,62.26
62.28,61.28,62.53,60.91
61.13,61.25,61.99,61.06
60.78,59.91,61.19,59.49
63.06,61.95,63.15,61.28
61.98,61.14,62.33,60.79
61.11,61.78,62.14,60.94
61.22,61.07,61.84,60.60
61.08,62.36,62.54,61.08
62.24,61.97,62.35,61.80
62.01,62.94,63.10,61.88
62.86,63.20,63.85,62.44
63.39,62.70,63.85,61.64
62.39,61.94,62.92,61.87
61.34,61.81,62.22,61.00
61.85,61.42,62.24,61.00
55.34,54.01,55.80,53.26
54.22,53.39,54.22,52.52
53.89,55.12,55.45,53.48
55.23,55.22,55.49,54.61
54.45,53.29,54.96,53.10
53.44,54.07,55.76,53.16
53.93,52.93,54.02,52.68
53.30,55.04,55.95,52.57
55.17,54.64,55.31,54.44
54.76,56.26,56.34,54.67
56.25,57.44,57.50,55.92
57.44,56.79,57.52,56.48
56.75,57.91,57.95,56.71
57.60,56.89,57.70,56.28
57.03,56.90,57.51,56.80
57.06,57.80,57.90,56.75
57.89,57.84,58.13,57.53
57.27,57.26,57.59,56.89
57.43,57.38,57.97,56.52
57.35,57.27,57.85,57.19
57.25,58.57,58.57,57.00
58.50,57.73,58.65,57.40
57.70,57.66,57.95,57.27
57.65,58.16,58.46,57.27
58.06,57.39,58.07,57.34
60.55,61.80,62.47,60.30
61.40,60.46,61.61,60.44
60.67,59.87,60.82,59.79
59.48,59.39,60.19,59.20
59.41,59.15,59.71,59.11
59.34,59.72,59.72,59.05
59.79,60.29,60.40,59.69
60.14,59.45,60.90,58.93
59.56,58.65,59.64,58.42
58.73,58.21,59.00,58.16
58.10,58.19,58.27,57.04
58.54,58.35,58.74,57.90
58.34,58.81,58.81,57.93
58.81,58.91,59.30,58.70
59.06,59.03,59.30,58.56
58.86,58.96,59.03,58.15
59.20,59.26,59.31,58.65
58.86,58.49,59.25,58.30
58.67,58.48,58.93,58.36
58.50,57.64,58.54,57.06
57.84,58.07,58.29,57.60
57.85,58.01,58.14,57.50
57.98,57.98,58.28,57.83
58.18,60.46,60.46,58.01
60.84,60.11,60.89,60.06
60.78,62.16,62.43,60.55
62.06,61.22,62.24,60.89
61.31,61.75,62.14,61.05
61.58,62.02,62.36,61.52
61.94,61.54,62.40,61.40
61.93,62.79,63.10,61.80
62.87,61.83,63.43,61.68
61.90,62.38,62.50,61.60
61.51,62.02,62.66,61.18
62.17,61.74,62.35,61.22
61.63,62.93,63.63,61.62
62.63,61.82,62.80,61.52
61.60,63.03,63.10,61.02
62.27,61.87,62.46,61.30
62.33,61.58,62.57,61.49
62.13,62.23,62.70,62.04
62.01,61.29,62.31,61.02
61.29,61.30,61.71,60.80
61.29,61.73,62.05,60.97
62.01,61.14,62.15,61.13
61.08,60.85,61.23,60.29
60.45,61.20,61.23,59.95
58.12,57.85,59.00,57.70
57.85,56.01,58.03,55.82
56.00,56.16,56.89,55.85
56.36,55.85,56.76,55.75
55.63,55.50,56.97,55.49
55.51,54.33,55.86,54.15
54.41,54.64,55.20,54.25
54.89,55.15,55.72,53.69
55.71,55.94,56.02,55.27
55.90,55.62,55.99,55.38
55.71,55.57,55.93,55.21
55.72,56.06,56.23,55.55
55.68,55.37,55.68,54.79
