DIA,SPDR Dow Jones Industrial Average ETF,NASDAQ
112.10,109.83,112.96,109.74
111.87,111.38,112.50,109.43
109.81,108.93,111.16,108.87
108.21,106.36,109.61,106.30
105.08,107.72,108.09,103.84
107.85,109.28,109.41,107.26
109.30,111.09,111.21,108.47
111.87,111.02,112.21,110.38
112.60,114.21,114.24,112.59
113.62,114.01,114.35,113.53
114.77,114.99,116.12,114.41
114.53,114.66,115.01,113.64
115.82,116.34,116.35,115.16
115.84,113.90,115.88,113.64
113.54,115.51,116.42,112.83
115.47,114.95,116.25,114.58
115.07,115.33,115.77,113.84
116.45,117.85,117.88,116.43
118.17,118.88,119.16,118.01
118.22,116.79,118.36,116.57
118.38,118.41,118.66,116.68
121.08,121.94,122.58,120.45
121.58,122.04,122.24,121.36
120.75,119.34,120.92,119.27
116.90,116.38,117.67,116.03
117.80,118.13,118.52,117.17
119.23,120.19,120.41,118.16
119.40,119.60,119.68,118.24
119.52,120.45,120.50,118.55
121.01,121.59,121.75,119.90
119.33,117.69,119.67,117.24
118.96,118.89,119.55,117.88
120.24,121.53,121.71,120.22
121.33,120.71,121.57,120.18
120.38,120.87,121.58,119.93
119.87,119.10,121.14,118.91
119.06,117.83,119.51,116.79
117.96,117.73,118.30,117.29
116.11,115.16,116.32,114.28
114.98,114.74,115.53,114.13
113.75,112.33,113.89,112.33
112.28,112.14,113.46,112.14
114.78,115.10,115.48,114.31
115.32,115.56,116.18,115.11
118.41,120.19,120.39,118.41
120.01,120.13,120.55,119.66
121.22,120.06,121.40,120.00
121.77,120.95,121.85,120.21
120.96,121.39,122.09,120.68
121.06,122.07,122.57,120.58
121.50,119.94,121.81,119.64
120.47,121.78,122.11,120.41
120.91,120.24,120.96,119.38
120.91,119.51,121.49,119.05
119.08,118.32,119.49,117.91
119.59,118.81,119.75,118.58
119.10,118.22,119.40,117.89
118.65,117.36,118.98,117.05
119.11,120.68,120.88,119.07
120.80,120.81,120.87,119.69
121.14,121.53,121.55,120.91
121.70,122.63,122.68,121.50
122.48,122.67,123.00,122.40
122.66,121.25,122.72,121.13
121.52,122.52,122.68,121.46
122.33,121.85,122.63,121.84
123.94,123.63,124.53,123.61
123.40,123.97,124.05,123.11
123.46,123.95,124.11,122.59
124.08,123.53,124.08,123.14
123.69,123.66,123.91,123.14
124.88,124.38,125.00,124.27
124.04,124.29,124.45,123.80
124.50,124.53,124.67,123.66
123.71,124.16,124.16,122.92
125.04,124.62,125.57,124.46
124.53,125.62,125.72,124.41
125.99,126.17,126.18,125.52
126.04,126.96,126.96,125.95
126.89,126.81,127.36,126.38
126.10,126.43,126.55,125.87
126.06,127.25,127.52,125.47
127.85,127.06,128.13,126.65
126.47,126.45,126.76,126.01
125.39,126.23,126.31,125.00
126.88,126.07,126.92,125.38
127.07,126.91,127.59,126.77
127.02,126.84,127.16,126.48
128.04,128.37,128.49,127.83
127.83,128.12,128.19,127.68
127.95,128.51,128.76,127.55
128.62,128.71,128.80,128.03
128.96,128.76,129.12,128.30
127.76,127.85,127.92,127.30
128.68,128.59,128.77,128.08
128.38,128.66,128.69,127.78
129.00,127.86,129.04,127.57
127.98,129.07,129.18,127.95
129.31,129.23,129.39,128.86
129.62,129.35,129.75,128.96
129.23,129.14,129.50,128.85
128.99,129.58,129.69,128.55
129.77,129.62,129.90,129.25
128.93,129.66,130.04,128.57
129.64,129.86,130.04,129.34
130.02,129.29,130.37,129.09
129.60,129.57,130.16,129.23
129.54,129.55,129.79,129.08
129.42,129.42,129.59,128.64
127.93,127.45,129.46,127.18
127.64,128.23,128.45,127.46
128.82,128.92,129.27,128.55
129.22,129.15,129.59,128.94
129.17,129.46,129.67,129.10
130.05,131.68,131.77,129.85
131.79,131.88,132.17,131.62
132.01,132.41,132.49,131.67
132.53,132.05,132.61,132.02
131.91,132.07,132.40,131.78
131.36,131.38,131.70,130.92
131.53,130.99,131.61,130.81
130.24,130.17,130.55,129.86
130.22,130.60,130.71,129.71
