ASML,ASML Holding N.V. - ADS represents 1 ordinary share,NASDAQ
48.22,47.69,48.23,47.39
47.01,47.03,47.91,47.00
48.78,48.70,49.03,48.36
48.47,48.30,48.77,48.08
49.82,51.34,51.40,49.66
50.83,51.08,51.36,50.73
51.79,52.81,53.06,51.78
53.45,53.70,54.31,53.30
53.22,54.05,54.40,53.11
53.81,54.56,54.74,53.49
53.83,53.34,54.35,53.18
52.91,54.03,54.49,52.73
52.77,52.04,52.79,51.69
51.71,50.79,52.27,50.56
50.96,50.73,51.01,50.39
52.30,50.99,52.34,50.56
51.05,51.09,51.66,50.90
51.47,50.71,51.68,50.65
52.57,53.57,53.71,52.55
52.65,52.96,53.19,52.18
52.96,53.45,53.73,52.91
53.58,53.83,54.02,53.51
54.26,54.00,54.53,53.99
54.29,53.83,54.32,53.74
54.44,54.87,54.96,54.05
54.51,54.27,54.97,54.27
55.81,54.83,55.86,54.61
54.16,54.06,54.32,53.66
53.08,53.48,53.97,52.81
53.06,53.14,53.29,52.69
53.51,53.56,54.14,53.40
53.99,53.92,54.14,53.61
54.00,54.34,54.52,53.66
54.27,54.21,54.49,53.70
53.70,53.61,53.77,52.86
55.43,55.31,56.08,54.87
56.51,54.83,56.53,53.52
55.25,55.08,55.30,54.61
55.10,56.10,56.19,54.95
56.60,56.92,57.04,56.40
56.43,56.49,56.94,56.17
55.97,56.17,56.22,55.43
56.40,55.81,57.04,55.57
56.09,55.99,56.56,55.48
55.92,55.78,55.95,55.35
56.27,55.83,56.43,55.48
57.36,57.27,57.74,57.21
57.71,57.70,58.09,57.40
58.45,59.16,59.16,58.23
58.84,58.36,58.84,58.01
58.51,58.61,58.70,58.12
58.74,58.82,59.21,58.34
59.10,59.00,59.16,58.60
59.32,58.77,59.32,58.52
58.69,58.43,58.91,57.95
58.73,59.22,59.29,58.44
59.48,58.97,59.71,58.88
59.13,60.58,60.81,59.09
61.26,60.60,61.30,60.13
60.87,60.00,60.87,59.73
59.87,59.69,59.94,59.36
60.35,60.06,60.39,59.57
60.34,60.14,60.74,60.02
59.18,59.83,60.09,59.05
60.52,61.99,62.04,60.49
60.99,59.16,61.14,59.04
59.05,58.95,59.43,58.79
58.95,58.70,59.04,58.47
58.64,58.49,58.68,57.91
57.27,58.10,58.27,57.25
58.42,59.27,59.50,58.34
59.69,60.16,60.45,59.34
60.25,60.62,60.87,60.03
60.42,60.39,60.66,60.12
60.73,61.83,61.91,60.73
61.25,61.45,61.99,61.13
61.70,62.55,62.60,61.64
62.49,62.40,62.84,62.26
62.70,62.79,63.23,62.36
62.12,63.03,63.29,61.97
63.47,62.91,63.75,62.79
61.82,62.08,62.34,61.61
61.73,62.04,62.30,61.61
63.00,63.55,63.64,62.86
63.71,63.64,63.94,63.42
64.42,63.49,64.44,62.96
63.39,64.47,64.53,63.21
65.05,65.12,65.35,64.27
65.27,65.91,66.19,64.99
65.69,64.88,65.94,64.59
63.45,62.57,63.65,61.95
62.25,62.32,62.65,62.14
61.71,62.43,62.75,61.47
62.18,61.27,62.65,61.10
61.38,61.18,61.97,61.12
62.26,63.52,64.39,62.22
63.55,63.23,63.60,62.79
63.49,64.08,64.44,63.22
64.52,64.19,65.16,64.09
62.09,64.01,64.36,62.00
65.90,65.00,66.69,64.38
65.04,64.40,65.68,64.29
63.34,62.57,63.39,62.29
63.52,62.74,63.64,62.21
64.21,64.27,64.34,63.45
65.13,66.94,67.22,65.08
66.70,66.36,66.84,65.96
65.58,66.22,66.70,65.55
66.30,66.56,67.03,66.06
65.47,65.61,65.90,65.19
65.34,64.60,65.62,64.55
63.81,63.12,64.27,62.83
63.74,63.88,64.22,63.32
62.77,63.19,63.42,62.03
61.69,62.27,62.64,61.43
62.18,62.09,62.56,61.56
61.88,62.90,64.04,61.88
61.06,61.25,61.73,60.64
61.16,61.65,62.13,61.07
61.39,60.16,61.44,60.10
59.78,58.66,60.13,58.65
59.23,58.29,59.27,58.25
59.16,60.10,60.23,58.77
60.77,60.71,61.10,60.30
60.01,60.23,60.30,58.94
60.29,60.03,60.65,59.53
59.03,59.74,60.00,58.95
61.60,61.03,61.86,60.83
59.91,59.56,60.10,59.47
59.70,59.49,59.88,59.10
57.83,56.88,58.22,56.81
57.42,57.10,57.64,56.92
57.97,58.61,58.91,57.92
59.26,61.48,61.51,59.25
62.73,61.40,62.74,61.31
61.06,62.20,62.32,61.04
63.06,61.88,63.39,61.78
61.92,63.55,63.65,61.71
64.35,64.61,65.27,63.81
64.14,63.68,64.32,63.04
64.10,64.84,64.97,64.04
64.74,65.55,65.84,64.39
65.60,66.04,66.68,65.52
66.12,65.65,66.17,64.96
67.88,65.62,68.08,65.39
65.10,64.61,65.65,64.56
64.22,63.01,64.23,62.90
63.25,62.69,63.40,61.70
63.68,63.74,64.05,63.22
62.52,63.23,63.30,62.42
65.64,66.78,67.16,65.40
67.45,67.78,67.88,66.81
67.52,68.34,68.66,67.35
66.88,67.25,67.62,66.61
65.40,64.18,65.69,64.14
63.58,62.94,63.69,62.78
67.69,68.27,69.22,67.53
67.64,66.48,67.79,66.16
66.95,65.57,66.95,65.25
65.78,66.48,66.62,65.65
66.55,66.22,66.60,65.84
66.95,66.88,67.17,65.45
67.42,70.87,71.19,67.22
72.84,72.40,72.88,71.61
72.48,72.04,72.95,71.52
70.58,72.08,72.58,70.27
70.73,70.88,71.34,70.43
72.43,70.87,72.44,70.55
73.18,74.21,74.40,72.74
74.87,76.44,76.75,74.53
75.36,76.35,76.88,75.36
76.34,74.68,76.81,74.65
75.19,73.42,75.25,73.34
72.56,72.55,73.49,72.05
74.75,75.48,76.05,74.55
75.31,72.96,75.52,72.88
75.53,75.13,75.62,74.78
73.64,74.69,74.88,73.16
74.53,74.79,75.19,74.45
74.26,74.81,74.92,74.04
74.43,74.14,74.57,73.53
74.99,74.53,75.17,74.17
74.58,74.73,75.17,74.14
74.17,74.97,75.26,73.92
75.18,75.40,75.42,74.68
75.08,75.27,75.65,74.82
76.43,75.97,76.78,75.42
75.58,76.44,76.55,75.47
75.81,74.83,76.13,74.65
74.60,75.03,75.40,74.32
75.53,75.35,75.55,74.68
73.99,73.10,73.99,72.64
74.06,74.01,74.48,73.49
73.73,72.52,73.74,72.44
73.64,73.73,73.96,72.82
73.75,72.90,73.84,72.47
73.51,72.82,73.94,72.70
73.14,75.16,75.38,73.09
73.68,73.79,74.08,72.60
73.22,71.97,73.30,71.91
72.09,72.16,72.87,71.83
73.27,72.23,73.40,71.91
72.40,72.94,73.26,71.90
74.22,74.19,75.55,73.84
74.74,74.47,74.95,74.10
74.16,73.25,74.16,72.96
71.43,70.86,71.96,70.79
70.96,70.83,71.27,70.36
70.14,70.05,70.54,69.88
68.78,68.04,69.12,67.99
70.14,69.36,70.65,69.18
68.35,68.39,68.68,67.31
70.18,70.43,70.69,69.27
69.73,69.71,70.16,69.32
69.91,69.34,70.78,68.96
70.75,70.06,71.31,69.43
71.22,71.36,71.56,70.74
72.52,72.27,72.55,71.70
73.71,72.86,73.92,72.57
72.16,71.44,72.21,71.16
71.03,70.53,71.06,69.87
69.66,69.39,70.09,69.22
69.22,68.88,70.05,68.62
69.27,68.82,69.91,68.66
68.13,68.58,68.71,67.39
70.06,69.60,70.27,69.43
68.21,65.04,68.36,63.29
65.42,66.68,67.75,65.42
67.38,67.77,68.25,67.19
69.84,69.23,70.10,68.88
68.18,68.64,68.96,67.78
70.64,69.98,70.66,69.45
70.71,70.56,70.94,69.97
70.77,70.58,71.45,70.27
71.43,71.40,72.30,70.86
72.03,73.10,73.30,71.73
74.17,73.12,74.25,72.95
72.42,73.47,73.65,72.33
73.74,74.68,74.73,73.65
72.43,72.50,72.90,71.87
72.55,71.23,72.78,71.23
71.08,71.92,72.47,71.00
72.08,71.74,72.18,71.52
70.96,71.17,72.04,70.81
72.74,71.60,72.83,71.40
70.95,69.53,71.19,69.29
71.19,71.31,71.45,70.04
71.69,71.95,72.32,71.43
72.58,72.22,72.77,71.69
71.99,71.47,72.14,71.21
73.78,74.71,75.39,73.43
75.68,75.16,75.71,74.43
75.96,76.17,76.82,75.57
75.62,76.95,76.96,75.23
62.62,62.46,63.40,61.92
62.72,62.57,63.08,62.11
63.02,62.51,63.21,62.41
61.72,61.42,61.94,60.90
61.40,62.19,62.27,61.38
62.32,62.55,62.72,62.04
62.64,63.50,63.52,62.55
63.13,63.62,63.83,63.13
64.14,63.88,64.37,63.84
63.42,63.34,63.79,63.09
63.40,62.70,63.47,62.63
62.42,63.64,63.79,62.42
64.00,63.60,64.00,63.33
63.80,64.03,64.09,63.68
64.59,64.15,64.72,63.75
64.53,64.68,64.97,64.23
63.60,63.44,63.72,62.95
63.58,63.27,63.69,63.15
63.81,63.03,63.86,62.60
63.81,63.57,63.87,62.56
63.39,63.13,63.57,62.95
63.17,64.39,64.52,63.09
65.98,66.78,66.78,65.78
65.99,65.38,66.29,65.06
64.64,64.71,65.05,64.35
63.35,63.66,63.87,63.09
63.40,63.14,63.57,62.80
63.42,63.50,63.80,63.29
64.56,64.67,64.69,63.94
65.23,65.42,65.76,64.94
65.20,64.40,65.27,64.25
62.80,63.08,63.28,62.72
63.17,63.82,63.99,63.14
65.48,68.35,69.62,65.37
68.95,69.17,69.32,68.44
69.76,69.92,70.04,69.34
69.25,69.24,69.46,68.51
70.49,71.16,71.30,70.35
72.69,74.04,74.24,72.52
76.21,75.47,76.44,74.70
74.71,75.27,75.31,74.59
75.57,75.22,75.98,75.02
75.69,75.09,75.90,74.69
77.64,78.21,78.30,76.73
76.96,76.43,77.66,76.22
75.99,76.50,77.10,75.92
75.88,75.99,76.60,75.36
75.31,75.29,75.39,74.44
74.87,74.78,75.44,74.58
74.88,74.91,75.09,74.49
74.86,74.96,75.45,74.69
74.18,74.26,74.98,73.96
73.61,74.85,74.93,73.43
73.86,72.64,73.90,72.51
73.83,73.96,74.05,73.30
74.01,72.15,74.37,72.14
70.92,70.62,70.97,70.36
70.84,71.65,71.83,70.50
72.75,69.73,72.96,69.67
70.64,71.55,71.94,70.43
70.67,71.79,71.83,70.65
71.26,70.98,71.83,70.97
70.32,71.63,71.88,69.90
71.26,71.00,71.29,70.16
71.58,72.28,72.82,71.46
73.15,72.04,73.24,71.94
71.97,70.84,72.05,70.75
70.28,69.73,70.37,69.42
69.36,69.98,70.54,69.26
70.40,69.46,70.40,69.23
69.82,69.69,70.41,69.31
70.88,71.80,71.86,70.88
71.88,70.82,71.90,69.92
69.94,69.77,70.60,69.44
69.77,69.62,70.24,68.72
69.84,69.97,70.18,69.69
69.44,69.22,70.03,69.16
68.52,68.32,68.73,67.92
68.56,68.68,69.37,68.16
67.59,66.96,67.82,66.20
65.13,66.26,66.32,64.93
66.69,67.99,68.18,66.64
67.89,67.08,68.45,66.89
66.48,66.84,67.55,66.48
67.28,66.24,67.47,65.94
65.42,66.08,66.11,65.06
65.57,66.71,66.79,65.12
66.64,67.05,67.06,65.81
66.90,67.09,67.51,66.62
67.46,68.66,69.24,67.39
69.21,69.32,70.20,68.96
69.14,69.11,69.35,68.18
68.23,66.47,68.46,66.40
67.75,67.78,68.27,67.12
72.09,69.48,72.09,68.41
72.00,71.41,72.10,71.12
72.31,71.99,72.64,71.35
71.51,71.24,71.66,70.60
72.32,72.48,73.04,71.75
73.23,73.54,73.88,72.89
75.13,74.78,75.81,74.62
73.77,73.72,74.08,73.00
74.32,74.56,75.11,74.12
74.40,74.37,74.65,73.68
74.00,74.02,74.50,73.75
74.91,75.90,76.21,74.65
76.98,77.50,77.86,76.93
76.76,76.22,77.18,76.17
77.18,77.03,77.18,76.39
77.19,76.62,77.47,76.24
76.82,76.42,77.44,76.27
77.50,78.31,78.41,77.04
77.84,77.55,78.04,77.33
77.54,77.63,77.87,77.26
77.58,78.53,78.60,77.58
78.49,77.71,78.85,77.59
77.94,78.97,78.98,77.88
79.60,79.99,80.05,79.48
80.63,80.67,80.88,80.24
80.41,80.08,81.15,79.66
79.75,80.06,80.51,79.60
80.05,81.30,81.69,80.04
83.18,84.08,84.58,83.10
83.48,83.16,83.88,83.00
83.94,83.61,84.15,83.33
83.83,81.27,84.55,81.21
82.50,81.70,83.49,81.56
81.18,79.80,81.35,79.75
79.87,77.88,79.87,77.53
79.24,79.56,80.01,78.29
79.76,80.59,80.76,79.51
80.73,80.67,81.10,80.39
79.76,79.41,80.23,78.84
