PPLT,ETFS Physical Platinum Shares,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
155.54,155.60,156.00,154.41
155.66,157.18,157.26,155.32
157.66,158.04,158.11,157.24
159.43,159.52,159.82,159.20
160.22,160.73,161.25,159.96
161.24,160.61,161.83,159.81
157.80,158.70,159.09,157.46
158.42,159.00,159.08,158.42
157.90,158.02,158.39,157.70
157.94,156.71,158.21,156.12
156.56,156.28,157.26,156.20
153.68,152.40,153.81,151.63
150.85,151.34,151.80,150.06
151.04,150.86,151.24,150.69
151.64,151.08,151.88,150.55
150.60,150.79,150.87,150.16
150.20,149.53,150.20,149.00
149.36,151.36,151.48,149.36
154.16,153.70,154.84,153.27
154.55,153.64,155.18,153.47
152.96,153.50,153.50,152.58
152.47,152.86,153.10,152.35
154.40,155.35,155.67,154.06
156.34,157.26,157.32,155.51
158.91,159.86,160.60,158.82
159.67,160.18,160.25,158.82
162.87,162.99,163.00,162.00
165.83,165.48,166.56,165.21
164.78,165.64,166.80,164.37
165.76,166.36,167.24,165.64
165.30,163.64,165.41,163.20
165.61,166.54,166.76,165.32
166.86,165.83,166.96,165.77
164.87,165.26,165.54,164.46
165.03,166.55,166.56,164.71
165.07,163.38,165.82,162.73
164.32,164.82,165.09,163.99
165.95,165.47,166.14,165.17
163.94,164.90,164.90,163.89
165.81,165.68,166.22,165.10
166.38,166.62,167.52,166.27
167.25,167.86,167.92,166.40
169.54,170.58,170.62,169.54
169.96,168.88,170.78,168.66
168.64,168.53,170.03,168.20
167.75,165.89,167.75,165.42
167.72,168.68,168.68,167.35
169.91,169.04,169.98,168.74
169.18,167.96,169.56,167.74
164.85,164.62,165.35,163.94
165.41,166.06,166.75,164.88
162.26,161.62,162.26,160.55
157.85,158.40,160.01,157.46
158.01,157.93,158.98,157.46
159.07,157.44,159.48,157.42
157.96,159.17,159.43,157.20
158.06,157.10,158.10,156.35
156.82,155.51,156.82,155.24
154.92,154.50,154.92,154.14
154.81,154.02,155.40,153.46
155.58,155.90,156.20,155.20
155.55,155.70,155.92,154.28
156.84,156.31,157.00,156.07
156.16,157.34,157.48,155.78
156.68,157.28,157.46,156.55
157.80,156.66,157.92,156.14
156.77,156.02,156.82,155.81
155.19,156.07,156.34,155.00
156.20,156.16,156.58,155.75
155.25,155.00,155.52,154.58
155.00,153.06,155.24,152.06
153.98,154.78,155.92,153.62
155.58,155.06,155.58,154.94
155.09,155.34,155.38,154.85
155.30,155.52,155.68,154.69
