SLMBP,SLM Corporation - Floating Rate Non-Cumulative Preferred Stock,NASDAQ
41.25,41.25,41.25,41.25
41.00,41.00,41.00,41.00
41.71,41.75,41.75,41.71
41.50,41.50,41.50,41.50
40.75,41.40,41.40,40.75
41.40,41.40,41.40,41.40
40.21,40.17,41.02,39.50
41.05,41.25,41.25,40.00
41.28,40.70,41.28,40.10
40.75,40.75,40.75,40.74
40.17,40.50,40.86,40.00
40.65,40.56,40.65,39.87
40.56,40.56,40.56,40.56
40.56,40.56,40.56,40.56
39.75,40.00,40.00,39.75
40.00,40.00,41.00,40.00
39.30,39.30,39.30,39.30
39.30,39.30,39.30,39.30
39.30,39.30,39.30,39.30
39.30,39.30,39.30,39.30
39.30,39.30,39.30,39.30
39.50,39.50,39.50,39.50
39.50,39.45,39.56,39.45
39.45,39.45,39.45,39.45
40.10,40.10,40.14,40.05
40.00,40.00,40.00,40.00
39.09,39.19,39.19,39.09
39.99,39.99,39.99,39.99
39.01,39.00,39.01,39.00
39.00,39.50,39.50,39.00
39.50,39.50,39.50,39.50
39.50,39.50,39.50,39.50
41.00,39.50,41.00,39.50
39.50,39.50,39.50,39.50
40.25,40.99,40.99,40.00
41.00,41.00,41.00,41.00
40.00,40.25,40.25,40.00
39.75,40.97,40.97,39.75
41.00,40.96,41.00,40.96
40.96,40.96,40.96,40.96
41.00,43.57,43.57,41.00
41.11,43.25,43.54,41.11
40.25,40.75,40.75,40.25
42.31,42.06,42.83,41.25
42.06,42.06,42.06,42.06
42.05,42.50,42.50,42.00
42.50,42.50,42.50,42.50
44.10,44.78,44.78,44.00
45.17,44.93,45.30,43.57
45.74,45.45,45.74,44.50
44.00,45.50,45.50,44.00
45.93,46.50,46.50,45.93
46.86,46.86,46.86,46.86
45.79,46.84,46.84,45.75
46.75,46.70,46.75,46.70
46.71,46.74,46.74,46.71
47.89,47.25,47.89,45.88
46.99,47.61,47.61,46.99
47.61,47.61,47.61,47.61
47.10,46.80,47.10,46.50
47.78,47.78,47.78,47.78
47.78,47.78,47.78,47.78
47.75,47.75,47.75,47.75
47.69,47.49,47.80,47.01
47.94,47.94,47.94,47.94
48.89,48.25,48.89,48.25
48.25,48.25,48.25,48.25
48.00,47.50,48.00,46.95
48.38,48.33,48.38,46.51
48.00,48.07,48.25,47.52
48.08,48.08,48.08,48.05
48.32,48.16,48.35,48.10
47.00,48.07,48.16,47.00
48.15,48.30,50.35,48.15
48.00,48.46,48.49,47.50
48.25,48.00,48.90,47.93
48.00,48.00,48.00,48.00
48.37,48.37,48.37,48.37
48.50,47.99,48.59,45.42
47.51,47.72,48.00,47.50
48.00,49.00,49.00,48.00
48.70,48.05,48.70,48.00
48.45,48.97,48.97,48.45
48.96,49.00,49.00,48.95
48.95,49.60,49.60,48.95
49.45,49.40,49.45,49.40
49.41,49.41,49.41,49.41
49.24,49.30,49.40,49.24
49.30,49.08,49.30,49.08
49.50,49.50,49.50,49.50
49.71,49.50,50.25,49.50
49.93,49.90,49.93,49.90
49.04,48.25,49.04,48.25
48.25,48.25,48.25,48.25
48.25,48.25,48.25,48.25
49.00,49.00,49.00,49.00
49.77,48.64,49.87,47.70
48.64,48.64,48.64,48.64
46.87,46.87,46.87,46.87
47.75,47.75,47.75,47.75
47.75,47.75,47.75,47.75
47.75,47.75,47.75,47.75
47.75,47.75,47.75,47.75
47.75,47.75,47.75,47.75
48.30,48.30,48.30,48.00
48.23,48.23,48.23,48.23
48.23,48.23,48.23,48.23
48.23,48.23,48.23,48.23
47.35,46.89,47.35,46.89
46.86,46.86,46.86,46.83
47.00,47.00,47.00,47.00
47.00,47.00,47.00,47.00
46.15,46.15,46.15,46.15
46.15,46.15,46.15,46.15
46.20,46.20,46.23,46.20
46.97,45.57,46.97,45.57
45.56,46.00,46.00,45.56
46.00,46.01,46.01,46.00
46.01,46.01,46.01,46.01
46.01,46.01,46.01,46.01
46.01,46.01,46.01,46.01
45.25,45.25,45.25,45.25
45.25,45.25,45.25,45.25
45.25,45.25,45.25,45.25
45.25,45.25,45.25,45.25
45.00,45.05,45.05,45.00
45.20,45.20,45.20,45.20
45.50,45.25,45.50,45.25
45.50,45.50,45.50,45.50
45.50,45.50,45.50,45.50
45.50,45.50,45.50,45.50
45.50,45.00,46.40,45.00
45.00,45.00,45.00,45.00
44.08,44.05,44.08,44.05
44.05,44.05,44.05,44.05
44.05,44.05,44.05,44.05
43.44,42.70,43.50,42.70
43.99,43.99,44.00,43.99
43.97,44.00,44.00,43.97
44.00,44.00,44.00,44.00
43.50,43.50,43.50,43.50
43.50,43.50,43.50,43.50
44.00,44.00,44.00,44.00
43.99,43.99,43.99,43.99
43.89,43.50,43.89,43.50
44.00,43.89,44.00,43.50
42.50,43.50,43.50,42.50
43.50,43.50,43.50,43.50
43.50,43.50,43.50,43.50
45.50,42.68,45.50,42.55
43.52,42.35,45.25,42.35
42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35
44.70,44.50,45.00,44.50
44.50,44.50,44.50,44.50
45.27,45.00,45.45,45.00
44.95,44.95,44.95,44.95
44.95,44.95,44.95,44.95
44.28,45.30,45.30,44.28
45.05,45.84,47.74,44.75
45.84,45.84,45.84,45.84
45.60,45.90,45.90,45.50
45.02,45.85,45.85,44.75
45.00,46.00,46.00,45.00
46.00,46.00,46.00,46.00
45.02,45.06,45.06,45.02
45.06,45.06,45.06,45.06
45.06,45.06,45.06,45.06
45.00,45.50,45.50,45.00
45.50,45.50,45.50,45.50
45.50,46.50,46.50,45.50
46.50,46.25,46.50,46.25
45.70,45.70,45.70,45.70
46.00,46.50,46.50,46.00
45.60,46.39,46.39,45.50
46.39,46.39,46.39,46.39
45.21,46.59,46.59,45.21
46.83,46.30,46.86,46.30
46.93,46.85,46.93,46.85
46.04,46.68,46.68,46.00
46.10,46.54,46.54,46.00
46.15,46.98,46.98,46.15
46.90,46.90,46.90,46.90
46.17,46.87,46.87,46.05
