BRK.B,Berkshire Hathaway Inc. New Common Stock,NASDAQ
76.56,75.86,76.90,75.02
75.38,75.52,76.10,74.86
76.24,74.90,76.44,74.84
75.50,75.13,75.70,74.60
75.06,74.04,75.32,73.73
74.98,76.10,76.44,74.69
76.34,76.22,76.34,75.50
76.20,76.89,76.90,75.82
76.95,77.74,77.80,76.71
77.48,77.23,78.05,77.01
77.30,76.52,77.41,76.30
76.89,76.90,77.00,76.29
76.85,76.30,76.85,76.30
77.38,77.68,78.29,77.31
77.55,76.80,77.55,76.60
76.41,76.93,77.12,75.86
76.81,76.39,77.11,76.13
76.49,76.29,76.77,75.94
77.00,77.42,77.50,76.72
77.22,78.00,78.05,76.91
78.33,78.50,78.50,77.63
77.84,77.77,77.95,77.00
78.57,77.97,78.62,77.60
77.89,78.92,78.92,77.83
78.98,79.59,79.59,78.59
79.63,79.91,79.92,79.34
79.60,79.15,79.70,78.81
78.47,78.48,78.78,78.14
78.22,79.85,79.96,77.96
79.94,79.66,80.08,79.04
79.33,79.42,79.73,78.87
78.27,78.69,78.80,78.10
79.18,78.37,79.26,78.25
78.79,78.66,79.66,78.58
78.88,78.73,79.04,78.45
79.56,80.00,80.05,79.28
79.50,79.85,79.93,79.44
79.38,79.88,80.00,79.18
79.82,79.66,79.89,79.47
79.66,79.20,79.78,78.95
78.85,78.79,79.28,78.50
79.16,79.44,79.61,79.01
79.28,78.92,79.30,78.24
79.04,78.07,79.34,77.89
78.03,78.91,78.98,77.98
79.28,79.42,79.65,78.88
79.44,79.63,79.88,79.31
79.50,78.93,79.59,78.80
78.72,79.37,79.41,78.72
79.63,80.04,80.10,79.52
79.45,80.25,80.48,78.70
80.49,79.44,80.49,79.20
79.57,78.45,79.67,78.41
78.64,78.78,78.92,78.44
78.60,78.29,78.75,78.18
78.49,79.17,79.30,78.28
78.68,78.47,79.04,78.31
78.53,78.82,78.84,78.26
79.02,78.87,79.15,78.44
79.03,79.41,79.50,78.83
79.43,79.54,79.66,79.30
79.72,80.76,80.85,79.66
80.69,80.71,80.89,80.39
80.55,81.34,81.37,80.33
81.23,81.07,81.49,80.95
81.11,81.48,81.62,81.03
81.25,81.45,81.60,81.07
81.45,81.21,81.46,80.73
80.81,80.93,81.09,80.56
81.07,81.38,81.60,80.77
81.88,82.34,82.34,81.70
82.47,81.76,82.47,81.70
81.85,81.78,81.89,80.95
81.27,81.35,81.66,80.75
81.62,81.15,81.81,80.89
81.15,81.84,82.03,81.00
81.50,81.54,81.84,80.76
81.00,81.05,81.46,80.79
80.81,80.91,81.28,80.65
80.18,79.76,80.26,79.60
79.60,78.70,79.80,78.68
79.60,79.05,79.60,78.84
78.91,80.06,80.20,78.74
79.91,78.82,80.00,78.70
79.48,79.67,79.94,79.08
80.28,80.76,80.99,79.87
79.90,79.74,80.23,79.65
79.77,79.28,80.03,78.75
79.27,78.90,79.56,78.86
78.42,78.80,79.18,78.21
78.99,79.79,79.85,78.83
79.86,79.94,80.07,79.65
79.87,80.40,80.58,79.74
80.44,80.56,80.70,80.12
80.51,80.45,80.72,80.21
80.47,81.46,81.48,80.40
81.12,81.13,81.30,80.68
81.25,81.26,81.54,81.04
80.81,80.94,81.25,80.53
81.26,82.47,82.59,80.95
82.30,82.22,82.46,81.52
81.50,81.43,82.00,81.43
81.99,81.78,82.40,81.61
81.25,81.60,82.28,81.00
81.01,80.53,81.17,80.47
80.36,80.21,80.91,80.15
80.42,80.59,81.09,80.26
80.71,79.87,80.93,79.87
80.24,78.91,80.24,78.64
79.01,79.80,79.87,78.66
80.01,79.65,80.80,79.25
79.30,79.75,79.87,78.67
79.79,79.80,79.99,79.09
79.53,79.25,79.99,79.00
79.73,79.82,79.94,79.25
79.18,78.83,79.49,78.59
78.64,79.36,79.85,78.28
78.33,79.02,79.39,78.33
79.00,79.04,79.09,78.45
78.90,79.12,79.27,78.83
79.42,80.68,80.68,78.91
80.89,80.66,81.25,80.38
80.56,81.36,81.36,80.28
81.58,80.28,81.66,80.20
80.42,81.26,81.31,80.04
81.01,80.59,81.14,80.24
80.91,81.72,82.00,80.74
82.27,82.57,82.57,82.05
82.06,82.15,82.49,82.02
82.40,82.98,83.03,82.33
82.98,82.46,83.00,81.90
82.68,81.19,82.80,81.03
81.34,81.87,82.09,80.90
81.32,80.47,81.32,80.44
80.72,81.33,81.77,80.46
81.46,81.98,82.40,81.43
81.26,82.34,82.34,81.00
82.74,83.33,83.33,82.60
83.34,83.65,83.67,82.86
83.64,83.78,83.88,83.27
83.45,83.22,83.70,83.16
82.50,82.54,82.83,82.14
82.57,83.39,83.67,82.38
83.63,83.05,83.72,82.90
83.25,84.09,84.41,83.25
83.42,83.54,83.99,83.19
83.77,84.48,84.49,83.51
84.31,83.98,84.49,83.50
84.06,85.19,85.19,83.71
84.88,84.98,85.35,84.79
84.97,84.63,85.17,84.21
84.22,83.83,84.28,83.61
82.99,83.59,84.22,82.95
83.54,83.70,83.90,83.03
84.13,84.04,84.44,83.33
84.69,84.67,85.17,84.42
85.05,85.20,85.39,84.75
85.01,85.23,85.44,84.81
85.16,84.84,85.19,84.55
85.04,84.62,85.31,82.12
84.02,84.08,84.47,83.23
84.75,85.58,85.69,84.71
86.01,85.15,86.01,85.09
85.36,84.67,85.75,84.64
84.30,84.65,84.85,84.29
