BASI,Bioanalytical Systems,NASDAQ
1.44,1.46,1.46,1.41
1.46,1.46,1.46,1.46
1.46,1.58,1.58,1.40
1.55,1.54,1.55,1.42
N/A,N/A,N/A,N/A
1.44,1.43,1.44,1.41
1.45,1.46,1.56,1.45
1.54,1.58,1.58,1.53
1.55,1.57,1.58,1.45
1.55,1.57,1.57,1.55
1.57,1.46,1.57,1.45
1.49,1.46,1.50,1.45
1.50,1.50,1.50,1.50
1.46,1.47,1.48,1.42
1.47,1.45,1.48,1.45
1.43,1.43,1.44,1.42
1.42,1.42,1.42,1.42
1.42,1.42,1.43,1.42
1.50,1.49,1.50,1.46
1.50,1.46,1.50,1.45
1.47,1.44,1.47,1.44
1.43,1.50,1.50,1.43
1.48,1.48,1.50,1.48
1.50,1.50,1.50,1.48
N/A,N/A,N/A,N/A
1.48,1.50,1.50,1.48
1.50,1.50,1.50,1.50
1.50,1.52,1.54,1.50
1.52,1.52,1.52,1.52
1.52,1.50,1.52,1.47
1.46,1.35,1.60,1.35
1.40,1.38,1.41,1.35
1.45,1.38,1.45,1.37
1.37,1.40,1.41,1.36
1.47,1.43,1.47,1.40
1.43,1.48,1.48,1.43
1.43,1.37,1.43,1.37
1.36,1.40,1.40,1.36
1.38,1.37,1.38,1.37
1.39,1.33,1.39,1.33
1.35,1.30,1.35,1.30
1.29,1.30,1.30,1.29
1.30,1.30,1.33,1.30
1.32,1.31,1.35,1.30
1.33,1.31,1.38,1.30
N/A,N/A,N/A,N/A
1.32,1.35,1.37,1.30
1.35,1.36,1.39,1.30
1.34,1.36,1.39,1.34
N/A,N/A,N/A,N/A
1.39,1.32,1.39,1.31
1.38,1.38,1.38,1.32
1.31,1.36,1.36,1.31
1.34,1.34,1.34,1.34
1.34,1.36,1.44,1.34
1.32,1.26,1.33,1.26
1.29,1.26,1.29,1.25
1.27,1.26,1.27,1.26
1.27,1.30,1.30,1.27
1.31,1.31,1.32,1.30
1.30,1.36,1.43,1.30
1.38,1.39,1.39,1.38
1.35,1.35,1.35,1.35
1.36,1.34,1.36,1.34
1.31,1.37,1.37,1.31
1.39,1.29,1.40,1.29
1.31,1.39,1.39,1.30
N/A,N/A,N/A,N/A
1.35,1.33,1.35,1.25
1.30,1.29,1.37,1.27
1.35,1.35,1.35,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.34,1.33,1.34,1.33
1.35,1.31,1.44,1.30
1.40,1.47,1.49,1.40
1.60,1.83,2.07,1.48
2.02,1.85,2.17,1.84
1.89,1.74,1.95,1.60
1.64,1.74,1.77,1.60
1.63,1.79,1.79,1.61
1.77,1.87,1.87,1.77
1.92,1.92,1.98,1.88
1.90,1.87,1.94,1.87
1.95,1.96,1.96,1.72
1.82,1.90,2.06,1.76
1.80,1.73,1.89,1.72
1.73,1.74,1.94,1.72
1.76,1.72,1.76,1.72
1.75,1.75,1.75,1.75
1.75,1.76,1.83,1.75
1.79,1.78,1.83,1.75
1.83,1.83,1.83,1.83
1.81,1.81,1.88,1.80
1.80,1.75,1.80,1.75
1.75,1.76,1.78,1.75
1.81,1.78,1.81,1.78
1.78,1.83,1.83,1.78
1.84,1.83,1.85,1.83
1.80,1.84,1.85,1.79
1.88,1.89,1.90,1.86
1.86,1.90,1.98,1.80
1.94,2.25,2.28,1.90
2.40,2.30,2.40,2.21
2.26,2.13,2.35,2.13
2.25,2.25,2.30,2.25
2.34,2.29,2.34,2.26
2.27,2.20,2.28,2.07
2.25,2.35,2.46,2.25
2.39,2.33,2.45,2.26
2.30,2.30,2.33,2.25
2.30,2.28,2.34,2.25
2.28,2.39,2.40,2.28
2.35,2.41,2.44,2.35
2.36,2.34,2.37,2.27
2.34,2.16,2.38,2.16
2.23,2.27,2.27,2.14
2.27,2.26,2.27,2.16
2.21,2.31,2.31,2.21
2.30,2.35,2.35,2.26
2.44,2.25,2.44,2.25
2.30,2.50,2.50,2.30
3.00,3.06,3.80,2.75
3.09,2.74,3.14,2.57
2.77,2.75,3.07,2.74
3.00,2.84,3.00,2.61
2.89,2.71,2.89,2.66
2.83,2.82,2.84,2.48
2.84,2.73,2.84,2.61
2.84,2.75,2.86,2.70
2.83,2.90,2.98,2.75
2.95,3.30,3.35,2.90
3.36,3.17,3.36,3.03
3.18,3.05,3.20,3.00
3.16,3.12,3.20,3.00
3.18,3.13,3.22,3.04
3.18,3.24,3.38,3.18
3.29,3.08,3.29,3.08
3.15,3.14,3.25,3.04
3.24,3.19,3.25,3.10
3.14,3.15,3.21,3.14
3.14,3.07,3.18,3.06
3.11,3.02,3.20,2.94
3.11,2.93,3.15,2.80
2.90,2.97,3.00,2.81
2.95,3.03,3.09,2.95
3.06,3.05,3.10,3.00
3.05,3.01,3.05,3.00
3.01,3.13,3.20,3.00
3.19,3.16,3.28,3.03
3.20,3.30,3.34,3.19
3.45,3.29,3.50,3.15
3.32,3.20,3.33,3.15
3.20,3.27,3.36,3.14
3.21,3.24,3.39,3.15
3.35,3.25,3.35,3.17
2.80,2.91,2.94,2.58
2.90,2.93,3.05,2.89
2.90,2.86,2.98,2.85
2.99,2.73,2.99,2.72
2.81,2.77,2.81,2.74
2.81,2.84,2.84,2.74
2.82,2.84,2.98,2.80
2.82,2.83,2.85,2.82
2.85,2.82,2.85,2.82
2.78,2.80,2.85,2.78
2.78,2.70,2.85,2.70
2.70,2.76,2.82,2.70
2.72,2.72,2.77,2.70
2.70,2.73,2.75,2.70
2.75,2.79,2.80,2.74
2.75,2.78,2.79,2.70
2.79,2.80,2.80,2.75
2.76,2.85,2.93,2.72
2.80,2.76,2.90,2.73
2.83,2.79,2.83,2.79
2.75,2.78,2.91,2.75
2.85,2.75,2.86,2.75
2.81,2.78,2.84,2.77
2.82,2.80,2.88,2.77
2.81,2.78,2.84,2.77
2.82,2.70,2.84,2.70
2.73,2.70,2.79,2.65
2.67,2.63,2.75,2.63
2.75,2.63,2.79,2.61
2.61,2.49,2.61,2.49
2.50,2.50,2.57,2.50
2.51,2.51,2.56,2.51
2.58,2.70,2.70,2.52
2.82,2.91,2.99,2.78
2.91,2.95,2.96,2.77
2.89,2.76,2.89,2.74
2.77,2.72,2.77,2.67
2.68,2.62,2.72,2.62
2.73,2.64,2.73,2.64
2.71,2.64,2.71,2.61
2.61,2.62,2.72,2.61
2.64,2.70,2.78,2.62
2.70,2.59,2.70,2.58
2.62,2.71,2.81,2.57
2.72,2.81,2.81,2.65
2.84,2.76,2.84,2.72
2.77,2.78,2.83,2.65
2.70,2.77,2.83,2.70
2.80,2.70,2.82,2.70
2.74,2.75,2.83,2.70
2.70,2.55,2.87,2.55
2.60,2.65,2.80,2.55
2.57,2.65,2.67,2.57
2.71,2.77,2.77,2.66
2.72,2.64,2.72,2.62
2.56,2.63,2.70,2.56
2.67,2.61,2.70,2.61
2.74,2.55,2.77,2.55
2.58,2.60,2.77,2.55
2.62,2.62,2.69,2.60
2.62,2.59,2.71,2.59
2.60,2.68,2.68,2.60
2.61,2.58,2.67,2.57
2.55,2.55,2.64,2.50
2.50,2.52,2.52,2.50
2.54,2.65,2.71,2.51
2.70,2.66,2.71,2.66
2.64,2.78,2.80,2.61
2.79,2.74,2.84,2.68
2.70,2.63,2.76,2.63
2.66,2.74,2.74,2.61
2.76,2.69,2.76,2.62
2.72,2.65,2.79,2.65
2.72,2.71,2.77,2.67
N/A,N/A,N/A,N/A
2.62,2.76,2.76,2.62
2.70,2.71,2.72,2.68
2.65,2.64,2.65,2.64
2.68,2.66,2.68,2.66
2.70,2.70,2.71,2.69
2.67,2.64,2.67,2.63
N/A,N/A,N/A,N/A
2.78,2.75,2.78,2.74
2.65,2.77,2.77,2.64
2.82,2.68,2.82,2.68
2.65,2.61,2.66,2.60
2.65,2.60,2.65,2.60
2.60,2.56,2.63,2.56
2.56,2.58,2.60,2.55
2.60,2.60,2.62,2.55
2.60,2.59,2.60,2.59
2.55,2.51,2.55,2.51
2.50,2.53,2.57,2.50
2.51,2.51,2.56,2.50
2.52,2.53,2.54,2.50
2.51,2.60,2.62,2.51
2.53,2.55,2.57,2.53
2.52,2.53,2.53,2.52
2.51,2.49,2.51,2.44
2.50,2.51,2.51,2.44
2.45,2.50,2.52,2.45
2.45,2.44,2.45,2.44
2.45,2.60,2.60,2.44
2.46,2.58,2.58,2.46
2.52,2.46,2.52,2.46
2.49,2.50,2.56,2.47
2.47,2.27,2.62,2.27
2.27,2.33,2.45,2.27
2.29,2.40,2.47,2.28
2.45,2.31,2.48,2.30
2.32,2.30,2.48,2.27
2.30,2.31,2.37,2.30
2.30,2.30,2.39,2.30
2.30,2.29,2.34,2.28
2.29,2.24,2.30,2.23
2.18,2.28,2.28,2.18
2.20,2.25,2.29,2.19
2.26,2.25,2.28,2.25
2.23,2.12,2.23,2.01
2.10,2.14,2.20,2.09
2.11,2.13,2.20,2.11
2.11,2.18,2.18,2.11
2.04,2.15,2.17,2.04
2.11,2.15,2.15,2.05
2.02,2.13,2.13,2.02
2.05,2.17,2.17,2.02
2.17,2.39,2.43,2.17
2.35,2.50,2.50,2.35
2.50,2.40,2.50,2.36
2.43,2.46,2.46,2.38
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.48,2.49,2.49,2.45
2.47,2.46,2.47,2.46
2.45,2.45,2.45,2.45
2.37,2.30,2.40,2.30
2.30,2.19,2.30,2.15
2.19,2.20,2.25,2.19
2.15,2.16,2.16,2.15
N/A,N/A,N/A,N/A
2.16,2.16,2.18,2.15
2.22,2.20,2.22,2.15
2.15,2.14,2.15,2.14
2.25,2.24,2.27,2.24
2.30,2.26,2.35,2.25
2.27,2.26,2.28,2.20
2.17,2.25,2.30,2.16
2.18,2.35,2.35,2.15
2.19,2.29,2.29,2.19
2.33,2.32,2.34,2.20
2.33,2.28,2.43,2.26
2.42,2.50,2.50,2.30
2.52,2.40,2.52,2.38
2.45,2.52,2.52,2.45
2.50,2.40,2.50,2.25
2.40,2.32,2.40,2.32
2.26,2.31,2.31,2.25
2.31,2.31,2.31,2.31
N/A,N/A,N/A,N/A
2.30,2.23,2.31,2.20
2.23,2.22,2.23,2.20
2.21,2.22,2.23,2.21
2.20,2.23,2.23,2.20
2.21,2.21,2.21,2.21
2.21,2.20,2.21,2.18
N/A,N/A,N/A,N/A
2.20,2.18,2.27,2.15
2.16,2.15,2.16,2.15
2.17,2.15,2.17,2.15
2.33,2.21,2.33,2.21
2.17,2.20,2.30,2.16
2.28,2.20,2.31,2.16
2.27,2.40,2.45,2.15
2.24,2.39,2.39,2.23
N/A,N/A,N/A,N/A
2.20,2.39,2.39,2.20
2.21,2.30,2.38,2.17
2.20,2.38,2.40,2.16
2.18,2.33,2.33,2.18
2.25,2.20,2.35,2.20
2.22,2.39,2.39,2.21
2.39,2.39,2.39,2.39
2.29,2.32,2.39,2.20
2.22,2.50,2.60,2.22
2.54,2.50,2.54,2.35
2.51,2.51,2.51,2.51
2.51,2.35,2.51,2.35
2.34,2.30,2.40,2.30
2.30,2.30,2.30,2.30
2.38,2.44,2.44,2.30
2.40,2.41,2.41,2.40
2.28,2.42,2.42,2.28
2.42,2.30,2.42,2.30
2.40,2.40,2.40,2.40
2.30,2.25,2.38,2.25
N/A,N/A,N/A,N/A
2.25,2.25,2.29,2.25
2.25,2.36,2.45,2.25
2.25,2.26,2.26,2.25
2.30,2.31,2.32,2.27
2.48,2.33,2.48,2.30
2.30,2.30,2.32,2.30
2.30,2.25,2.30,2.25
2.25,2.30,2.30,2.25
2.25,2.25,2.32,2.25
2.25,2.25,2.25,2.25
2.20,2.20,2.43,2.20
2.24,2.25,2.34,2.22
2.29,2.16,2.35,2.13
2.11,2.18,2.18,2.11
2.08,2.16,2.24,2.08
2.21,2.15,2.30,2.10
2.16,2.20,2.35,2.16
2.30,2.23,2.30,2.23
2.21,2.28,2.28,2.20
2.26,2.26,2.32,2.20
2.29,2.20,2.29,2.20
2.23,2.09,2.23,2.05
N/A,N/A,N/A,N/A
2.10,2.11,2.23,2.10
2.11,2.14,2.19,2.11
2.17,2.13,2.17,2.13
2.18,2.18,2.18,2.13
2.13,2.12,2.13,2.05
2.18,2.10,2.19,2.06
2.11,2.07,2.15,2.06
2.06,2.10,2.15,2.06
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.23,2.25,2.25,2.23
2.23,2.21,2.24,2.21
2.21,2.24,2.25,2.21
2.24,2.22,2.24,2.22
2.25,2.23,2.25,2.23
N/A,N/A,N/A,N/A
2.11,2.05,2.11,2.05
2.10,2.10,2.10,2.10
2.10,2.17,2.17,2.10
2.10,2.10,2.18,2.10
2.07,2.12,2.12,2.07
2.12,2.09,2.12,2.07
2.17,2.18,2.18,2.17
2.06,2.11,2.13,2.05
2.10,2.10,2.12,2.07
N/A,N/A,N/A,N/A
2.10,2.11,2.14,2.10
2.13,2.11,2.15,2.11
2.11,2.25,2.25,2.11
2.25,2.20,2.25,2.18
2.12,2.10,2.14,2.05
2.10,2.18,2.24,2.09
2.10,1.88,2.10,1.87
1.88,2.06,2.08,1.87
2.05,2.03,2.05,2.00
2.03,2.02,2.03,2.00
2.00,2.00,2.00,2.00
2.03,2.02,2.04,2.00
2.02,2.02,2.02,2.00
2.02,2.05,2.05,2.02
N/A,N/A,N/A,N/A
2.00,1.99,2.04,1.99
2.04,2.03,2.04,1.90
2.02,1.97,2.02,1.91
1.96,2.00,2.02,1.95
1.95,2.03,2.03,1.95
2.02,2.05,2.05,2.00
2.03,2.04,2.05,2.03
2.00,2.04,2.05,2.00
2.00,2.02,2.04,1.95
2.04,1.97,2.05,1.97
1.96,2.00,2.00,1.85
1.99,2.03,2.05,1.98
2.05,2.05,2.05,2.05
2.02,2.04,2.04,2.02
2.02,2.01,2.02,2.01
2.01,2.04,2.04,2.00
1.99,1.98,2.02,1.98
2.02,2.02,2.04,1.98
1.99,2.00,2.00,1.99
1.97,2.03,2.03,1.90
N/A,N/A,N/A,N/A
2.03,2.03,2.03,1.98
2.04,2.04,2.04,2.02
2.04,2.03,2.05,2.03
2.04,2.04,2.04,2.04
2.05,2.05,2.05,2.05
2.05,2.07,2.07,2.05
2.05,1.95,2.05,1.92
1.98,2.04,2.04,1.98
2.04,2.04,2.04,2.04
2.04,1.98,2.07,1.98
1.96,2.02,2.03,1.96
2.02,2.03,2.06,1.92
2.05,2.04,2.06,2.04
2.03,2.07,2.10,2.00
2.08,2.07,2.08,2.07
2.07,2.09,2.09,2.07
2.07,2.07,2.07,2.07
2.07,2.05,2.07,2.05
2.05,2.05,2.08,2.05
2.09,2.11,2.11,2.07
2.07,2.07,2.07,2.07
2.06,2.03,2.06,2.00
2.02,2.00,2.04,2.00
2.03,2.04,2.04,2.01
2.00,1.88,2.00,1.88
1.92,1.92,2.04,1.92
1.92,2.03,2.04,1.92
2.03,2.03,2.03,2.03
1.97,2.00,2.05,1.83
1.93,1.90,1.93,1.90
1.94,2.02,2.02,1.94
1.92,1.84,2.01,1.83
1.89,2.08,2.12,1.89
1.88,2.06,2.08,1.88
2.06,2.04,2.06,2.04
2.00,1.99,2.00,1.95
N/A,N/A,N/A,N/A
1.96,2.00,2.00,1.92
1.98,2.00,2.00,1.96
1.96,1.99,2.00,1.96
1.99,2.00,2.00,1.98
2.01,2.01,2.01,2.01
2.08,2.08,2.08,2.08
2.08,2.11,2.11,2.08
2.07,2.11,2.11,2.07
2.15,2.15,2.15,2.09
2.15,2.10,2.15,2.08
2.12,2.10,2.12,2.09
2.18,2.16,2.18,2.13
2.15,2.19,2.19,2.15
2.15,2.15,2.16,2.15
2.11,2.11,2.19,2.11
2.10,2.08,2.10,2.08
2.08,2.08,2.08,2.08
2.14,2.14,2.14,2.14
2.16,2.11,2.20,2.10
2.18,2.12,2.18,2.12
2.08,1.95,2.15,1.95
2.00,2.03,2.04,2.00
2.00,1.95,2.04,1.93
2.00,2.04,2.04,2.00
2.00,2.00,2.00,2.00
2.03,1.91,2.03,1.91
1.94,2.00,2.01,1.94
2.02,2.02,2.02,2.02
2.03,2.01,2.03,1.99
2.01,1.97,2.01,1.97
1.98,1.98,1.98,1.97
N/A,N/A,N/A,N/A
1.88,1.89,1.90,1.82
1.88,1.86,1.96,1.85
1.90,1.90,1.95,1.88
1.88,1.90,1.92,1.88
1.90,1.88,1.90,1.88
1.94,1.93,1.94,1.91
1.88,1.87,1.92,1.85
1.90,1.90,1.92,1.90
1.90,1.85,1.90,1.82
1.85,1.78,1.85,1.72
1.77,1.79,1.80,1.70
1.70,1.65,1.71,1.60
1.60,1.60,1.68,1.60
1.58,1.58,1.60,1.58
1.55,1.60,1.60,1.55
1.59,1.53,1.67,1.53
1.53,1.46,1.53,1.46
1.42,1.47,1.47,1.41
N/A,N/A,N/A,N/A
1.41,1.42,1.42,1.40
1.34,1.37,1.37,1.29
1.32,1.30,1.32,1.30
1.23,1.56,1.56,1.23
1.57,1.51,1.75,1.50
1.52,1.63,1.63,1.52
1.61,1.84,1.84,1.61
1.92,1.86,1.92,1.85
1.84,1.78,1.95,1.78
1.79,1.70,1.79,1.65
1.65,1.50,1.65,1.50
1.43,1.47,1.54,1.43
1.50,1.30,1.52,1.28
1.29,1.32,1.41,1.27
1.27,1.35,1.44,1.27
1.35,1.35,1.35,1.35
1.47,1.57,1.57,1.47
1.55,1.64,1.64,1.55
1.61,1.64,1.64,1.61
1.61,1.60,1.63,1.60
1.61,1.65,1.71,1.61
1.67,1.69,1.69,1.61
1.64,1.62,1.64,1.61
N/A,N/A,N/A,N/A
1.64,1.64,1.64,1.64
1.62,1.61,1.62,1.61
1.63,1.63,1.63,1.63
1.63,1.64,1.64,1.60
1.64,1.67,1.67,1.63
1.66,1.70,1.73,1.66
1.71,1.63,1.71,1.62
1.63,1.67,1.75,1.63
1.64,1.68,1.68,1.63
1.77,1.76,1.77,1.66
1.71,1.75,1.75,1.71
N/A,N/A,N/A,N/A
1.72,1.72,1.72,1.72
1.70,1.70,1.70,1.70
1.69,1.86,1.87,1.69
1.74,1.70,1.76,1.61
1.82,1.82,1.82,1.82
1.80,1.69,1.80,1.62
N/A,N/A,N/A,N/A
1.78,1.73,1.78,1.64
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.70,1.65,1.70,1.65
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.63,1.61,1.63,1.59
1.60,1.48,1.66,1.48
1.56,1.56,1.56,1.56
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.52,1.52,1.52,1.52
1.46,1.50,1.51,1.38
1.50,1.52,1.52,1.50
1.47,1.41,1.47,1.41
1.47,1.53,1.54,1.45
1.40,1.39,1.52,1.38
1.50,1.50,1.50,1.50
1.51,1.48,1.51,1.42
1.50,1.50,1.50,1.50
1.50,1.51,1.51,1.50
1.51,1.51,1.51,1.51
1.35,1.38,1.53,1.35
1.49,1.49,1.49,1.49
1.50,1.72,1.75,1.50
1.70,1.65,1.70,1.60
1.67,1.67,1.67,1.67
1.75,1.61,1.75,1.61
1.70,1.70,1.70,1.70
1.70,1.60,1.70,1.60
1.60,1.55,1.60,1.55
N/A,N/A,N/A,N/A
1.56,1.68,1.70,1.56
N/A,N/A,N/A,N/A
1.69,1.70,1.70,1.65
1.65,1.65,1.65,1.65
N/A,N/A,N/A,N/A
1.56,1.56,1.56,1.56
N/A,N/A,N/A,N/A
1.59,1.69,1.69,1.59
1.70,1.64,1.70,1.64
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.56,1.56,1.56,1.56
1.56,1.65,1.65,1.56
1.67,1.67,1.67,1.67
1.58,1.60,1.60,1.55
1.56,1.55,1.57,1.55
1.62,1.65,1.65,1.55
1.67,1.57,1.67,1.57
1.64,1.62,1.64,1.61
1.65,1.60,1.66,1.59
1.57,1.57,1.60,1.57
N/A,N/A,N/A,N/A
1.58,1.55,1.58,1.55
1.46,1.46,1.51,1.46
1.45,1.56,1.56,1.45
1.59,1.56,1.59,1.56
1.57,1.52,1.57,1.52
1.51,1.53,1.56,1.51
1.52,1.52,1.52,1.52
1.54,1.54,1.54,1.54
N/A,N/A,N/A,N/A
1.47,1.45,1.47,1.45
1.45,1.44,1.50,1.40
1.45,1.45,1.49,1.45
1.45,1.45,1.45,1.45
1.45,1.52,1.53,1.45
1.45,1.43,1.45,1.40
1.44,1.40,1.44,1.40
1.35,1.36,1.53,1.35
1.40,1.35,1.43,1.35
1.36,1.32,1.38,1.32
1.34,1.35,1.43,1.34
1.52,1.41,1.52,1.40
1.55,1.54,1.57,1.54
1.50,1.50,1.51,1.50
1.54,1.54,1.54,1.52
1.53,1.53,1.53,1.53
1.60,1.58,1.69,1.58
1.60,1.60,1.60,1.60
1.50,1.50,1.50,1.50
1.52,1.54,1.54,1.50
1.59,1.59,1.59,1.58
N/A,N/A,N/A,N/A
1.46,1.44,1.46,1.43
N/A,N/A,N/A,N/A
1.49,1.49,1.49,1.49
1.42,1.40,1.45,1.37
1.40,1.40,1.40,1.40
1.40,1.20,1.40,1.15
N/A,N/A,N/A,N/A
1.14,1.12,1.14,1.10
1.11,1.12,1.12,1.11
1.04,1.11,1.11,1.01
1.08,1.04,1.11,1.02
1.02,1.19,1.19,1.00
N/A,N/A,N/A,N/A
1.19,1.11,1.20,1.10
1.20,1.21,1.30,1.13
1.26,1.25,1.26,1.25
1.25,1.31,1.32,1.13
1.34,1.32,1.35,1.32
1.40,1.29,1.40,1.21
1.22,1.22,1.40,1.12
1.21,1.21,1.40,1.20
1.30,1.26,1.40,1.20
1.20,1.20,1.22,1.20
1.20,1.08,1.27,1.07
1.08,1.12,1.16,1.02
1.06,1.09,1.24,1.04
1.17,1.36,1.37,1.06
1.40,1.26,1.40,1.19
1.19,1.19,1.36,1.17
N/A,N/A,N/A,N/A
1.16,1.08,1.16,1.07
1.11,1.22,1.22,1.11
1.21,1.21,1.21,1.21
1.10,1.10,1.22,1.10
1.22,1.10,1.22,1.10
1.19,1.14,1.19,1.13
1.14,1.17,1.17,1.14
1.20,1.20,1.21,1.20
1.17,1.15,1.22,1.15
1.15,1.07,1.15,1.07
1.07,1.07,1.07,1.07
1.08,1.10,1.21,1.08
1.20,1.08,1.25,1.08
1.07,1.07,1.07,1.07
1.07,1.03,1.07,1.03
1.06,1.08,1.08,1.06
1.08,1.10,1.10,1.07
1.10,1.03,1.10,1.03
1.08,1.04,1.10,1.04
1.04,1.05,1.05,1.03
1.05,1.03,1.05,1.03
1.05,1.05,1.05,1.03
1.02,1.03,1.06,1.02
1.02,1.07,1.07,1.02
1.02,1.06,1.06,1.02
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.02,1.04,1.05,1.02
1.01,1.01,1.01,1.01
1.02,1.02,1.02,1.02
1.02,1.01,1.02,1.00
1.01,1.01,1.01,1.01
1.04,1.01,1.04,1.01
1.02,1.00,1.03,1.00
1.00,1.06,1.06,0.90
1.06,1.02,1.06,1.02
1.01,0.94,1.06,0.94
0.95,0.95,0.99,0.95
1.00,0.95,1.05,0.90
0.95,0.95,0.95,0.95
0.92,0.92,0.92,0.92
0.92,0.95,0.95,0.92
0.93,0.93,0.93,0.93
0.92,0.92,1.05,0.92
0.93,0.93,0.93,0.93
1.00,1.03,1.04,1.00
N/A,N/A,N/A,N/A
0.95,0.94,0.98,0.92
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.00,1.00,1.01,1.00
1.00,1.00,1.00,1.00
1.00,1.01,1.01,1.00
1.00,1.00,1.00,1.00
1.01,1.01,1.01,1.01
N/A,N/A,N/A,N/A
1.02,1.02,1.02,1.02
1.02,1.01,1.02,1.01
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.01,1.04,1.04,1.01
1.06,1.06,1.06,1.06
1.07,1.20,1.27,1.07
1.21,1.25,1.25,1.21
1.25,1.17,1.25,1.17
N/A,N/A,N/A,N/A
1.18,1.20,1.20,1.18
N/A,N/A,N/A,N/A
1.23,1.23,1.23,1.23
1.20,1.20,1.20,1.20
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.25,1.22,1.25,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.25,1.20,1.25,1.20
1.22,1.30,1.38,1.17
1.10,1.10,1.22,1.10
1.16,1.16,1.16,1.16
1.24,1.11,1.24,1.11
1.13,1.17,1.19,1.13
1.18,1.40,1.70,1.12
1.27,1.28,1.32,1.21
1.39,1.25,1.39,1.23
1.33,1.30,1.33,1.22
1.39,1.18,1.39,1.18
1.16,1.39,1.39,1.16
1.40,1.30,1.40,1.27
1.32,1.33,1.36,1.32
1.39,1.32,1.39,1.30
1.35,1.32,1.38,1.32
1.34,1.40,1.40,1.20
1.40,1.40,1.44,1.26
1.22,1.18,1.22,1.05
1.30,1.21,1.35,1.16
1.21,1.25,1.31,1.15
1.20,1.34,1.35,1.18
1.25,1.21,1.33,1.21
1.27,1.24,1.27,1.18
1.18,1.16,1.20,1.16
1.24,1.23,1.24,1.13
1.18,1.21,1.23,1.14
1.22,1.20,1.22,1.09
1.10,1.17,1.17,1.10
1.13,1.21,1.21,1.13
1.20,1.19,1.21,1.11
1.12,1.11,1.15,1.11
1.19,1.11,1.19,1.11
1.14,1.17,1.17,1.14
1.12,1.17,1.17,1.12
1.15,1.12,1.16,1.12
1.15,1.11,1.16,1.11
1.10,1.10,1.15,1.10
1.12,1.14,1.14,1.12
1.15,1.15,1.15,1.15
1.15,1.13,1.18,1.10
1.11,1.12,1.13,1.11
1.14,1.11,1.14,1.10
1.10,1.20,1.20,1.10
1.18,1.10,1.18,1.10
1.14,1.14,1.18,1.14
1.14,1.09,1.18,1.09
1.17,1.13,1.17,1.10
1.17,1.15,1.17,1.15
1.13,1.17,1.17,1.11
1.13,1.11,1.16,1.10
1.13,1.11,1.17,1.10
1.10,1.17,1.17,1.10
1.15,1.15,1.15,1.15
1.11,1.10,1.17,1.10
1.11,1.09,1.15,1.09
1.10,1.05,1.10,0.99
1.05,0.94,1.05,0.94
0.96,0.93,0.96,0.90
0.95,0.96,0.99,0.95
0.96,0.95,0.96,0.95
1.02,1.10,1.15,1.02
1.10,1.10,1.13,1.05
1.13,1.13,1.13,1.03
1.12,0.99,1.12,0.99
1.03,1.00,1.03,1.00
1.02,0.97,1.02,0.97
0.97,0.95,0.98,0.95
0.97,0.95,0.98,0.95
0.90,0.91,0.92,0.90
0.94,0.96,0.99,0.94
0.99,0.87,0.99,0.87
0.88,0.86,0.88,0.85
0.90,0.80,0.94,0.80
0.80,0.76,0.80,0.70
0.77,0.79,0.79,0.70
0.75,0.78,0.78,0.75
0.80,0.79,0.86,0.79
0.84,0.88,0.88,0.77
0.78,0.86,0.87,0.76
0.76,0.80,0.81,0.76
0.80,0.80,0.80,0.75
0.75,0.67,0.75,0.67
0.68,0.67,0.68,0.60
0.67,0.68,0.71,0.64
0.67,0.68,0.68,0.67
0.69,0.71,0.71,0.69
0.70,0.69,0.70,0.68
0.69,0.68,0.69,0.68
0.66,0.69,0.70,0.65
0.67,0.67,0.67,0.67
0.66,0.63,0.66,0.63
0.65,0.65,0.67,0.65
0.68,0.70,0.70,0.64
0.67,0.71,0.71,0.63
0.70,0.75,0.80,0.70
0.66,0.80,0.80,0.66
0.76,0.80,0.97,0.71
0.83,0.77,0.92,0.72
0.76,0.76,0.80,0.68
0.80,0.81,0.94,0.75
0.85,0.83,0.85,0.78
0.85,0.95,0.95,0.72
0.95,0.81,0.95,0.76
0.79,0.78,0.80,0.73
0.77,0.84,0.85,0.77
0.84,0.85,0.87,0.74
