JJP,iPath Bloomberg Precious Metals Subindex Total Return SM Index ETN,NASDAQ
95.30,95.03,95.30,94.20
95.86,95.56,96.07,95.54
94.70,94.88,95.80,94.53
95.82,97.57,97.58,95.82
98.05,98.04,98.85,98.00
99.42,95.72,99.50,95.48
96.60,95.66,96.88,95.22
98.27,98.78,99.24,97.85
98.47,97.90,100.28,97.65
100.63,102.44,102.53,100.47
101.04,100.20,101.04,98.31
99.06,100.30,100.30,98.77
99.84,101.41,101.41,99.61
101.58,102.57,102.60,101.58
102.32,103.15,103.31,102.32
104.40,104.80,104.89,104.13
107.69,107.25,107.69,106.01
108.02,109.59,109.66,108.02
106.44,105.18,109.10,105.18
104.42,101.09,105.46,100.36
98.53,102.50,102.50,80.42
103.33,105.08,105.08,102.15
105.54,102.92,105.54,102.38
105.98,105.93,105.98,104.63
106.37,105.13,106.37,104.74
106.00,105.18,106.00,104.71
108.27,108.95,108.97,108.07
108.77,107.86,109.33,107.39
103.87,104.97,105.39,103.36
107.14,107.66,107.66,106.64
106.28,106.71,107.51,106.02
105.00,103.89,105.31,103.25
104.47,105.31,105.77,103.81
104.60,104.17,104.60,104.17
103.09,102.39,103.09,101.80
103.17,103.75,104.40,103.00
102.25,101.73,102.25,101.45
101.83,103.01,103.51,101.83
102.90,102.17,104.02,102.17
98.19,97.55,98.53,96.98
93.83,90.26,94.21,90.01
90.26,88.94,90.26,85.93
92.20,91.08,92.50,90.98
91.37,88.31,91.37,87.56
88.75,88.65,89.40,88.35
88.65,88.49,89.01,88.38
90.60,90.20,90.78,89.95
89.82,88.10,89.96,86.88
88.44,89.57,89.82,87.62
90.15,91.31,91.48,89.75
91.60,90.09,91.88,89.70
91.94,92.46,92.46,91.94
91.80,92.06,92.19,91.67
92.90,93.10,93.12,92.72
91.19,91.86,91.89,91.14
92.57,92.70,92.83,92.06
92.97,92.06,92.97,91.78
89.58,91.92,92.03,89.58
91.22,90.20,91.50,90.20
89.63,89.04,89.63,88.24
90.46,90.36,90.61,89.87
90.74,91.12,91.31,90.74
91.10,94.25,94.60,90.97
95.19,95.16,95.49,94.60
95.50,97.16,97.64,95.43
97.20,97.23,97.43,96.69
96.05,95.74,96.09,95.74
93.18,95.13,95.13,93.02
96.52,96.34,96.71,96.12
97.66,97.89,97.89,96.81
97.48,97.21,97.48,96.99
98.45,99.39,99.39,98.42
99.25,98.98,99.97,98.80
99.04,97.62,99.27,97.46
97.78,97.47,97.80,95.83
97.83,99.02,99.02,97.83
98.50,98.13,98.63,98.12
98.87,98.54,98.93,98.07
97.40,97.29,97.96,96.92
95.64,94.00,95.89,93.46
94.15,94.53,94.63,94.15
93.00,92.55,93.04,91.38
92.80,93.79,94.10,92.80
92.77,93.07,93.25,92.20
93.07,93.07,93.07,93.07
94.27,94.01,94.27,93.71
93.64,94.25,94.25,93.64
95.56,95.93,96.04,95.56
96.37,95.67,96.40,95.30
96.19,95.81,96.38,95.55
95.18,94.16,95.18,94.16
93.56,95.07,95.07,93.28
95.11,95.12,95.29,95.11
93.61,93.33,93.71,93.28
93.99,93.83,94.08,93.57
91.43,91.23,91.46,90.86
91.81,89.19,91.81,88.94
87.43,85.57,87.79,85.04
86.23,85.37,86.23,84.81
86.81,87.04,87.04,86.64
86.95,86.30,86.95,86.16
87.56,87.79,87.95,87.56
87.55,87.74,87.91,87.42
87.48,87.03,87.49,86.88
87.20,87.04,87.22,86.98
86.78,86.27,86.78,86.17
85.00,83.61,85.00,83.23
82.13,83.63,83.63,81.93
84.61,84.32,85.47,84.19
86.38,87.15,87.55,86.38
87.08,87.44,87.66,87.08
86.67,87.84,88.02,86.57
88.28,87.23,88.30,86.89
87.57,86.97,87.65,86.91
88.69,88.80,89.06,88.55
88.74,89.05,89.36,88.74
90.28,89.48,90.49,89.35
88.97,88.77,89.16,88.37
90.26,89.62,90.26,89.43
89.42,90.29,90.39,89.42
90.07,89.89,90.27,89.74
90.44,91.48,91.71,90.42
91.72,92.22,92.31,91.72
91.52,91.54,91.88,91.47
90.79,94.43,94.43,90.79
95.22,94.99,95.32,94.86
95.33,95.88,95.90,95.33
95.22,95.12,95.47,95.12
96.32,95.53,96.32,94.92
96.10,96.12,96.36,96.08
96.71,97.23,97.23,96.71
96.61,95.06,96.61,95.06
94.75,95.07,95.20,94.75
95.05,96.63,96.63,95.05
96.30,95.72,96.48,95.52
96.57,95.40,96.59,95.40
94.44,94.73,95.19,94.44
95.13,95.19,95.23,94.87
95.00,94.76,95.00,94.36
95.60,94.95,95.73,94.88
93.97,94.86,94.86,93.97
95.29,94.82,95.29,94.72
95.72,97.03,97.03,95.72
96.60,98.01,98.03,96.59
98.71,98.64,99.11,98.50
98.32,98.42,98.72,98.27
98.27,98.11,98.65,98.10
98.60,99.98,100.07,98.60
100.15,94.49,100.25,94.49
95.65,95.89,96.35,95.35
95.68,95.40,95.68,94.96
95.20,94.33,95.20,94.33
92.00,92.39,92.58,91.79
92.30,93.10,93.17,92.30
93.45,94.10,94.10,93.45
93.17,94.85,94.85,92.78
94.10,93.89,94.10,93.76
93.21,92.22,93.75,92.18
91.00,90.36,91.18,89.99
90.35,91.25,91.33,90.30
91.50,91.30,91.50,90.98
91.07,91.65,91.87,91.07
90.85,90.63,91.10,90.26
91.23,90.74,91.23,90.60
89.44,89.89,89.89,89.44
90.72,91.41,91.49,90.72
92.66,92.90,92.90,92.56
92.94,92.36,93.17,92.23
91.51,91.22,92.07,90.88
90.83,91.25,91.25,90.21
91.27,91.44,91.75,91.16
92.28,92.62,92.70,92.28
92.10,90.78,92.30,90.75
88.84,88.52,89.03,88.37
89.44,89.43,89.46,89.01
89.96,89.87,90.16,89.77
90.13,90.91,90.91,89.60
90.74,90.49,90.77,90.37
91.68,91.95,92.09,91.68
90.52,90.25,90.52,90.25
90.06,90.06,90.06,90.06
90.26,90.41,90.46,89.32
89.91,89.68,89.91,89.51
90.44,89.93,90.44,89.74
90.09,89.75,90.09,89.73
88.73,88.66,88.73,88.50
89.45,89.06,89.81,89.05
89.06,88.28,89.06,88.28
90.13,90.18,90.32,90.13
90.55,90.40,90.55,90.40
89.82,90.28,90.40,89.82
90.53,90.34,90.58,90.05
89.52,89.61,89.61,89.43
88.42,88.52,88.52,88.23
88.52,88.62,88.99,88.40
88.05,88.43,88.57,88.05
87.00,86.91,87.00,86.22
85.32,85.79,85.80,85.32
86.32,85.87,86.32,85.87
85.40,85.33,85.60,85.33
83.86,84.06,84.10,83.86
83.80,82.71,83.80,82.71
82.59,82.36,82.83,81.88
83.10,84.23,84.53,83.10
85.77,85.48,85.77,85.29
85.40,85.46,85.46,85.40
84.68,84.05,85.23,84.05
82.74,83.58,83.70,82.74
84.22,83.69,84.22,83.40
83.89,84.45,84.45,83.89
83.37,83.08,83.37,83.03
83.59,83.89,84.17,83.59
83.57,83.79,83.79,83.56
86.71,86.71,86.71,86.71
86.60,86.30,86.60,85.77
86.44,86.53,86.57,86.44
88.20,87.39,88.33,86.99
87.55,85.47,87.74,85.41
85.54,85.59,85.59,85.54
85.83,85.85,85.85,85.82
86.74,86.57,86.74,86.42
87.15,86.64,87.20,86.55
86.90,86.92,86.92,86.90
86.81,87.07,87.23,86.80
86.66,86.97,87.24,86.33
87.01,86.62,87.01,86.62
85.81,85.82,86.39,84.96
84.40,83.12,84.54,83.12
83.41,83.35,83.41,83.29
83.29,84.43,84.43,83.29
83.31,83.55,83.55,83.31
83.36,83.57,83.57,83.36
82.74,82.28,82.74,82.28
84.69,85.14,85.14,84.69
84.83,84.65,84.83,84.65
86.13,86.43,86.64,86.13
85.43,85.47,85.47,85.35
84.32,83.81,84.32,83.73
84.24,84.64,84.64,84.07
84.51,82.97,84.51,82.97
83.75,83.57,83.83,83.57
82.42,83.37,83.40,82.42
84.63,84.25,84.73,84.08
84.25,84.25,84.25,84.25
84.42,84.19,84.42,84.19
83.29,83.59,84.00,83.29
84.07,84.04,84.43,83.73
83.71,84.08,84.11,83.71
83.79,83.79,83.79,83.79
83.60,83.74,83.74,83.29
85.01,84.88,85.01,84.88
85.88,85.73,85.88,85.73
85.77,85.77,85.77,85.77
86.10,86.10,86.10,86.10
86.36,86.05,86.36,86.05
84.60,84.78,84.88,84.55
84.18,83.80,84.38,83.80
84.78,85.30,85.30,84.60
85.79,85.66,85.79,85.64
85.95,85.95,85.95,85.95
85.84,85.72,85.84,85.70
85.88,85.90,85.90,85.88
86.24,86.24,86.24,86.24
86.13,85.48,86.13,85.48
85.48,85.48,85.48,85.48
85.43,85.24,85.43,85.11
85.29,85.95,85.95,85.29
85.75,85.79,85.79,85.75
85.96,86.51,86.57,85.96
87.58,87.51,87.77,87.45
87.71,88.74,88.74,87.71
89.96,89.69,90.14,89.57
89.85,89.87,89.87,89.71
89.88,89.64,90.43,89.64
89.66,89.98,89.98,89.66
89.64,89.26,89.64,89.26
88.88,89.31,89.31,88.88
89.36,90.80,90.80,89.36
91.77,92.27,92.30,91.77
92.13,92.10,92.13,92.10
92.62,92.55,92.73,92.55
94.72,94.75,94.97,94.69
94.39,94.30,94.41,94.30
94.92,94.37,94.92,94.33
94.69,94.25,94.69,94.25
94.27,96.63,96.85,93.41
96.80,97.02,97.02,96.67
96.87,95.84,96.92,95.84
96.70,96.60,96.70,96.50
96.65,96.71,97.00,96.46
96.44,96.82,96.84,96.24
97.29,97.00,97.29,96.99
95.80,95.80,95.80,95.80
96.66,95.80,96.78,95.80
95.14,95.60,95.68,95.07
96.59,97.05,97.05,96.59
96.80,96.46,97.10,96.41
97.56,97.01,97.56,96.93
97.10,96.75,97.24,96.75
96.85,96.85,96.85,96.85
97.32,97.72,98.09,97.32
97.62,96.83,97.62,96.83
96.66,96.66,96.66,96.66
96.47,96.08,96.47,95.90
95.84,96.11,96.11,95.84
96.28,96.13,96.59,96.13
96.10,95.60,96.10,95.60
94.69,94.03,94.69,93.67
94.25,94.37,94.58,94.25
94.46,94.61,94.69,94.46
94.61,94.61,94.61,94.61
93.52,92.66,93.52,92.66
92.66,92.66,92.66,92.66
92.52,91.85,92.52,90.88
91.41,91.46,91.46,91.41
92.76,92.44,92.80,92.41
92.44,92.44,92.44,92.44
92.34,92.80,93.11,88.87
91.83,92.78,92.80,91.83
91.44,90.40,91.44,90.15
90.70,90.70,90.70,90.70
92.10,92.62,92.93,92.10
92.05,92.23,92.23,92.05
92.26,93.51,93.57,92.26
93.70,93.66,94.73,93.58
93.17,93.17,93.17,93.17
94.38,93.02,94.38,91.86
93.25,93.27,93.69,93.25
92.69,96.12,96.12,92.50
92.30,92.62,92.62,92.30
93.78,93.84,94.02,93.78
93.99,93.44,94.11,93.44
93.58,93.68,93.68,93.32
94.73,94.82,94.82,94.73
95.32,95.27,95.43,95.27
95.08,95.08,95.08,95.08
92.91,93.78,93.78,92.91
94.35,94.39,94.55,94.34
92.99,93.12,93.12,92.86
93.61,93.44,93.71,93.43
92.21,92.25,92.25,92.21
92.21,91.85,92.21,91.85
92.34,92.29,92.59,92.29
92.48,92.48,92.48,92.48
92.48,92.48,92.48,92.48
92.72,92.90,92.90,92.47
93.00,93.07,93.81,92.69
91.63,92.16,92.36,91.63
91.73,91.73,91.73,91.73
91.89,91.54,91.89,91.49
90.60,90.12,90.63,89.58
89.86,89.56,89.91,89.33
87.69,87.74,87.74,87.69
87.98,88.64,88.64,87.98
87.10,87.10,87.10,87.10
88.53,88.51,88.64,88.51
