GST,Gastar Exploration Inc Common Stock,NASDAQ
4.08,4.11,4.18,3.92
4.18,4.01,4.30,3.96
4.09,4.17,4.20,4.03
4.14,4.04,4.17,4.01
4.08,4.02,4.20,3.88
3.89,3.88,4.01,3.77
3.80,3.90,3.94,3.69
4.04,3.69,4.05,3.66
3.70,3.90,3.91,3.65
3.91,3.88,3.94,3.74
3.92,3.71,3.92,3.70
3.73,3.80,3.86,3.65
3.89,4.06,4.07,3.89
4.06,4.06,4.12,3.90
4.07,4.15,4.23,4.00
4.24,4.18,4.26,4.17
4.14,4.06,4.20,4.02
4.02,3.99,4.03,3.86
4.06,4.26,4.29,3.99
4.23,4.20,4.35,4.18
4.15,4.07,4.19,4.00
3.98,4.08,4.21,3.91
4.17,4.06,4.17,4.01
4.08,4.14,4.19,3.97
4.17,4.22,4.22,3.99
4.24,4.27,4.27,4.18
4.18,4.27,4.32,4.02
4.32,4.28,4.45,4.23
4.23,3.95,4.24,3.95
3.89,3.50,3.93,3.44
3.37,3.47,3.50,3.30
3.40,3.56,3.56,3.30
3.67,3.56,3.75,3.50
3.52,3.21,3.55,3.20
3.31,3.28,3.37,3.20
3.16,3.00,3.30,2.96
2.87,2.63,3.08,2.63
2.60,2.96,2.99,2.35
2.98,2.93,2.98,2.75
2.91,3.10,3.15,2.87
3.18,2.92,3.24,2.88
3.03,3.09,3.10,2.97
3.14,3.19,3.19,3.04
3.21,3.27,3.29,3.07
3.23,3.23,3.30,3.10
3.43,3.39,3.43,3.19
3.39,3.22,3.45,3.19
3.26,3.41,3.43,3.12
3.41,3.34,3.42,3.31
3.37,3.33,3.37,3.20
3.43,3.50,3.51,3.34
3.53,3.59,3.60,3.46
3.52,3.42,3.52,3.33
3.51,3.59,3.60,3.35
3.69,3.88,3.90,3.63
3.84,3.96,3.99,3.79
3.80,3.70,3.87,3.63
3.53,3.25,3.55,3.20
3.34,3.51,3.52,3.26
3.58,3.40,3.61,3.36
3.28,3.31,3.40,3.28
3.32,3.49,3.52,3.30
3.40,3.60,3.64,3.40
3.48,3.37,3.53,3.35
3.49,3.43,3.56,3.40
3.51,3.59,3.59,3.48
3.56,3.49,3.56,3.45
3.46,3.53,3.55,3.40
3.48,3.45,3.63,3.44
3.48,3.34,3.48,3.30
3.34,3.42,3.45,3.34
3.28,3.11,3.34,3.08
3.15,3.08,3.16,3.02
3.03,2.95,3.13,2.95
2.95,2.82,3.03,2.82
2.97,3.00,3.05,2.93
3.01,2.93,3.01,2.89
3.00,3.20,3.20,3.00
3.22,3.37,3.41,3.18
3.42,3.44,3.53,3.37
3.50,3.43,3.55,3.40
3.43,3.46,3.50,3.38
3.46,3.44,3.50,3.35
3.43,3.22,3.48,3.21
3.24,3.41,3.45,3.12
3.33,3.36,3.36,3.26
