VOT,Vanguard Mid-Cap Growth ETF - DNQ,NASDAQ
55.56,57.45,57.45,53.88
56.02,55.49,57.46,55.45
55.90,58.40,59.11,55.71
59.00,59.07,59.41,58.31
59.80,60.57,60.57,59.64
59.68,59.52,60.32,58.95
60.07,59.12,60.37,58.73
57.18,55.73,57.22,55.21
54.85,54.61,56.52,54.50
56.13,54.56,56.14,54.44
54.96,57.03,57.03,54.45
56.92,57.71,57.78,56.46
58.04,56.48,58.28,56.33
56.02,58.06,58.18,55.36
58.90,60.21,60.21,58.85
59.91,60.77,61.13,59.66
61.45,61.05,62.04,60.50
61.00,60.16,61.68,60.04
58.53,58.45,59.19,58.12
56.26,58.22,58.29,56.26
59.30,60.31,60.32,59.20
59.70,59.54,60.61,59.28
58.80,57.80,59.15,57.36
56.86,58.09,58.10,56.72
58.45,58.98,59.14,58.00
59.34,60.14,60.84,58.40
60.88,60.76,60.91,59.92
61.14,60.85,61.28,60.38
59.67,60.32,60.67,59.22
60.47,59.60,61.08,59.59
59.54,57.94,59.87,57.94
55.92,55.53,56.54,54.65
55.17,55.88,56.22,55.01
56.45,57.16,57.20,55.03
58.55,58.14,59.27,57.83
58.26,56.37,58.48,56.32
57.59,56.01,57.59,54.77
55.11,54.35,55.62,54.35
54.02,51.94,54.41,51.91
51.36,53.67,53.71,50.67
53.90,55.12,55.31,53.24
55.02,56.57,56.61,54.82
56.88,55.73,56.88,55.45
56.89,57.63,57.79,56.87
57.28,57.88,58.07,57.20
58.35,58.46,59.12,58.31
57.96,58.73,58.94,57.69
59.41,59.95,60.01,59.11
59.76,58.56,59.90,58.51
58.59,59.82,60.16,57.78
59.70,58.88,60.06,58.77
59.01,59.11,59.21,57.90
59.72,60.47,60.65,59.72
60.61,62.16,62.27,60.57
61.68,60.54,61.68,60.43
61.34,61.03,61.41,59.74
62.99,63.47,64.00,62.14
63.22,63.71,63.82,63.07
63.10,61.99,63.10,61.99
59.68,60.10,60.82,59.43
61.14,61.20,61.52,60.49
61.86,62.54,62.64,60.75
61.91,62.62,62.79,61.48
62.55,62.47,62.81,61.45
62.76,62.97,63.04,61.88
61.43,60.25,61.55,60.15
61.15,60.51,61.15,59.84
61.26,61.88,62.08,61.26
61.53,61.34,61.90,61.10
61.08,61.92,62.18,60.95
61.23,60.93,62.17,60.90
60.87,59.36,60.87,59.25
59.86,59.24,59.86,59.03
58.19,58.37,58.60,57.60
58.17,58.13,58.61,57.67
57.50,56.67,57.51,56.64
56.27,56.42,57.05,56.26
58.21,58.44,58.75,58.00
58.53,58.42,58.94,58.22
60.49,61.01,61.02,60.31
60.94,61.07,61.74,60.69
61.67,61.14,62.09,61.05
62.22,61.80,62.42,61.50
61.77,61.56,61.94,61.24
61.18,61.15,61.36,60.46
60.81,59.72,60.98,59.64
59.88,60.90,61.04,59.88
60.25,59.94,60.25,59.43
60.50,58.81,60.59,58.40
58.32,57.64,58.37,57.33
58.24,57.82,58.26,57.56
58.33,58.35,58.92,58.02
58.64,57.59,58.81,57.45
58.59,59.47,59.55,58.59
59.38,59.24,59.38,58.53
59.51,59.96,60.06,59.41
59.94,60.07,60.07,59.51
60.00,60.24,60.48,59.89
60.21,59.25,60.21,59.21
59.40,59.84,59.92,59.35
59.88,59.54,59.96,59.54
60.80,60.35,61.02,60.19
60.10,60.40,60.50,59.89
60.15,60.91,60.99,59.80
60.94,60.89,61.15,60.65
61.10,61.17,61.24,60.72
61.75,61.96,62.00,61.69
61.72,61.91,62.00,61.70
62.06,62.31,62.36,61.72
61.86,61.89,62.06,61.52
62.59,62.19,62.71,62.06
62.21,63.22,63.22,62.08
63.50,63.74,63.95,63.42
63.68,63.38,63.68,63.20
63.39,63.64,64.00,63.18
63.25,63.90,63.94,63.20
63.92,64.98,65.11,63.82
65.46,64.33,65.46,64.06
64.10,64.62,64.79,64.09
64.20,64.30,64.47,63.69
64.77,64.37,64.93,64.01
64.95,65.25,65.50,64.80
65.35,65.41,65.74,65.20
66.27,66.44,66.46,66.06
66.13,66.62,66.62,66.00
66.50,66.74,66.83,66.15
66.88,66.96,67.19,66.56
67.19,67.28,67.32,66.64
66.49,66.64,66.77,66.29
67.32,67.19,67.37,66.70
66.98,67.39,67.41,66.98
67.74,67.10,67.76,66.97
67.15,67.90,67.99,67.10
68.28,67.88,68.28,67.74
