GWR,Genesee & Wyoming Inc. Class A Common Stock,NASDAQ
49.12,50.44,51.19,47.96
51.12,51.69,51.69,50.35
52.01,51.57,52.41,51.27
50.40,50.29,50.70,49.26
50.52,49.50,51.18,49.38
49.25,46.76,49.45,46.70
44.98,45.68,46.35,44.44
45.58,46.71,46.91,45.55
47.20,47.34,47.40,45.67
48.16,48.59,49.84,48.12
48.59,46.71,48.93,46.64
47.89,47.75,48.12,46.20
46.84,46.52,47.82,46.48
46.03,45.47,47.57,45.44
44.83,48.58,48.75,44.38
48.75,49.84,50.14,48.22
49.62,51.19,51.29,49.33
51.37,50.23,51.44,49.98
51.21,52.80,52.83,51.00
52.11,52.98,53.58,52.00
53.30,53.79,54.64,53.10
53.24,53.26,53.56,52.68
54.02,54.19,54.36,53.06
53.73,52.03,53.87,51.87
52.33,55.57,56.22,52.05
55.31,54.10,56.16,53.77
54.18,54.18,54.56,52.67
55.15,56.13,56.13,54.67
56.28,58.16,58.36,56.12
57.50,55.83,57.50,55.69
56.63,57.81,58.00,55.53
59.06,61.28,61.83,59.04
61.00,61.81,62.50,60.52
60.77,59.21,61.65,59.19
56.71,57.09,58.85,56.47
57.85,58.25,58.78,57.10
59.23,60.07,60.21,57.93
59.28,59.63,59.74,57.88
59.25,59.35,60.03,57.60
60.00,60.30,60.48,58.36
58.48,57.37,58.90,57.27
58.35,58.77,59.14,57.82
59.75,60.56,61.02,59.39
59.91,59.67,60.84,59.35
59.21,60.89,61.20,58.76
59.91,59.58,61.40,59.48
59.40,57.85,59.63,57.31
57.85,58.99,59.15,57.74
57.69,57.40,58.02,56.78
57.22,56.76,57.91,56.75
56.10,54.89,56.10,54.50
54.63,53.98,55.23,53.98
55.76,56.16,56.25,55.19
56.39,57.58,57.80,56.22
60.80,61.07,61.07,60.04
60.61,60.34,61.71,60.30
60.96,60.02,61.52,59.89
61.00,60.92,61.78,60.28
61.04,61.30,62.16,59.93
61.19,60.55,61.36,59.90
60.06,60.07,61.10,59.89
60.36,61.25,61.62,60.00
60.73,60.39,60.73,59.54
60.80,58.48,61.60,58.20
57.63,57.48,58.02,56.77
58.23,56.84,58.39,56.56
55.81,58.15,59.05,55.81
58.88,56.74,59.21,56.64
58.12,59.12,59.32,58.12
58.97,59.92,60.05,58.05
60.02,60.65,60.98,59.89
61.01,61.61,62.00,60.82
61.27,61.60,61.87,60.86
61.19,60.14,61.43,60.07
60.27,60.58,60.90,60.27
60.37,60.58,61.13,60.37
62.44,61.48,63.27,61.35
61.16,61.50,61.68,60.52
61.08,61.87,62.03,60.74
61.98,61.51,62.51,61.41
61.82,62.32,62.44,61.38
63.28,63.10,64.24,62.92
62.66,63.15,63.53,62.49
63.14,62.69,63.25,62.15
61.82,61.43,61.86,60.87
62.04,60.22,62.23,59.82
60.40,60.97,61.06,59.62
61.21,62.41,62.93,61.21
62.25,62.30,62.64,61.47
62.43,62.23,62.86,61.42
61.42,61.77,61.87,60.88
61.55,62.50,63.07,61.46
62.62,62.17,62.85,62.04
61.98,62.79,62.99,61.98
61.84,62.36,62.82,61.75
62.87,62.10,63.15,61.76
62.73,63.40,63.90,62.68
63.45,64.72,64.83,63.41
65.94,66.09,66.83,65.50
65.81,64.73,65.81,64.65
64.47,63.87,64.75,63.56
63.88,61.03,64.50,59.15
60.84,60.56,61.04,60.11
59.60,60.02,60.68,59.50
60.68,57.75,60.85,57.50
57.76,59.00,59.10,57.46
59.15,58.07,59.65,57.75
57.53,58.98,59.04,57.53
58.76,61.12,61.50,58.76
61.07,59.49,61.07,59.33
59.54,58.96,60.04,58.95
58.80,59.72,59.82,57.95
59.69,60.25,60.52,59.50
59.64,60.43,61.07,59.43
60.33,60.54,60.78,59.94
60.58,59.42,60.90,59.31
59.62,59.64,60.46,59.24
59.65,58.41,59.70,58.00
58.18,58.54,58.80,58.08
57.84,57.21,57.84,57.12
57.48,57.44,57.59,57.04
58.18,58.58,58.72,57.30
58.68,58.64,59.47,58.31
58.65,58.13,58.65,58.05
58.63,59.45,59.48,58.25
59.50,58.77,59.74,58.65
58.52,59.85,60.23,58.10
60.06,60.27,60.35,59.46
60.05,59.99,60.63,59.88
59.50,58.77,59.50,58.52
58.98,58.76,59.28,58.15
58.05,56.96,58.05,56.62
56.93,56.20,56.94,55.84
56.91,57.49,57.53,56.54
57.46,56.66,57.60,56.63
56.62,55.49,56.71,55.40
55.00,54.56,55.13,53.60
55.04,54.58,55.37,54.48
54.33,56.01,56.21,53.84
56.00,55.65,56.00,55.44
54.14,54.01,54.14,53.11
53.61,54.58,54.68,53.21
53.36,53.35,53.71,53.15
53.24,51.73,53.41,51.71
52.34,52.26,52.53,51.72
52.39,53.55,53.96,52.35
53.37,52.48,53.37,52.48
52.87,53.06,53.24,52.11
53.54,53.41,53.85,53.17
53.20,54.02,54.35,52.66
53.89,52.50,54.33,52.03
53.06,52.27,53.15,52.11
51.40,52.35,52.41,50.88
52.24,53.61,53.61,52.14
54.33,54.51,54.90,54.33
54.31,54.56,54.91,53.82
54.60,55.00,55.47,54.06
55.02,53.91,55.24,53.87
55.50,58.15,59.99,54.75
57.36,57.36,58.19,57.07
57.17,56.34,57.76,56.09
55.80,54.78,55.80,54.50
55.43,56.65,57.19,54.95
56.35,56.26,56.41,55.26
55.41,54.47,55.89,54.44
54.88,54.22,55.19,54.05
53.60,54.45,54.57,53.35
53.68,53.81,54.22,53.45
53.51,54.00,54.35,53.34
54.00,53.35,54.77,53.17
53.47,50.81,53.54,50.55
50.77,49.69,51.07,49.44
49.99,52.07,52.13,49.60
52.15,51.57,52.75,51.16
51.34,52.30,52.52,50.27
52.33,52.02,52.50,51.01
52.11,51.66,52.19,51.13
52.21,51.46,52.51,51.13
50.97,49.84,50.97,49.55
50.08,50.11,50.52,49.24
49.81,48.42,49.81,48.38
48.53,48.08,48.68,47.08
47.69,48.35,48.60,47.56
48.71,50.11,50.18,48.71
51.00,49.99,51.60,49.88
49.80,50.47,50.57,49.35
51.29,50.20,51.29,50.14
50.39,51.00,51.23,50.20
50.77,50.90,51.71,50.19
51.03,51.38,51.65,50.56
51.57,51.46,51.87,51.22
51.07,52.39,52.63,50.83
52.75,54.09,54.27,52.66
53.92,53.52,54.09,52.61
53.42,52.05,53.61,51.87
52.18,52.17,52.26,51.27
51.17,50.12,51.28,50.00
50.13,50.09,50.50,49.81
50.24,50.79,50.90,49.50
50.36,50.89,50.95,49.53
52.16,52.84,52.89,51.53
52.93,53.27,53.33,52.40
53.20,54.51,54.65,53.08
54.28,54.79,55.47,54.14
54.08,53.41,54.12,53.22
53.31,53.18,53.69,53.01
53.68,52.27,53.86,52.08
52.30,53.10,53.44,52.30
52.78,54.13,54.45,52.38
54.32,55.68,55.76,54.32
55.36,54.62,55.42,54.45
55.10,55.14,55.30,53.91
55.17,55.91,56.57,54.85
56.31,57.35,57.47,55.86
56.71,55.98,57.22,55.85
55.00,56.33,57.66,54.76
57.60,59.49,59.52,56.84
60.00,58.88,60.58,58.46
60.11,60.85,61.01,59.55
61.30,63.05,63.26,61.00
62.98,63.12,64.15,62.04
62.84,62.06,63.25,61.79
62.18,60.68,62.62,60.68
60.75,62.56,63.78,60.24
63.72,63.10,64.18,62.83
63.15,64.26,64.86,63.15
64.56,65.39,65.70,64.41
64.96,63.97,65.43,63.38
63.76,63.95,64.26,63.50
63.55,64.31,64.41,63.53
64.30,63.55,64.70,63.11
64.00,63.57,64.43,63.32
63.61,63.91,64.08,62.91
63.92,63.95,64.13,63.71
63.87,64.09,64.22,63.64
64.12,63.82,64.17,63.29
63.89,64.25,64.78,63.87
64.21,64.20,64.37,63.53
63.94,63.37,64.22,63.03
63.02,63.62,64.05,62.94
63.77,63.54,63.80,62.79
63.23,63.76,63.95,62.84
63.72,64.15,64.16,63.19
63.64,63.62,63.79,63.25
64.14,63.56,64.14,62.81
63.37,64.77,65.18,62.84
64.51,63.44,64.66,63.24
63.61,65.82,65.94,63.61
65.90,65.41,65.90,65.22
65.38,65.48,66.01,65.36
65.23,66.42,66.68,65.00
66.93,67.92,67.95,66.70
65.08,64.81,65.59,63.62
65.52,66.62,66.73,65.30
66.06,66.65,67.33,66.06
66.29,66.64,66.95,66.07
66.87,67.14,67.20,66.07
66.40,64.72,66.40,64.03
65.84,64.49,66.32,64.45
64.41,66.13,66.52,63.74
65.00,64.73,66.34,64.73
66.80,67.29,67.55,65.97
67.59,67.91,67.93,66.99
67.43,66.86,67.62,66.31
67.11,67.75,68.49,66.94
68.00,67.32,68.55,67.02
67.66,67.35,67.71,66.11
67.76,67.92,68.13,67.33
68.37,68.50,68.56,68.06
68.09,68.20,68.55,67.62
68.37,67.82,68.50,67.27
67.74,68.61,68.91,67.60
69.10,69.68,70.45,69.06
69.76,69.28,69.76,68.76
69.53,70.66,70.66,69.39
70.75,72.31,72.48,70.53
72.01,71.79,72.24,71.47
71.74,71.41,72.14,71.27
71.06,71.76,71.83,70.61
71.68,71.92,72.37,71.36
70.81,72.00,72.26,70.54
72.11,70.91,72.34,70.57
71.34,71.97,72.23,71.21
71.93,71.60,72.11,71.04
71.84,72.47,72.75,71.63
72.39,73.10,73.75,71.74
73.49,71.49,73.95,71.48
71.95,74.02,75.82,71.77
74.55,74.28,74.55,73.52
72.88,72.46,73.75,72.34
72.21,71.45,72.46,71.04
70.96,70.05,71.43,69.97
70.17,70.94,71.18,69.92
70.73,70.80,71.80,70.49
71.05,69.66,71.28,69.48
69.74,67.62,69.99,67.26
67.39,67.39,67.81,66.66
68.21,70.76,70.81,67.64
70.14,70.93,70.93,69.79
70.89,70.87,71.16,70.26
71.20,72.34,72.37,70.84
72.12,73.48,73.51,71.87
74.02,72.91,74.50,71.96
72.74,73.60,73.93,71.69
74.01,73.35,74.07,72.73
73.43,72.95,73.43,72.50
73.50,72.97,73.50,72.11
72.89,73.32,74.32,72.70
73.32,73.02,74.07,72.59
72.34,72.93,73.50,71.86
73.08,72.60,73.19,72.25
72.80,73.84,73.85,72.80
74.29,73.95,74.87,73.60
74.16,73.39,74.33,73.20
73.46,73.33,74.00,73.07
74.40,73.54,74.40,73.23
73.62,74.12,74.73,73.46
74.09,74.75,75.35,73.92
74.77,74.25,74.95,74.17
74.24,74.95,75.07,74.01
74.95,75.57,77.04,74.71
75.45,76.28,76.56,74.91
76.14,75.44,76.40,75.12
75.38,75.57,75.78,74.40
75.21,75.16,76.03,74.92
75.00,76.08,76.24,74.98
78.11,80.00,80.26,78.11
80.00,79.72,80.04,79.34
83.16,80.49,83.91,79.37
80.41,80.85,81.06,79.61
81.03,80.58,81.17,79.90
80.97,81.37,81.77,80.89
81.69,81.71,81.91,80.48
82.02,81.60,82.14,81.11
81.54,81.49,82.39,81.20
81.20,81.64,82.67,81.20
81.58,81.70,81.86,80.80
82.14,83.16,83.68,81.50
82.93,83.45,83.56,82.27
83.78,84.57,85.08,83.60
84.86,84.34,85.36,83.78
84.33,85.37,86.31,84.02
85.37,85.23,85.63,84.87
85.41,84.82,85.53,84.61
84.83,85.21,85.49,84.81
85.30,84.26,85.40,83.94
83.99,84.58,85.12,83.84
85.10,85.19,85.70,84.84
84.94,84.73,85.44,84.37
85.07,85.27,86.23,85.06
84.78,84.50,84.86,83.78
84.60,83.97,84.64,83.73
84.19,83.95,84.77,83.85
84.31,83.91,84.44,83.71
84.00,84.73,85.40,83.75
90.00,87.74,90.00,86.69
87.35,88.62,88.70,87.17
88.94,89.23,89.49,87.86
89.20,90.18,90.38,88.97
90.11,88.45,90.81,88.27
88.40,86.85,88.82,86.53
87.17,87.00,87.53,86.36
87.53,85.20,87.71,85.06
85.73,86.62,87.16,85.00
86.65,88.26,89.34,86.65
88.44,89.52,90.26,88.09
88.74,88.14,88.97,87.08
88.19,90.33,90.37,87.99
91.00,91.50,91.92,90.90
91.50,90.22,91.85,90.00
90.43,90.97,91.08,90.08
91.77,92.22,92.24,90.73
92.08,92.40,93.19,91.78
92.08,92.27,92.43,91.58
92.32,93.00,93.00,91.76
93.30,94.14,94.15,92.32
94.77,93.80,94.80,93.40
92.76,93.84,93.91,92.45
93.78,92.18,93.97,91.10
92.95,93.27,93.40,92.56
92.77,91.47,93.31,91.27
91.85,92.84,92.95,91.85
93.01,91.96,93.43,90.76
92.15,92.39,92.62,91.12
91.76,92.79,92.98,91.46
93.02,93.11,93.37,92.48
93.21,91.44,93.27,90.91
91.69,90.23,92.96,89.82
90.43,86.81,90.52,85.76
86.65,84.76,86.65,83.60
83.00,87.87,89.96,81.91
87.89,88.09,88.23,86.95
88.10,87.87,88.41,87.21
88.00,88.21,88.50,87.67
88.06,87.07,88.19,87.03
86.88,87.18,87.86,86.51
86.39,79.84,86.67,79.75
80.85,82.50,82.63,79.38
81.64,80.59,81.74,79.22
80.92,81.15,82.42,80.05
81.17,82.89,83.00,80.24
83.00,83.66,84.41,82.23
84.07,84.11,86.16,83.61
84.33,84.23,85.00,84.03
84.64,84.85,85.46,84.45
84.84,84.33,85.19,84.01
