IDSA,Industrial Services of America,NASDAQ
6.49,6.35,6.60,6.34
6.10,6.03,6.27,6.03
6.00,6.05,6.24,5.79
6.09,5.70,6.09,5.69
5.97,5.86,6.06,5.63
5.79,5.84,6.24,5.72
5.86,6.02,6.02,5.78
5.81,5.87,5.99,5.79
5.86,5.70,5.99,5.57
5.52,5.60,5.69,5.26
5.48,5.71,5.76,5.45
5.79,5.91,6.02,5.79
5.91,6.20,6.23,5.91
6.20,6.66,6.72,6.11
6.25,6.38,6.46,6.25
6.37,6.50,6.72,6.31
6.38,6.07,6.38,5.81
6.17,6.60,6.60,6.17
6.52,6.65,6.77,6.52
6.65,6.43,6.65,6.43
6.43,6.28,6.43,6.25
6.40,6.15,6.40,6.05
6.32,6.30,6.32,6.00
6.24,6.03,6.24,6.00
6.01,5.83,6.16,5.75
5.80,6.00,6.00,5.77
6.10,5.87,6.18,5.77
5.84,6.02,6.09,5.80
6.00,5.90,6.13,5.86
5.77,5.70,5.89,5.61
5.84,5.76,5.98,5.61
5.67,5.66,5.85,5.63
5.60,5.76,5.79,5.59
5.74,5.81,5.89,5.72
5.56,5.61,5.76,5.55
5.54,5.48,5.72,5.41
5.50,5.50,5.52,5.32
5.50,5.45,5.50,5.38
4.34,5.03,5.11,4.03
5.00,5.74,5.75,4.88
5.89,5.81,5.89,5.45
5.76,5.85,5.92,5.70
5.76,5.85,5.88,5.73
5.70,5.66,5.75,5.50
5.62,5.75,5.77,5.55
5.57,5.61,5.61,5.46
5.50,5.68,5.68,5.41
5.68,5.77,5.82,5.58
5.76,5.66,5.87,5.61
5.78,5.70,5.87,5.59
5.65,5.73,5.85,5.62
5.68,5.72,5.92,5.68
5.89,5.98,6.31,5.82
6.07,5.92,6.07,5.88
5.87,5.75,5.87,5.70
5.72,5.75,5.79,5.64
5.67,6.09,6.10,5.61
5.76,5.95,6.03,5.75
5.95,5.95,6.00,5.83
5.77,5.77,5.87,5.75
5.76,5.73,5.86,5.71
5.74,5.55,5.75,5.51
5.51,5.31,5.51,5.30
5.30,5.28,5.42,5.15
5.22,5.44,5.95,5.13
5.46,5.51,5.82,5.27
5.48,5.40,5.54,5.40
5.40,5.24,5.45,5.19
5.24,5.20,5.35,5.19
5.21,5.21,5.33,5.13
5.21,5.30,5.40,5.03
5.32,5.37,5.43,5.15
5.40,5.15,5.44,5.15
5.24,5.15,5.34,5.15
5.20,5.13,5.20,5.06
5.18,5.83,5.88,5.17
5.80,5.90,6.03,5.59
5.90,5.90,5.91,5.84
5.88,5.98,5.99,5.75
5.90,5.87,6.03,5.75
5.78,5.56,5.81,5.56
5.62,5.64,6.15,5.62
5.70,6.06,6.07,5.70
6.01,6.35,6.40,6.01
6.35,6.43,6.43,6.31
6.30,6.20,6.45,6.20
6.13,6.33,6.45,6.13
6.24,6.09,6.43,6.09
6.14,6.15,6.20,6.01
6.01,5.98,6.01,5.76
6.03,5.89,6.16,5.78
5.89,6.13,6.13,5.80
6.06,6.00,6.10,5.88
6.00,5.99,6.05,5.90
6.00,6.44,6.49,6.00
6.44,6.37,6.49,6.21
6.48,6.47,6.49,6.21
6.44,6.47,6.48,6.30
6.40,6.72,6.75,6.40
6.68,6.87,6.95,6.53
6.81,6.75,6.86,6.61
6.68,6.63,6.92,6.26
6.64,6.65,6.65,6.03
6.54,6.47,6.55,6.25
6.48,6.16,6.48,6.04
6.14,6.10,6.24,6.04
6.05,6.10,6.24,6.01
6.10,6.10,6.10,6.10
6.12,5.70,6.14,5.70
5.63,5.50,5.72,5.30
5.52,5.44,5.93,5.31
5.44,5.37,5.60,5.30
5.29,5.14,5.45,5.10
5.09,4.97,5.10,4.92
4.96,4.97,5.07,4.78
5.00,5.05,5.49,4.80
4.92,4.77,5.04,4.76
4.97,4.90,5.25,4.89
4.85,5.09,5.18,4.85
5.10,5.02,5.16,4.97
5.13,5.43,5.44,5.00
5.34,5.16,5.46,5.16
5.22,5.21,5.45,5.02
5.24,5.05,5.24,5.01
5.15,5.08,5.40,5.05
5.12,5.31,5.32,5.12
5.25,5.19,5.39,5.17
5.22,5.22,5.22,5.16
5.21,5.30,5.40,5.21
5.29,5.40,5.40,5.22
5.45,5.59,5.65,5.45
5.57,5.35,5.57,5.25
5.42,5.37,5.42,5.30
5.36,5.35,5.52,5.16
5.25,5.27,5.30,5.17
5.05,5.35,5.37,5.05
5.35,5.34,5.35,5.10
5.14,5.02,5.26,5.01
5.05,4.99,5.09,4.85
4.98,5.04,5.06,4.88
5.02,5.00,5.12,4.93
5.00,5.09,5.09,5.00
5.03,4.90,5.14,4.85
