ISRG,Intuitive Surgical,NASDAQ
360.46,354.69,362.99,352.21
353.38,361.04,362.00,350.96
359.89,356.00,362.98,355.00
354.54,349.12,357.81,348.69
348.43,349.92,349.92,342.44
349.07,352.78,353.87,346.00
354.48,352.85,354.89,348.25
352.00,348.26,352.00,348.23
340.80,343.13,344.58,337.75
343.17,341.84,345.00,341.18
342.56,345.00,347.08,341.77
343.20,345.21,346.43,340.06
343.57,344.26,347.07,342.93
347.40,349.00,349.00,342.10
348.47,345.09,351.08,344.56
344.40,344.68,347.82,342.19
341.50,342.24,345.76,340.67
340.66,339.62,343.33,338.88
340.68,343.83,346.00,338.53
342.50,343.78,345.52,339.40
342.64,341.98,345.66,341.00
341.39,338.23,342.88,336.06
337.26,340.97,344.13,337.26
342.98,346.55,347.79,342.42
342.59,340.63,345.84,340.00
339.55,340.56,344.05,338.42
346.50,344.46,350.27,343.65
347.50,351.71,353.46,345.66
351.79,351.90,353.99,350.09
352.73,352.52,360.00,351.25
347.80,353.47,354.40,345.02
352.02,347.40,352.51,346.28
347.08,356.63,358.48,344.60
357.00,365.75,366.93,356.37
367.06,368.40,370.70,366.74
369.12,372.11,376.17,368.74
373.25,378.65,379.40,371.44
379.00,381.37,382.96,376.00
381.02,380.87,384.49,379.91
376.00,368.25,378.13,367.62
365.91,368.70,368.98,362.32
365.41,361.83,368.14,361.05
363.44,357.08,366.38,356.54
360.03,359.40,365.37,358.05
360.15,355.96,361.95,354.23
357.24,358.79,360.94,356.20
357.23,362.28,362.99,353.39
365.91,374.90,375.99,365.05
392.12,397.47,407.00,392.12
397.90,413.73,415.19,397.90
407.10,405.10,409.45,401.33
401.02,400.99,403.49,397.67
400.99,399.07,402.47,395.03
395.95,393.58,404.51,392.59
392.33,389.86,397.81,388.55
387.31,400.55,404.00,384.74
403.57,394.12,408.00,390.00
391.77,382.78,397.41,382.22
385.99,379.38,386.00,367.22
376.31,358.84,376.88,358.28
361.73,358.57,364.50,348.89
348.13,331.77,353.89,331.06
338.70,342.57,342.96,322.38
334.08,328.00,339.99,326.32
331.83,342.01,345.69,330.01
344.74,346.83,350.45,342.50
347.96,351.09,351.45,342.01
348.82,349.00,354.25,343.67
342.90,347.51,357.44,342.90
338.50,334.35,341.46,331.15
329.58,329.49,339.62,329.06
335.50,321.45,336.96,320.00
323.33,339.97,340.00,322.55
336.45,349.72,350.00,336.00
352.00,346.87,353.43,342.25
344.36,356.93,357.58,339.65
361.02,375.86,383.71,358.93
374.08,378.55,380.89,371.73
381.77,381.35,388.59,376.99
382.40,379.43,389.00,377.04
371.40,370.63,377.70,368.31
357.60,376.81,377.73,355.00
380.90,389.00,389.00,379.74
386.35,380.85,389.00,379.83
376.66,369.22,383.55,366.16
363.07,371.81,372.70,363.01
373.76,379.39,380.78,371.99
382.19,386.00,390.00,376.53
388.04,395.07,395.85,383.56
397.36,390.54,397.94,389.15
386.38,393.55,396.15,384.00
396.92,388.69,402.35,388.01
389.38,380.29,394.71,379.99
366.32,368.56,376.00,360.33
365.50,375.01,379.69,363.55
375.45,376.76,379.38,362.92
384.36,388.09,394.00,381.51
388.71,377.74,390.87,376.49
384.04,373.22,387.20,366.15
368.25,364.28,370.00,363.31
360.32,348.76,365.53,348.53
342.20,364.03,364.22,341.21
365.15,367.00,367.33,355.23
369.32,372.90,375.18,364.75
375.03,364.45,375.11,363.30
369.59,379.37,380.22,369.28
376.97,385.35,388.68,376.00
387.60,382.16,389.99,380.79
381.78,387.25,388.49,381.63
391.31,393.38,395.42,389.25
393.18,388.03,394.20,386.02
389.78,382.76,391.94,380.00
413.79,417.62,425.49,410.00
422.11,418.41,422.50,413.00
412.87,415.63,420.00,408.16
412.72,422.39,429.44,412.50
422.00,419.37,428.20,417.56
426.95,420.54,427.86,417.42
428.20,435.31,440.68,426.28
434.00,436.53,443.00,432.01
434.00,433.86,441.49,433.86
425.46,426.17,431.45,420.42
428.97,427.10,431.72,422.87
431.44,437.35,438.21,426.60
436.48,432.23,437.25,428.23
428.53,432.37,434.99,428.00
432.97,441.19,442.00,432.37
431.97,429.28,437.27,426.61
432.52,429.54,435.02,425.00
432.39,439.99,441.89,432.05
439.55,440.48,447.50,438.23
440.83,448.77,449.06,439.13
442.82,438.46,447.00,438.00
441.81,428.89,441.81,423.41
426.50,423.06,430.35,415.20
418.33,420.82,423.31,414.10
419.24,418.68,423.20,415.00
415.21,416.93,422.41,410.37
412.03,413.26,419.98,412.00
423.00,424.96,427.50,420.06
423.18,422.62,425.81,420.95
434.52,434.21,437.98,428.76
424.67,435.59,438.56,424.55
440.00,433.85,445.70,429.07
439.19,436.43,444.82,433.90
438.00,439.95,440.43,433.45
435.52,439.88,441.54,432.43
438.52,430.00,440.57,429.68
433.34,440.40,441.10,431.94
438.35,433.71,438.54,431.76
437.35,434.39,443.99,431.52
431.72,423.52,433.93,421.73
426.46,428.35,429.61,420.84
431.11,432.12,434.14,426.56
434.99,432.19,436.95,431.07
438.07,443.58,445.38,435.67
445.22,440.73,445.25,438.78
443.63,447.86,450.00,442.81
450.00,457.66,458.74,449.00
458.50,463.47,465.65,455.57
464.99,457.70,465.00,456.54
457.63,466.03,466.04,455.74
466.32,463.01,469.25,463.01
470.95,471.71,473.93,467.17
472.03,466.94,474.50,466.00
467.92,472.36,472.63,464.06
470.99,460.46,472.97,458.89
458.81,451.50,459.76,450.25
453.58,450.19,456.44,446.55
448.37,456.95,457.76,446.10
457.49,458.13,460.85,455.05
457.44,459.44,460.99,454.00
464.29,465.36,467.00,462.15
465.57,470.86,471.20,465.41
473.72,474.65,476.49,467.50
445.00,445.68,449.78,429.26
447.36,444.39,457.86,441.00
441.50,440.00,446.09,437.50
436.64,455.66,455.66,436.64
456.96,456.38,458.72,452.00
454.57,459.00,461.59,453.02
455.00,456.52,458.00,451.35
459.50,459.91,460.50,453.90
461.47,462.94,464.94,458.90
464.00,483.00,488.84,463.50
486.35,492.01,495.53,483.50
489.66,491.39,494.26,483.13
489.14,494.00,494.57,488.39
492.58,491.92,493.28,485.00
493.47,492.41,493.52,487.77
488.98,490.83,493.50,486.40
492.58,503.07,506.01,492.10
502.71,510.40,514.55,500.62
515.18,505.23,515.61,504.72
505.48,507.54,513.25,503.50
507.32,505.99,511.90,505.00
506.51,504.91,508.97,500.00
503.61,504.08,508.07,501.02
505.30,506.36,509.71,503.02
508.46,512.76,513.63,505.83
510.12,514.23,518.47,507.47
515.88,515.69,517.49,511.75
514.46,511.62,516.13,511.04
510.12,521.33,521.50,509.50
521.83,516.91,523.10,515.31
514.42,513.43,519.59,511.30
510.67,506.64,511.50,503.27
509.69,508.25,511.49,507.15
511.10,516.86,519.70,510.25
518.10,523.83,526.51,518.10
524.60,526.47,529.70,522.42
530.00,531.32,531.98,527.00
530.81,528.20,533.00,525.85
527.07,528.20,528.68,523.89
525.94,529.74,531.11,525.94
528.51,529.54,530.04,525.14
526.22,531.63,531.92,525.00
531.45,532.92,535.85,530.37
530.76,534.81,538.02,529.00
536.70,533.40,536.70,530.61
537.40,541.96,542.38,533.91
543.00,546.31,550.47,539.53
548.59,544.63,549.59,538.64
544.40,543.68,549.22,536.20
545.58,541.75,547.41,538.14
536.82,545.82,547.00,536.81
544.44,548.39,549.10,543.53
545.34,543.97,547.51,540.00
541.99,545.24,545.64,541.00
540.00,539.07,542.39,533.51
537.17,535.24,538.97,528.30
538.68,540.01,541.74,536.88
543.82,551.59,554.13,542.28
551.95,546.56,552.68,544.02
551.55,541.09,551.99,534.32
546.47,545.53,549.83,537.47
574.07,584.52,594.89,569.60
586.51,579.22,589.85,575.32
577.52,576.57,582.10,569.21
566.72,567.44,570.59,560.31
567.00,560.11,570.60,555.72
566.24,575.50,578.36,566.24
571.55,576.64,578.75,567.72
580.00,585.82,586.36,574.08
585.99,578.20,589.99,577.59
578.10,588.28,590.11,576.20
583.58,586.16,591.64,582.56
589.43,578.37,590.78,576.63
575.01,565.16,577.79,560.20
561.93,564.00,568.47,558.00
560.00,557.00,560.00,548.76
550.64,549.59,556.45,545.60
553.17,556.75,557.95,550.54
555.19,558.95,564.27,550.00
553.71,550.56,557.73,547.95
555.80,546.85,558.89,544.66
545.82,537.18,548.48,534.10
534.00,519.09,535.55,518.01
519.18,511.24,521.00,509.08
511.14,527.07,528.00,507.44
527.35,525.08,536.60,522.16
522.62,530.89,532.53,518.00
532.52,531.50,534.66,522.97
529.69,526.55,531.07,525.00
528.89,527.90,533.32,523.69
526.43,531.55,533.13,519.73
530.17,523.10,532.74,522.01
511.78,503.01,517.07,498.21
503.01,516.21,516.74,498.01
513.12,522.38,525.00,511.64
526.60,533.44,537.00,523.00
539.50,529.51,542.76,528.79
525.54,536.70,538.29,525.13
540.54,520.89,543.60,519.06
526.54,530.89,532.43,519.21
526.72,525.97,536.75,525.00
525.51,527.98,536.70,525.51
528.25,531.66,534.60,524.57
530.91,545.24,547.38,527.91
549.08,548.58,553.69,544.63
550.26,548.22,552.05,543.04
550.31,537.03,556.77,536.83
539.56,550.12,550.86,539.56
543.68,539.81,546.90,537.27
541.59,544.31,545.19,536.07
547.23,544.24,550.63,543.48
540.69,536.29,541.57,531.13
545.00,553.79,553.96,542.98
556.47,565.97,567.14,555.62
563.75,566.61,569.95,562.40
565.21,563.41,566.99,560.22
561.25,551.47,562.45,550.00
552.35,551.39,555.00,547.66
545.61,531.77,547.85,527.44
532.61,535.01,538.45,529.70
531.24,534.59,537.32,521.25
535.00,540.04,542.46,533.25
540.55,536.52,542.03,534.00
542.47,544.11,546.92,535.07
547.55,549.36,554.77,544.50
553.00,544.21,553.58,540.01
516.00,498.50,518.00,494.55
483.00,477.47,485.64,467.26
481.35,472.48,481.90,470.00
478.58,483.59,485.95,475.03
490.00,489.20,493.40,486.16
493.98,498.94,501.69,490.20
489.83,491.61,497.07,484.07
487.35,481.50,491.75,480.50
485.00,476.79,488.77,476.79
472.91,477.79,478.59,471.04
485.00,492.85,495.98,482.24
493.45,490.80,496.15,489.77
491.12,496.76,499.76,491.12
494.10,501.22,502.18,494.03
503.11,497.56,503.11,494.43
496.44,498.58,498.98,492.01
498.16,508.31,512.63,498.16
512.46,509.86,512.46,504.23
507.50,517.31,517.50,506.90
517.89,514.95,518.37,512.00
516.98,511.73,516.98,509.06
510.18,510.32,513.70,507.45
511.00,507.50,515.98,505.01
506.42,507.76,509.40,503.01
505.88,503.21,507.88,501.12
503.78,505.52,507.92,500.00
503.04,500.69,506.35,499.00
499.51,498.01,500.56,496.30
498.00,496.54,500.14,496.04
493.31,491.66,495.95,486.61
492.39,491.79,497.97,488.48
490.25,491.09,496.18,488.22
489.96,487.70,492.68,486.01
490.01,495.92,496.55,489.16
497.61,500.74,501.84,492.85
497.38,495.19,501.92,494.31
494.43,487.41,494.71,486.52
489.70,486.08,493.05,485.01
486.00,489.72,493.03,481.26
490.60,501.65,502.42,487.30
500.57,510.31,513.94,499.76
513.18,512.36,517.82,509.55
512.54,509.39,514.00,507.44
508.50,506.34,508.50,501.32
508.00,517.76,518.55,508.00
515.00,517.50,519.45,510.60
517.57,511.47,521.63,511.12
510.93,495.62,512.75,494.24
498.41,499.66,501.00,494.01
498.21,495.63,498.51,491.53
499.03,499.80,506.40,496.51
499.00,500.75,502.15,494.40
503.14,511.03,511.32,500.08
512.76,516.49,520.00,508.71
519.70,511.31,520.00,509.48
508.63,509.32,510.79,507.03
502.78,495.16,506.00,489.04
496.52,494.63,498.48,489.60
499.46,494.64,500.68,492.96
494.65,494.58,500.65,493.24
507.08,512.53,513.40,505.00
515.23,533.13,534.78,514.98
510.05,532.41,544.21,510.00
531.64,535.82,536.44,526.41
538.23,538.35,546.07,536.00
540.00,551.19,551.93,540.00
545.20,546.61,551.60,539.13
549.28,543.01,549.82,541.56
545.13,545.63,548.27,540.52
538.70,535.84,544.79,535.00
536.00,542.22,545.10,532.55
545.00,540.96,549.49,533.83
539.01,541.47,551.15,537.21
540.50,540.82,543.24,537.38
542.46,543.90,549.98,541.16
537.06,537.70,540.99,531.00
536.14,531.50,538.24,530.74
528.87,529.60,535.84,526.99
529.92,533.64,537.50,529.00
532.60,536.17,539.75,530.00
536.68,526.46,538.96,524.74
526.50,524.29,529.00,520.30
523.87,533.92,536.78,523.52
540.00,542.49,549.98,538.16
541.32,536.48,543.99,533.88
535.71,534.46,539.25,532.20
538.63,537.50,538.63,534.75
535.25,534.25,540.00,531.33
532.21,525.00,534.63,524.47
524.00,530.49,531.29,522.00
532.40,534.95,539.10,531.23
533.39,529.00,534.09,527.00
528.75,525.41,532.89,524.08
524.96,527.17,528.76,520.59
527.76,516.77,527.76,515.59
515.25,519.78,520.81,510.00
520.53,518.29,521.34,513.25
517.15,526.85,526.90,517.15
526.97,536.30,540.78,526.57
537.16,539.57,545.13,536.74
535.75,537.95,540.00,533.00
536.29,533.11,538.40,531.94
535.39,551.00,552.98,535.09
553.00,546.52,553.96,545.00
547.33,515.45,547.44,508.08
508.82,488.31,511.20,487.89
481.86,496.79,505.00,476.25
