PRKR,ParkerVision,NASDAQ
0.96,0.98,1.01,0.96
0.98,0.98,1.04,0.94
0.99,1.05,1.06,0.99
1.07,1.04,1.08,1.02
1.05,0.98,1.06,0.98
1.00,1.03,1.05,0.88
1.00,1.01,1.05,1.00
1.02,0.98,1.02,0.95
1.01,1.00,1.03,0.95
0.97,0.98,1.00,0.91
0.95,0.99,0.99,0.92
0.97,0.90,0.97,0.89
0.89,0.92,0.92,0.89
1.00,0.91,1.00,0.89
0.91,0.90,0.93,0.89
0.94,1.00,1.02,0.90
1.00,1.01,1.04,0.96
1.01,0.99,1.01,0.94
0.98,0.98,0.99,0.96
1.00,0.98,1.00,0.95
0.98,0.97,0.99,0.95
0.99,0.96,0.99,0.95
0.96,0.98,0.98,0.94
0.95,0.95,0.98,0.92
0.93,0.91,0.93,0.88
0.93,0.89,0.93,0.87
0.93,0.89,0.93,0.87
0.92,0.87,0.93,0.87
0.90,0.87,0.92,0.87
0.87,0.84,0.91,0.84
0.81,0.82,0.89,0.81
0.82,0.83,0.88,0.82
0.83,0.83,0.87,0.82
0.82,0.84,0.88,0.81
0.82,0.82,0.87,0.82
0.82,0.85,0.85,0.82
0.89,0.86,0.89,0.82
0.85,0.89,0.91,0.81
0.93,0.90,0.93,0.85
0.88,0.90,0.92,0.88
0.89,0.87,0.89,0.86
0.84,0.89,0.90,0.83
0.86,0.87,0.90,0.84
0.85,0.86,0.86,0.84
0.86,0.84,0.89,0.83
0.83,0.84,0.85,0.81
0.82,0.82,0.83,0.82
0.82,0.82,0.89,0.80
0.80,0.79,0.83,0.74
0.80,0.80,0.82,0.78
0.91,0.89,0.91,0.79
0.88,0.86,0.89,0.83
0.85,0.88,0.88,0.84
0.86,0.86,0.87,0.85
0.84,0.84,0.86,0.82
0.83,0.81,0.84,0.80
0.81,0.80,0.84,0.78
0.85,0.80,0.85,0.78
0.80,0.81,0.82,0.80
0.80,0.81,0.82,0.79
0.80,0.82,0.89,0.78
0.85,0.83,0.85,0.80
0.82,0.80,0.85,0.80
0.81,0.83,0.89,0.80
0.90,0.83,0.90,0.81
0.85,0.84,0.85,0.80
0.85,0.83,0.85,0.81
0.86,0.80,0.86,0.80
0.80,0.80,0.82,0.79
0.79,0.80,0.80,0.79
0.79,0.80,0.81,0.79
0.80,0.82,0.83,0.79
0.81,0.83,0.83,0.81
0.83,0.83,0.83,0.79
0.83,0.84,0.85,0.81
0.82,0.81,0.84,0.80
0.84,0.83,0.86,0.81
0.81,0.81,0.83,0.81
0.81,0.83,0.85,0.81
0.84,0.88,0.88,0.81
0.86,0.98,1.01,0.85
0.96,0.93,1.05,0.90
0.95,0.95,0.97,0.93
0.93,1.00,1.01,0.93
1.01,1.22,1.22,0.99
1.20,1.15,1.20,1.12
1.15,1.10,1.17,1.00
1.12,1.11,1.12,1.03
1.11,1.19,1.21,1.10
1.19,1.20,1.23,1.12
1.18,1.13,1.19,1.12
1.15,1.14,1.18,1.05
1.11,1.13,1.14,1.11
1.14,1.04,1.17,1.01
1.04,1.08,1.13,1.03
1.06,1.04,1.09,1.00
1.05,1.11,1.15,1.02
1.11,1.11,1.11,1.03
1.09,1.07,1.15,1.05
1.05,1.05,1.16,1.05
1.05,1.02,1.10,1.02
1.03,0.97,1.05,0.91
1.00,1.03,1.06,0.98
1.06,1.08,1.14,1.03
1.11,1.14,1.15,1.10
1.14,1.26,1.28,1.13
1.28,1.17,1.33,1.16
1.08,1.15,1.19,1.07
1.16,1.14,1.17,1.10
1.13,1.15,1.17,1.10
1.15,1.17,1.20,1.13
1.18,1.32,1.37,1.18
1.31,1.60,1.62,1.29
1.57,1.42,1.60,1.42
1.41,1.49,1.49,1.39
1.44,1.38,1.45,1.36
1.41,1.40,1.41,1.36
1.40,1.40,1.44,1.37
1.38,1.36,1.39,1.33
1.38,1.38,1.41,1.34
1.40,1.35,1.42,1.34
1.35,1.30,1.35,1.25
1.26,1.30,1.30,1.25
1.32,1.36,1.40,1.29
1.38,1.40,1.40,1.32
1.40,1.40,1.40,1.36
1.41,1.37,1.41,1.37
1.36,1.26,1.38,1.24
1.27,1.30,1.36,1.26
1.32,1.32,1.36,1.23
1.28,1.33,1.33,1.14
1.34,1.26,1.36,1.25
1.28,1.24,1.30,1.23
1.20,1.25,1.27,1.17
1.27,1.44,1.48,1.26
1.39,1.60,1.68,1.35
1.62,1.66,1.68,1.51
1.66,1.63,1.67,1.59
1.85,1.78,1.85,1.64
1.80,1.78,1.82,1.72
1.85,1.89,1.99,1.76
1.85,2.20,2.20,1.71
2.21,2.09,2.34,1.90
2.15,2.12,2.28,2.06
2.15,2.29,2.31,2.00
2.27,2.33,2.37,2.20
2.25,2.34,2.38,2.21
2.40,2.18,2.40,2.15
2.15,2.22,2.28,1.95
2.22,2.28,2.32,2.13
2.30,2.25,2.30,2.21
2.21,2.26,2.28,2.20
2.28,2.24,2.28,2.21
2.29,2.24,2.34,2.21
2.28,2.20,2.28,2.16
2.16,2.23,2.25,2.15
2.24,2.26,2.38,2.17
2.28,2.29,2.32,2.07
2.30,2.28,2.31,2.23
2.27,2.30,2.34,2.26
2.28,2.28,2.32,2.26
2.32,2.38,2.43,2.28
2.43,2.73,2.73,2.29
2.73,2.79,2.82,2.60
2.76,2.97,3.04,2.76
2.92,2.78,2.99,2.75
2.85,2.76,2.86,2.67
2.78,2.72,2.89,2.65
2.69,2.52,2.71,2.50
2.53,2.50,2.55,2.50
2.53,2.80,2.84,2.52
2.85,2.83,2.99,2.71
2.86,2.81,2.87,2.76
2.99,3.13,3.25,2.88
3.18,3.09,3.20,3.01
3.07,3.11,3.17,3.06
3.08,2.95,3.08,2.89
2.95,2.88,2.95,2.85
2.90,2.68,2.99,2.68
2.67,2.69,2.81,2.61
2.70,2.49,2.75,2.48
2.50,2.31,2.50,2.24
2.30,2.51,2.60,2.30
2.51,2.29,2.53,2.27
2.30,2.14,2.37,2.03
2.15,2.26,2.26,2.04
2.21,2.20,2.48,2.15
2.20,2.15,2.26,2.08
2.14,1.91,2.18,1.80
1.97,1.97,2.00,1.87
1.94,1.97,2.00,1.90
1.96,2.03,2.07,1.92
1.99,2.13,2.39,1.95
2.09,2.15,2.18,1.89
2.16,2.34,2.35,2.16
2.35,2.29,2.39,2.24
2.30,2.33,2.35,2.27
2.34,2.36,2.55,2.30
2.39,2.25,2.40,2.19
2.38,2.16,2.38,2.10
2.17,2.07,2.28,1.94
2.07,2.13,2.22,2.07
2.13,2.17,2.22,2.11
2.19,2.27,2.30,2.16
2.27,2.29,2.35,2.20
2.30,2.30,2.42,2.23
2.32,2.34,2.40,2.27
2.32,2.23,2.36,2.21
2.23,2.24,2.34,2.21
2.26,2.55,2.56,2.23
2.55,2.39,2.59,2.36
2.46,2.53,2.60,2.44
2.60,2.73,2.83,2.49
2.74,2.66,2.83,2.65
2.59,2.49,2.62,2.46
2.46,2.49,2.51,2.43
2.48,2.50,2.55,2.46
2.50,2.53,2.55,2.46
2.39,2.32,2.47,2.26
2.35,2.42,2.45,2.30
2.44,2.41,2.46,2.40
2.45,2.35,2.45,2.28
2.35,2.33,2.38,2.30
2.34,2.39,2.39,2.31
2.40,2.35,2.45,2.31
2.36,2.38,2.42,2.32
2.38,2.37,2.41,2.35
2.37,2.33,2.41,2.31
2.33,2.36,2.38,2.32
2.38,2.34,2.45,2.34
2.35,2.32,2.38,2.32
2.32,2.21,2.36,2.10
2.22,2.00,2.22,1.99
2.01,2.04,2.14,2.01
2.03,2.01,2.07,1.93
1.97,1.98,2.06,1.90
1.99,1.75,2.00,1.74
1.75,1.64,1.78,1.62
1.65,1.66,1.73,1.63
1.62,1.60,1.65,1.60
1.57,1.53,1.69,1.52
1.50,1.57,1.66,1.48
1.65,1.65,1.73,1.60
1.63,1.63,1.77,1.60
1.63,1.58,1.64,1.52
1.57,1.55,1.59,1.54
1.57,1.71,1.79,1.53
1.72,1.77,1.79,1.66
1.80,2.00,2.05,1.72
2.00,1.85,2.00,1.81
1.85,1.74,1.94,1.73
1.73,1.74,1.85,1.72
1.72,1.71,1.75,1.66
1.72,1.89,1.96,1.70
1.87,1.77,1.91,1.77
1.78,1.78,1.92,1.65
1.78,1.68,1.86,1.66
1.67,1.80,1.80,1.58
1.82,1.85,1.88,1.81
1.85,1.86,1.90,1.83
1.85,1.92,1.95,1.83
1.92,1.90,1.92,1.82
1.90,1.88,1.96,1.86
1.87,1.92,1.92,1.83
1.90,1.94,1.97,1.88
2.00,2.20,2.22,1.95
2.19,2.26,2.33,2.10
2.26,2.20,2.28,2.15
2.21,2.00,2.27,1.99
2.00,1.97,2.02,1.90
1.98,2.02,2.04,1.96
2.07,2.09,2.21,2.00
2.10,2.15,2.20,2.05
2.17,2.27,2.27,2.13
2.27,2.29,2.29,2.18
2.28,2.38,2.40,2.25
2.37,2.25,2.42,2.20
2.25,2.39,2.39,2.23
2.36,2.37,2.44,2.26
2.42,2.24,2.42,2.20
2.25,2.25,2.33,2.21
2.29,2.19,2.29,2.09
2.20,2.18,2.20,2.11
2.17,2.19,2.30,2.16
2.19,2.05,2.19,2.03
2.04,2.04,2.09,2.01
2.02,2.03,2.08,1.97
