ICF,iShares Cohen & Steers REIT ETF,NASDAQ
85.56,85.55,85.84,84.96
85.86,86.07,86.16,85.58
86.18,86.55,86.94,86.09
86.34,86.75,86.79,86.31
86.36,85.13,86.69,85.13
85.59,86.58,86.60,84.99
86.20,85.61,86.20,85.08
85.61,85.53,85.78,85.06
85.72,86.83,86.84,85.58
87.05,86.58,87.05,86.19
86.90,87.05,87.17,86.40
87.07,87.20,87.41,86.88
87.20,86.83,87.25,86.34
86.80,86.61,87.10,86.45
86.74,87.33,87.36,86.55
87.29,88.32,88.33,87.24
88.29,87.85,88.55,87.62
87.98,88.31,88.58,87.98
88.98,88.46,89.08,88.26
88.59,88.85,88.85,88.52
88.98,89.23,89.23,88.51
88.64,89.03,89.30,88.63
89.01,88.51,89.03,88.34
88.66,88.91,88.91,88.41
88.94,89.30,90.40,88.78
89.41,89.66,89.85,89.41
89.53,90.36,90.39,89.25
90.15,89.98,90.64,89.69
90.07,90.47,90.47,89.84
90.32,90.71,90.74,90.30
90.89,91.28,91.47,90.85
91.30,88.97,92.06,88.51
88.01,87.35,88.26,86.90
87.00,87.20,87.28,86.12
87.71,86.22,88.09,85.68
85.65,84.60,85.82,83.44
84.65,83.73,85.10,83.62
83.39,82.59,84.23,82.53
82.53,83.03,83.37,81.82
83.20,81.93,83.30,81.93
81.75,81.23,82.18,80.99
81.29,82.64,82.64,80.71
82.93,82.54,83.13,81.37
82.68,81.84,82.70,81.64
82.58,80.57,82.58,80.32
81.03,79.58,81.09,79.38
79.56,81.86,82.03,79.44
