KOSS,Koss Corporation - Common Stock,NASDAQ
5.50,5.50,5.50,5.50
5.48,5.29,5.50,5.26
5.29,5.29,5.29,5.29
5.59,5.04,5.59,5.04
5.17,5.49,5.58,5.17
5.49,5.49,5.49,5.49
5.49,5.49,5.49,5.49
5.48,5.55,5.58,5.34
5.52,5.37,5.52,5.17
5.47,5.50,5.56,5.22
5.51,5.40,5.60,5.21
5.60,5.56,5.60,5.55
5.32,5.55,5.55,5.31
5.51,5.49,5.58,5.25
5.26,5.32,5.49,5.22
5.58,5.55,5.58,5.48
5.55,5.55,5.55,5.55
5.59,5.60,5.60,5.46
5.57,5.55,5.57,5.55
5.59,5.56,5.59,5.52
5.52,5.43,5.52,5.43
5.42,5.21,5.42,5.21
5.24,5.10,5.26,5.10
5.05,4.95,5.05,4.95
5.03,4.97,5.03,4.91
4.97,5.05,5.47,4.97
5.05,5.05,5.05,5.05
5.09,5.30,5.49,5.09
5.45,5.33,5.46,5.05
5.31,5.44,5.44,5.03
5.44,5.16,5.44,5.10
5.24,5.48,5.48,5.24
5.14,5.35,5.40,5.09
5.44,5.35,5.44,5.35
5.35,5.13,5.35,5.11
5.16,5.14,5.16,5.12
5.20,5.19,5.20,5.19
5.20,5.20,5.20,5.20
5.20,5.40,5.40,5.20
5.37,5.40,5.41,5.25
5.40,5.27,5.40,5.24
5.39,5.22,5.39,5.22
5.45,5.34,5.45,5.22
5.42,5.45,5.49,5.29
5.43,5.35,5.47,5.23
5.40,5.46,5.46,5.27
5.46,5.46,5.46,5.46
5.43,5.28,5.43,5.28
5.28,5.28,5.28,5.28
5.30,5.30,5.30,5.30
5.32,5.27,5.32,5.27
5.17,5.27,5.27,5.17
5.22,5.22,5.40,5.16
5.30,5.33,5.33,5.16
5.25,5.30,5.30,5.25
5.19,5.19,5.19,5.19
5.19,5.13,5.19,5.13
5.13,5.13,5.13,5.13
5.30,5.11,5.30,5.10
5.10,5.04,5.10,5.04
5.18,5.22,5.24,5.18
5.06,5.00,5.06,5.00
5.15,5.00,5.15,5.00
5.03,5.15,5.18,5.03
5.11,5.12,5.15,5.11
5.12,5.12,5.12,5.12
5.01,5.01,5.01,4.95
5.14,5.14,5.14,5.14
5.14,5.15,5.15,5.14
5.12,4.96,5.12,4.96
4.95,4.97,4.97,4.95
5.00,5.00,5.00,5.00
4.85,4.90,4.96,4.77
4.52,4.83,4.84,4.52
4.72,4.80,4.80,4.71
4.83,4.80,4.88,4.70
4.80,4.80,4.80,4.80
4.80,4.80,4.80,4.80
4.87,4.88,4.88,4.76
4.80,4.79,4.81,4.58
4.69,4.75,4.75,4.68
4.78,4.90,4.90,4.78
4.90,4.90,5.03,4.90
4.90,4.98,4.98,4.90
5.00,5.08,5.08,5.00
5.14,5.14,5.19,5.14
5.14,5.14,5.14,5.14
5.14,5.14,5.14,5.14
5.24,5.13,5.24,5.13
5.13,5.13,5.13,5.13
5.13,5.00,5.13,5.00
5.00,5.00,5.00,5.00
4.95,4.84,4.99,4.75
4.95,4.95,4.95,4.95
4.78,4.91,4.94,4.78
4.89,4.85,4.89,4.85
4.85,4.94,4.94,4.85
4.95,4.96,5.20,4.90
5.00,5.08,5.12,4.94
4.90,4.90,4.90,4.86
5.05,5.04,5.05,5.04
5.02,4.92,5.12,4.92
4.93,5.00,5.00,4.93
5.00,5.00,5.00,5.00
4.86,4.94,5.19,4.85
4.91,4.87,4.96,4.86
4.86,4.85,4.99,4.85
4.82,4.86,4.86,4.82
4.82,4.80,4.84,4.79
4.92,4.77,4.92,4.77
4.89,4.89,4.89,4.89
4.88,4.80,4.88,4.80
4.88,4.88,4.88,4.88
4.90,4.90,4.90,4.90
4.85,4.91,4.91,4.85
4.77,4.77,4.77,4.77
4.77,4.99,4.99,4.77
4.75,4.75,4.77,4.75
4.83,4.83,4.83,4.83
4.84,4.82,4.84,4.82
4.99,4.84,4.99,4.84
4.82,4.76,4.85,4.75
4.75,4.85,4.85,4.75
4.82,4.90,4.90,4.82
4.89,4.77,4.89,4.77
4.79,4.75,4.79,4.75
4.80,4.90,4.90,4.80
4.90,4.90,4.90,4.85
4.92,4.78,4.94,4.77
4.77,4.77,4.94,4.77
4.80,4.80,4.90,4.75
4.89,4.70,4.89,4.70
4.78,4.69,4.78,4.69
4.70,4.69,4.70,4.69
4.71,4.70,4.71,4.70
4.93,4.81,4.93,4.80
4.82,4.91,4.91,4.82
4.82,5.14,5.20,4.82
5.14,5.14,5.14,5.14
4.84,5.04,5.05,4.82
4.97,5.05,5.06,4.97
5.00,4.90,5.00,4.82
4.85,5.08,5.08,4.73
5.04,5.15,5.15,5.02
5.10,5.16,5.22,4.94
5.21,5.24,5.25,5.04
5.16,5.07,5.16,5.05
5.07,4.91,5.07,4.85
4.72,4.70,4.76,4.70
4.64,4.65,4.88,4.51
4.71,4.84,4.86,4.70
4.80,4.90,4.90,4.78
4.92,4.70,4.92,4.70
4.75,4.76,4.76,4.75
4.77,4.74,4.77,4.61
4.94,4.94,4.94,4.91
4.94,4.93,4.94,4.92
4.92,4.94,4.99,4.92
4.83,4.80,5.04,4.76
4.82,4.81,4.98,4.78
4.86,4.86,4.86,4.86
4.85,4.86,4.86,4.85
4.88,4.88,4.88,4.88
4.91,4.98,4.98,4.88
4.98,4.98,4.98,4.98
4.98,4.99,4.99,4.98
5.00,5.01,5.10,4.76
5.06,5.05,5.06,5.05
4.83,4.95,5.04,4.83
4.89,4.89,4.89,4.89
4.97,4.97,4.97,4.97
4.98,4.98,4.98,4.98
4.98,4.98,4.98,4.95
4.98,4.86,4.99,4.80
4.92,4.98,4.98,4.91
4.95,4.95,4.95,4.87
4.82,4.82,4.82,4.82
4.86,5.00,5.00,4.86
4.81,4.75,5.00,4.75
5.00,5.00,5.20,4.99
5.16,4.83,5.27,4.82
4.88,4.80,5.04,4.76
4.85,4.95,4.98,4.79
4.92,4.77,4.94,4.75
4.93,4.95,4.95,4.93
4.93,4.87,5.12,4.87
4.87,4.87,4.87,4.87
4.77,5.04,5.13,4.77
4.96,4.83,4.96,4.83
4.90,4.95,5.13,4.90
4.90,5.08,5.12,4.90
5.07,5.06,5.09,5.06
5.02,4.98,5.02,4.92
5.01,5.01,5.01,5.01
5.05,5.10,5.10,5.01
5.08,5.06,5.09,4.85
5.55,5.29,5.55,5.03
5.25,5.24,5.32,5.22
5.28,5.12,5.28,5.10
5.11,4.93,5.11,4.93
5.06,5.05,5.07,5.05
5.04,5.01,5.05,4.81
4.94,4.94,4.94,4.94
4.89,4.92,4.92,4.85
4.92,4.94,4.94,4.92
4.96,5.00,5.00,4.95
5.01,5.05,5.05,5.01
5.05,5.05,5.05,5.05
5.05,5.05,5.05,5.03
5.05,5.05,5.05,5.05
5.05,5.05,5.05,5.05
5.05,5.05,5.05,5.01
5.05,5.04,5.05,5.00
5.03,5.02,5.03,5.02
5.00,5.00,5.02,4.97
5.05,5.05,5.05,5.05
5.05,4.95,5.05,4.95
5.04,5.04,5.04,5.04
5.04,5.04,5.04,5.04
4.36,4.74,4.86,4.04
4.83,5.00,5.01,4.79
5.05,4.70,5.05,4.66
4.85,4.88,5.01,4.60
4.90,4.90,4.90,4.90
4.82,5.08,5.08,4.78
5.07,5.08,5.08,5.07
5.04,5.00,5.04,5.00
5.00,5.04,5.04,5.00
5.04,5.08,5.08,5.04
5.07,5.10,5.10,5.07
5.07,5.07,5.10,5.07
5.10,5.10,5.10,5.00
4.89,5.10,5.10,4.87
5.05,5.05,5.05,5.05
5.05,5.05,5.05,5.05
4.84,5.10,5.10,4.84
5.10,5.10,5.10,5.09
5.11,5.11,5.11,5.11
5.11,5.11,5.11,5.11
5.11,5.11,5.11,5.11
5.11,5.10,5.11,5.03
5.11,5.03,5.11,5.01
5.03,5.03,5.03,5.03
5.10,5.10,5.10,5.10
4.95,4.95,4.96,4.95
5.00,5.05,5.05,5.00
5.05,5.07,5.07,5.02
5.07,5.01,5.07,5.01
4.90,4.88,5.10,4.88
4.93,4.45,4.93,4.45
4.54,4.61,4.90,4.54
4.72,4.55,4.72,4.55
4.84,4.77,4.85,4.77
4.79,4.77,4.79,4.52
4.75,4.90,4.90,4.68
4.83,4.82,4.83,4.81
