AUMN,Golden Minerals Company Common Stock,NASDAQ
7.63,7.27,7.82,7.26
7.30,7.01,7.45,6.97
7.08,7.23,7.23,6.62
7.27,7.05,7.38,6.94
6.90,7.13,7.36,6.90
7.09,6.93,7.09,6.83
6.86,6.52,6.88,6.51
6.61,6.67,6.80,6.52
6.63,6.45,6.67,6.31
6.84,6.29,6.84,6.28
6.33,6.31,6.47,6.28
6.23,6.11,6.23,5.95
6.16,6.30,6.30,6.10
6.31,6.68,6.72,6.29
6.78,6.88,6.92,6.62
6.99,7.07,7.07,6.87
6.98,7.40,7.49,6.91
7.50,6.97,7.53,6.97
6.68,6.60,6.76,6.53
6.57,6.28,6.57,6.16
6.27,6.06,6.51,6.01
6.00,5.68,6.04,5.60
5.47,5.40,5.49,5.11
5.29,5.43,5.67,5.16
5.47,5.16,5.58,5.12
5.12,5.22,5.23,5.05
5.04,5.08,5.12,4.97
5.05,4.18,5.09,4.09
4.03,4.06,4.28,4.02
4.27,3.38,4.27,3.33
3.74,3.62,3.94,3.53
3.74,3.85,3.85,3.62
3.77,3.54,3.85,3.42
3.46,3.70,3.71,3.24
3.90,3.76,3.90,3.55
3.74,3.72,3.78,3.61
3.87,3.80,3.95,3.71
3.72,3.72,3.91,3.55
3.70,3.45,3.79,3.42
3.50,3.74,3.86,3.44
3.88,5.06,5.24,3.84
5.02,5.32,5.37,4.68
5.37,5.57,5.94,5.24
5.61,5.30,5.62,5.06
5.13,5.31,5.35,4.88
5.33,5.08,5.40,5.08
5.10,5.24,5.36,5.05
5.27,4.94,5.70,4.87
4.88,5.06,5.19,4.73
5.11,4.59,5.11,4.56
4.70,5.00,5.09,4.61
4.97,4.97,5.19,4.91
4.86,4.82,5.06,4.69
4.69,4.18,4.69,4.17
4.20,4.41,4.43,4.12
4.35,4.64,4.70,4.25
4.57,4.55,4.57,4.39
4.50,4.38,4.52,4.26
4.28,4.18,4.31,4.04
4.42,4.50,4.52,4.30
4.50,4.75,4.79,4.35
4.89,5.25,5.29,4.72
5.16,5.38,5.45,5.10
5.28,5.12,5.30,5.01
4.98,4.82,5.16,4.78
5.04,4.54,5.04,4.38
4.53,4.32,4.64,4.26
4.21,4.25,4.31,4.05
4.30,4.16,4.41,4.11
4.19,4.39,4.44,4.15
4.31,4.19,4.37,4.11
4.13,4.27,4.32,4.13
4.30,4.11,4.42,4.07
4.01,4.15,4.16,3.94
4.01,3.87,4.05,3.83
3.90,3.82,3.90,3.81
3.89,4.09,4.11,3.89
3.98,4.17,4.32,3.97
4.17,4.36,4.39,4.11
4.40,4.29,4.44,4.25
4.31,4.20,4.32,4.15
4.15,4.11,4.38,4.05
4.06,3.94,4.25,3.90
3.95,4.09,4.16,3.92
4.27,4.30,4.48,4.27
4.27,4.37,4.47,4.23
4.42,4.21,4.48,4.20
4.23,4.45,4.45,4.12
4.29,4.49,4.49,4.26
4.46,4.29,4.48,4.25
4.29,4.26,4.45,4.23
4.25,4.42,4.43,4.25
4.45,4.70,4.80,4.36
4.80,4.75,4.84,4.67
4.80,4.74,4.81,4.64
4.85,5.46,5.47,4.85
5.50,5.45,5.51,5.18
5.60,5.32,5.67,5.31
5.28,5.17,5.35,5.13
5.18,5.34,5.53,5.18
5.37,5.28,5.50,5.27
5.29,5.18,5.29,5.09
5.20,4.81,5.20,4.79
4.81,5.33,5.37,4.81
5.43,5.85,5.88,5.28
5.88,5.95,6.08,5.67
6.08,6.11,6.24,6.01
6.30,6.55,6.66,6.25
6.64,6.30,6.67,6.26
6.43,6.13,6.50,6.04
6.42,6.33,6.42,5.84
6.29,7.01,7.22,6.06
5.78,5.85,6.13,5.62
5.79,5.81,5.96,5.72
5.82,5.90,5.93,5.77
5.89,5.96,6.15,5.87
5.92,5.75,5.92,5.67
5.93,5.74,5.96,5.67
5.64,5.40,5.65,5.32
5.52,5.05,5.55,5.03
5.01,5.12,5.16,4.81
5.19,5.40,5.41,5.10
5.39,5.21,5.39,5.15
5.29,5.09,5.36,5.04
5.13,5.03,5.16,4.91
5.03,4.93,5.04,4.87
4.98,4.98,5.03,4.82
4.92,4.76,4.99,4.65
4.69,4.71,4.75,4.65
4.75,4.48,4.75,4.43
4.46,4.48,4.60,4.38
4.69,4.48,4.71,4.46
4.54,4.43,4.64,4.39
4.37,4.46,4.47,4.31
4.54,4.40,4.54,4.35
4.44,4.47,4.54,4.38
4.48,4.47,4.56,4.46
4.45,4.42,4.47,4.32
4.42,4.55,4.55,4.41
4.44,4.39,4.45,4.32
4.45,4.40,4.49,4.32
4.57,4.59,4.62,4.48
4.66,4.49,4.72,4.45
4.39,4.37,4.51,4.34
4.42,4.37,4.46,4.35
4.35,4.09,4.36,4.06
4.10,4.12,4.17,4.02
4.15,4.18,4.23,4.08
4.17,4.13,4.18,4.01
4.08,4.04,4.09,4.01
4.02,3.86,4.03,3.81
3.88,3.84,3.89,3.78
3.78,3.82,3.91,3.77
3.80,3.67,3.85,3.65
3.63,3.65,3.68,3.58
3.59,3.57,3.63,3.50
3.60,3.78,3.80,3.60
3.76,3.73,3.82,3.65
3.68,3.88,3.89,3.66
3.90,3.93,3.99,3.88
3.92,4.00,4.00,3.90
3.98,3.98,4.01,3.92
3.74,3.84,3.89,3.74
3.88,4.02,4.03,3.87
4.01,3.99,4.01,3.86
3.96,4.12,4.17,3.93
4.01,4.28,4.32,4.00
4.26,4.11,4.30,4.10
4.11,4.12,4.26,3.99
4.06,4.16,4.29,4.05
4.17,4.25,4.27,4.15
4.27,4.67,4.74,4.25
4.67,4.80,4.83,4.65
4.70,4.72,4.79,4.54
4.68,4.64,4.76,4.53
4.65,4.90,4.90,4.64
4.87,4.71,4.97,4.59
4.64,4.56,4.70,4.52
4.41,4.72,4.75,4.36
4.81,4.66,4.86,4.55
4.55,4.48,4.61,4.35
4.52,4.51,4.64,4.45
4.45,4.48,4.60,4.44
4.47,4.51,4.53,4.45
4.51,4.59,4.61,4.45
4.75,4.74,4.76,4.60
4.73,4.60,4.75,4.55
4.60,4.59,4.65,4.52
4.53,4.76,4.80,4.52
4.78,4.60,4.81,4.55
4.56,4.57,4.62,4.54
4.72,4.66,4.72,4.55
4.66,4.67,4.70,4.58
4.72,4.61,4.75,4.58
4.66,4.66,4.87,4.59
4.65,4.62,4.68,4.57
4.61,4.61,4.66,4.54
4.59,4.20,4.59,4.06
4.18,4.10,4.18,4.03
4.14,4.03,4.14,3.98
4.01,3.78,4.01,3.75
3.71,3.61,3.73,3.55
3.61,3.53,3.64,3.50
3.64,3.58,3.67,3.54
3.60,3.51,3.68,3.50
3.51,3.47,3.55,3.43
3.54,3.49,3.58,3.43
3.45,3.34,3.48,3.34
3.38,3.23,3.42,3.20
3.20,3.21,3.26,3.18
3.20,3.40,3.57,3.19
3.43,3.44,3.54,3.41
3.39,3.36,3.43,3.32
3.36,3.20,3.37,3.20
3.23,3.33,3.45,3.23
3.39,3.23,3.44,3.21
3.29,3.14,3.30,3.10
3.15,3.03,3.16,3.02
2.99,2.80,3.03,2.80
2.83,2.85,2.94,2.81
2.90,2.90,2.94,2.85
2.95,3.10,3.16,2.95
3.12,3.18,3.27,3.02
3.14,3.00,3.16,2.96
3.00,2.90,3.12,2.87
2.91,2.75,3.03,2.73
2.75,2.42,2.75,2.36
2.48,2.28,2.48,2.23
2.28,2.45,2.47,2.16
2.46,2.39,2.53,2.27
2.31,2.49,2.52,2.25
2.53,2.69,2.78,2.53
2.70,2.69,2.79,2.64
2.70,2.62,2.70,2.59
2.64,2.73,2.75,2.57
2.78,2.89,3.11,2.76
2.94,2.69,2.96,2.67
2.68,2.57,2.70,2.57
2.60,2.67,2.89,2.58
2.72,2.64,2.75,2.58
2.62,2.57,2.66,2.55
2.56,2.45,2.58,2.40
2.48,2.41,2.55,2.36
2.44,2.48,2.52,2.36
2.52,2.38,2.52,2.32
2.35,2.45,2.47,2.30
2.38,2.30,2.47,2.27
2.28,2.20,2.32,2.18
2.17,2.19,2.24,2.10
2.20,2.30,2.34,2.16
2.24,2.17,2.35,2.16
2.21,2.23,2.27,2.19
2.24,2.12,2.28,2.11
2.12,2.06,2.16,2.03
2.05,1.91,2.05,1.86
1.78,1.63,1.85,1.60
1.68,1.60,1.75,1.58
1.61,1.51,1.65,1.46
1.52,1.62,1.65,1.47
1.65,1.58,1.65,1.52
1.63,1.57,1.66,1.55
1.52,1.57,1.60,1.47
1.51,1.74,1.76,1.47
1.75,1.75,1.83,1.68
1.76,1.83,1.86,1.76
1.85,1.91,1.92,1.82
1.92,1.82,1.92,1.77
1.78,1.74,1.81,1.67
1.74,1.65,1.76,1.63
1.63,1.68,1.81,1.63
1.64,1.67,1.76,1.64
1.65,1.60,1.66,1.56
1.60,1.60,1.64,1.58
1.50,1.55,1.61,1.50
1.51,1.51,1.54,1.49
1.50,1.56,1.57,1.49
1.58,1.58,1.63,1.55
1.57,1.50,1.58,1.50
1.48,1.53,1.55,1.48
1.53,1.52,1.54,1.52
1.51,1.66,1.68,1.49
1.63,1.62,1.64,1.59
1.64,1.57,1.69,1.57
1.59,1.62,1.64,1.57
1.62,1.58,1.63,1.58
1.64,1.62,1.70,1.60
1.61,1.83,1.91,1.61
1.84,1.87,1.94,1.83
1.85,1.75,1.86,1.75
1.76,1.82,1.88,1.75
1.82,1.81,1.87,1.76
1.85,1.76,1.85,1.76
1.77,1.70,1.77,1.67
1.67,1.61,1.71,1.60
1.62,1.60,1.65,1.57
1.58,1.55,1.61,1.54
1.56,1.58,1.61,1.56
1.57,1.61,1.61,1.51
1.62,1.57,1.64,1.57
1.57,1.86,1.86,1.57
1.87,1.89,2.07,1.87
2.03,1.82,2.03,1.82
