ALV,Autoliv,NASDAQ
55.71,55.21,56.38,54.98
55.71,55.34,55.76,54.72
55.74,56.92,57.20,55.71
57.15,57.43,57.60,56.89
58.02,58.10,58.32,57.76
59.79,59.62,60.00,59.29
59.30,59.14,59.72,58.98
59.36,59.81,59.94,59.27
59.21,59.60,59.75,58.51
60.03,60.18,60.38,59.67
60.62,60.36,60.91,59.92
60.76,59.68,60.86,59.45
60.33,60.93,60.94,60.20
60.81,60.72,61.13,60.49
61.02,61.35,61.37,60.72
61.23,61.34,61.52,60.92
61.63,61.69,61.91,61.39
62.40,62.15,62.64,61.88
62.86,63.09,63.40,62.68
62.54,61.84,62.93,61.41
62.12,62.13,62.61,61.97
62.68,63.00,63.03,62.39
63.54,64.89,64.89,63.46
65.21,65.16,65.82,65.15
65.22,65.88,65.96,64.97
64.73,65.88,65.96,64.65
65.50,65.95,65.95,65.20
66.00,65.79,66.47,65.24
65.79,66.36,66.48,65.17
65.90,65.93,66.69,65.77
65.82,67.39,67.58,65.75
68.20,68.66,68.68,67.85
68.29,68.45,68.92,68.07
67.71,67.17,67.85,66.86
66.90,66.71,67.13,66.47
66.44,65.53,66.49,65.49
66.05,65.80,66.26,65.60
66.76,65.78,66.78,65.54
66.21,65.31,66.42,64.66
65.85,65.44,65.96,65.27
65.62,65.70,65.83,65.27
65.84,65.08,65.94,64.80
65.61,65.88,66.02,65.21
65.89,65.33,65.95,65.14
65.74,65.30,65.82,65.10
65.31,64.79,65.41,64.66
66.08,65.70,66.27,65.27
66.85,66.59,66.91,66.38
67.24,66.85,67.32,66.41
67.16,68.24,68.36,67.06
68.28,67.52,68.89,67.37
66.03,65.80,66.66,65.13
65.73,66.46,66.54,65.59
65.25,65.01,65.27,64.54
65.16,65.44,65.69,65.12
65.48,65.49,65.76,65.27
65.02,64.96,65.23,64.07
65.31,65.92,65.92,65.31
65.87,66.36,66.40,65.82
66.64,67.17,67.39,66.64
68.44,67.89,68.83,67.66
67.66,67.79,67.87,67.19
67.49,67.42,68.92,67.40
68.22,69.18,69.26,67.87
69.42,68.30,69.77,68.11
67.42,66.95,67.77,66.28
67.06,66.20,67.15,66.13
66.59,64.13,66.70,64.13
64.75,64.19,64.76,64.00
64.07,65.26,65.36,63.93
65.48,65.18,65.87,65.09
65.30,65.91,65.91,64.73
65.42,65.45,65.71,65.00
66.74,66.44,66.74,66.15
67.27,67.30,67.50,66.62
68.50,68.01,68.66,67.76
68.33,68.95,69.64,67.53
68.54,69.14,69.37,68.27
69.81,69.15,69.90,68.88
68.83,68.88,69.00,68.41
68.46,69.10,69.10,68.34
69.52,69.58,69.75,68.93
68.31,68.81,69.14,67.97
68.93,68.59,69.04,67.71
68.91,69.15,69.48,68.54
68.58,68.24,69.06,68.17
68.41,68.08,68.61,67.77
68.25,67.59,68.44,67.47
67.80,68.61,68.74,67.65
68.01,68.86,69.20,67.66
69.14,69.14,70.04,68.33
68.96,67.88,69.16,67.47
68.79,68.58,69.09,68.35
69.07,68.63,69.34,68.25
68.14,67.79,68.47,67.51
66.89,67.99,68.56,66.62
67.40,67.52,67.72,66.89
67.33,67.67,67.97,66.75
68.13,69.78,69.78,67.98
69.63,70.97,71.20,69.53
70.33,70.63,70.75,70.19
69.55,68.17,69.63,67.65
68.57,69.12,69.12,68.42
68.08,67.46,68.14,66.80
67.20,66.47,67.20,65.97
67.02,67.27,67.30,66.40
66.84,68.20,68.99,66.66
67.46,67.78,67.89,67.00
67.33,69.22,69.26,67.23
69.27,70.96,71.18,69.16
74.96,75.09,76.09,73.97
75.21,75.59,76.40,75.02
75.80,76.42,76.58,75.73
75.94,75.82,76.58,75.58
75.11,75.50,75.67,75.00
75.97,76.51,77.70,75.97
76.33,76.93,77.49,76.33
77.30,77.34,77.41,76.64
77.98,78.02,78.29,77.78
78.03,77.85,78.65,77.70
78.31,78.90,78.98,78.18
77.91,79.02,79.10,77.90
78.88,79.04,79.24,78.54
78.75,78.86,79.20,78.34
78.78,78.19,79.07,78.00
78.82,80.04,80.37,78.75
79.49,79.43,79.81,79.21
79.12,78.95,79.50,78.71
77.98,77.74,79.41,77.29
76.69,77.46,77.98,76.48
77.29,78.13,78.45,77.07
78.82,78.35,79.47,78.27
78.33,78.29,78.97,78.12
78.96,78.44,79.39,78.43
79.10,78.46,79.85,78.46
78.99,79.49,79.56,78.22
79.15,79.07,79.72,78.53
78.58,77.68,78.64,77.29
77.71,78.17,78.20,76.99
77.87,79.38,79.43,77.50
78.67,78.39,79.05,77.94
77.55,77.42,78.22,77.22
78.09,77.73,78.52,77.71
77.32,78.77,78.97,77.20
77.86,77.29,78.25,77.00
77.82,77.97,78.36,77.45
77.74,78.84,79.06,77.54
