MKL,Markel Corporation Common Stock,NASDAQ
417.83,417.89,418.32,416.71
417.50,420.75,422.17,417.50
420.60,422.83,422.83,417.68
418.00,413.40,421.01,413.40
412.46,407.23,414.97,407.02
408.25,402.80,409.98,402.52
402.80,411.80,411.80,398.66
412.51,415.65,416.51,409.22
415.01,407.25,415.56,403.60
408.44,409.49,409.63,404.45
411.30,412.25,413.25,409.86
412.25,410.42,412.68,409.05
410.61,411.45,412.61,409.62
411.44,409.10,412.17,407.85
409.40,408.65,409.96,408.60
405.25,402.47,408.05,402.47
400.60,403.40,405.99,396.43
398.00,398.33,401.30,397.20
389.00,394.75,399.61,389.00
395.93,391.15,396.82,389.57
395.30,395.20,395.66,391.34
397.98,402.07,402.47,397.11
405.00,406.00,407.04,404.03
406.00,408.53,409.91,405.75
406.90,405.00,406.90,404.00
405.02,405.31,405.88,401.98
405.01,401.49,406.51,400.38
401.35,405.12,410.21,401.35
406.51,409.00,409.41,406.23
408.94,414.40,415.00,408.94
414.11,414.45,418.00,412.54
417.00,420.89,420.89,413.53
420.00,420.87,420.87,418.07
418.89,419.00,419.16,416.91
418.99,422.96,423.81,417.85
424.25,423.50,427.00,419.06
425.00,425.68,430.26,425.00
425.51,425.10,426.08,421.00
421.00,420.25,422.17,418.30
421.22,417.39,422.26,416.70
415.86,414.57,416.88,414.02
414.56,414.68,414.68,412.90
410.92,414.00,415.33,410.92
414.37,413.99,414.37,412.65
414.75,415.20,418.11,414.00
415.44,415.94,417.27,413.85
414.00,413.52,414.00,411.60
413.30,413.08,415.00,411.98
412.96,417.98,417.98,410.97
416.58,419.89,419.89,414.98
417.00,417.28,418.56,415.00
417.61,416.25,418.39,412.16
415.50,414.42,415.50,412.50
415.49,412.91,415.49,411.72
411.25,410.09,412.00,409.19
412.91,408.12,414.91,404.17
407.50,405.37,408.02,404.14
405.57,408.04,408.04,403.66
406.25,403.75,408.45,402.70
402.38,414.50,415.00,402.38
414.15,414.12,414.93,410.75
413.00,415.20,417.05,413.00
410.05,416.45,416.75,410.05
416.85,418.50,418.96,416.42
420.00,418.75,420.00,416.00
417.18,414.42,418.74,414.42
411.12,412.95,415.96,409.99
413.90,414.98,417.90,413.40
414.56,414.51,416.56,411.57
413.50,411.20,413.50,406.03
411.51,412.98,413.82,409.40
413.00,413.67,414.97,408.61
411.75,409.72,415.99,408.82
411.70,414.40,414.40,406.00
412.03,412.25,413.22,409.69
410.51,409.00,411.17,407.99
410.89,407.32,411.09,407.23
406.10,405.66,410.08,405.60
406.25,407.56,408.43,405.65
406.23,404.50,406.92,403.00
405.53,401.00,409.75,399.24
403.00,398.10,403.04,396.50
396.12,393.13,398.00,390.96
393.68,391.66,398.31,390.67
393.46,391.20,395.94,388.51
391.05,388.84,391.05,388.35
389.90,394.16,394.17,389.00
393.00,392.91,396.30,392.91
391.50,388.13,392.05,386.99
388.17,391.70,393.47,386.81
390.85,395.06,397.44,390.37
395.48,393.50,397.00,390.80
395.40,399.18,399.18,393.02
399.99,396.81,399.99,395.08
396.00,401.85,402.21,394.25
401.58,399.03,401.77,396.51
398.33,399.12,402.76,393.00
400.10,401.75,403.04,396.79
399.00,399.11,401.38,395.68
396.75,395.76,397.27,393.80
394.23,396.49,399.56,392.17
396.90,396.71,400.57,396.13
396.91,394.44,397.95,394.44
395.00,392.15,395.00,388.90
390.62,388.87,391.80,387.60
390.77,390.68,392.20,389.00
389.82,393.12,394.42,389.82
393.15,401.18,401.96,393.15
400.00,398.97,403.21,397.89
394.10,396.13,401.97,392.90
395.00,397.25,399.00,394.32
396.00,393.58,400.41,393.29
393.60,392.35,395.34,392.00
390.45,400.42,401.85,390.29
403.00,394.20,403.00,393.00
393.50,390.00,396.34,390.00
390.00,390.99,391.13,388.52
388.50,383.45,392.30,382.00
385.00,381.48,388.02,375.00
370.00,352.00,377.85,352.00
358.50,375.75,379.16,352.79
370.00,358.68,373.14,357.14
360.00,376.97,379.63,357.10
377.99,371.59,385.48,370.22
375.50,384.80,387.91,375.50
381.19,384.41,385.80,379.90
384.39,383.63,386.43,381.04
377.25,376.59,379.40,373.03
374.11,377.04,381.32,373.15
381.98,378.79,384.72,377.79
379.06,384.79,384.97,377.45
383.94,387.90,388.16,382.00
388.00,380.25,390.96,375.50
374.00,383.40,384.35,372.34
387.00,395.10,395.75,387.00
392.00,393.60,397.88,389.00
393.83,393.98,397.69,391.00
392.38,392.00,395.00,386.02
387.00,383.05,390.85,383.00
377.00,379.55,383.94,375.00
383.25,394.98,394.98,383.25
394.00,390.06,396.17,390.04
388.00,384.43,389.61,383.09
380.03,383.35,384.70,377.35
384.53,386.90,388.00,382.35
389.00,393.10,394.52,385.76
395.45,392.39,396.02,388.02
391.40,384.95,392.50,383.76
380.25,375.10,382.77,371.99
377.25,375.75,382.00,374.21
374.57,362.00,377.58,362.00
358.39,351.25,358.39,347.55
349.75,351.13,352.15,346.15
353.15,362.15,362.15,352.38
367.40,364.28,370.00,363.90
363.98,356.99,367.14,356.99
361.95,365.08,365.91,360.69
362.00,357.13,366.24,357.13
356.50,347.36,361.03,345.00
339.42,365.90,365.90,337.50
364.50,368.51,369.34,356.30
366.08,368.00,371.75,364.35
365.66,361.67,369.60,361.67
363.67,373.97,373.97,360.01
370.97,366.68,372.25,365.02
368.16,366.80,370.44,363.02
364.75,362.75,368.89,361.00
364.50,365.70,366.00,359.64
364.53,357.31,365.28,357.05
356.68,370.40,370.40,355.54
369.06,367.51,373.91,367.27
366.38,373.29,374.00,363.34
375.05,385.87,385.87,374.79
383.90,388.17,389.55,383.75
386.08,383.11,389.83,382.89
387.50,389.74,391.84,384.11
398.70,399.95,399.95,393.38
397.25,391.78,397.25,390.00
388.01,386.50,390.83,385.00
382.90,374.30,385.47,367.68
385.00,386.44,388.61,382.43
391.01,391.00,392.71,387.60
389.12,389.65,393.35,386.88
388.76,396.71,396.71,388.07
396.47,394.88,397.37,390.18
387.84,387.28,394.66,387.01
391.32,389.85,394.90,386.74
393.06,394.48,397.12,392.74
392.62,394.24,396.88,390.88
393.00,396.00,397.73,391.21
394.74,394.07,399.85,394.07
395.02,395.15,397.98,393.56
397.65,397.60,398.12,395.57
393.00,388.31,393.89,388.31
386.63,387.12,390.88,386.51
383.59,379.50,385.25,379.50
378.75,385.31,385.82,378.75
391.75,386.93,391.75,384.08
386.93,386.07,388.13,384.26
392.00,401.40,401.47,390.10
398.85,396.10,399.89,394.87
398.20,398.77,400.78,395.20
399.84,400.30,400.99,396.57
399.59,399.01,402.28,397.40
403.00,407.08,407.16,399.20
403.15,402.63,405.51,401.52
404.08,408.70,408.80,403.00
404.27,405.75,408.00,402.15
408.75,404.00,409.91,401.53
402.20,404.75,408.01,400.48
407.44,403.00,408.61,403.00
403.77,407.00,407.33,401.67
406.00,401.55,406.00,400.39
406.11,408.01,409.77,404.03
407.04,408.99,409.27,404.19
406.84,409.95,409.95,404.09
407.59,410.83,411.65,407.13
409.00,414.25,416.30,408.23
413.01,413.09,414.39,410.21
414.36,415.00,417.80,413.85
416.07,414.67,419.10,413.82
419.05,413.85,419.05,411.60
412.01,410.00,413.34,408.56
407.50,408.85,411.95,406.00
410.00,412.27,420.00,408.06
412.40,407.43,412.40,405.04
409.14,406.15,410.77,406.15
401.50,404.84,408.29,401.50
406.95,406.41,409.56,405.94
403.50,401.82,405.72,400.43
403.50,399.12,408.79,399.12
399.58,404.08,408.96,398.65
406.51,405.06,410.49,402.53
406.00,409.46,409.97,406.00
408.30,409.85,411.92,407.49
407.50,408.54,410.99,406.50
407.92,406.85,409.64,406.50
406.35,400.85,407.89,400.02
402.25,401.54,403.85,399.24
399.77,399.50,402.41,399.30
400.33,403.07,403.14,399.00
404.24,405.00,406.72,402.42
403.42,405.00,405.00,401.01
404.84,409.03,409.29,403.30
408.00,402.50,408.70,402.32
404.80,404.00,407.90,402.95
404.75,406.18,406.78,403.77
407.44,406.40,409.96,404.06
403.89,407.96,408.56,403.89
409.53,411.42,412.85,409.33
409.40,408.60,409.77,406.12
411.00,406.00,412.37,406.00
407.38,406.94,409.00,406.07
408.30,407.85,408.73,407.51
409.20,409.40,409.50,406.95
409.00,404.32,409.00,404.32
405.00,407.00,407.17,405.00
407.48,409.05,409.95,406.48
407.98,409.80,409.80,406.33
408.80,409.11,409.42,407.83
409.70,407.95,410.82,406.00
407.73,411.35,411.90,407.73
411.00,407.70,411.60,406.45
406.00,406.75,408.62,405.16
404.52,407.14,410.00,403.00
409.00,415.00,416.94,407.40
414.73,417.25,424.86,414.72
418.75,419.57,420.74,417.31
419.45,420.72,422.34,419.44
423.01,427.90,428.32,421.25
427.01,424.00,428.60,423.67
425.30,428.34,429.12,423.65
429.60,422.23,429.60,422.22
420.25,424.00,424.74,419.44
421.55,420.50,424.85,419.44
421.13,418.17,421.93,417.32
416.53,416.00,418.98,415.55
417.87,419.55,419.55,415.25
421.98,426.70,426.70,420.01
425.10,424.50,426.52,423.41
427.94,450.90,451.85,427.58
448.05,447.66,451.90,447.66
448.35,448.94,449.11,445.77
447.31,449.20,453.50,445.68
447.98,448.21,449.71,445.70
452.00,442.22,452.00,442.22
441.10,444.22,445.79,441.10
441.95,444.50,444.50,438.41
441.50,439.56,441.75,438.06
441.21,446.20,446.20,441.01
446.34,445.00,446.50,443.40
443.95,440.00,445.00,439.74
442.75,445.27,445.27,441.64
446.95,447.67,447.95,443.65
445.94,441.88,446.11,439.28
443.02,444.25,445.71,440.08
443.05,444.50,445.52,442.14
441.00,438.30,442.31,437.35
437.20,439.04,441.19,436.15
441.72,442.50,444.08,438.04
441.00,441.75,444.93,440.44
441.00,442.25,442.25,437.01
440.50,440.28,443.17,438.87
439.09,442.29,443.98,439.09
439.91,444.53,445.92,439.91
443.79,440.69,446.06,439.93
440.59,444.90,446.71,440.59
444.82,443.65,448.07,440.60
441.50,440.53,443.65,439.57
439.25,438.44,442.78,438.44
443.44,445.62,450.92,443.44
446.49,445.00,449.42,443.03
442.73,438.63,445.00,438.53
438.56,443.00,443.75,437.59
445.65,441.00,445.65,440.02
442.27,438.88,444.09,436.57
439.67,432.17,441.71,432.17
435.36,434.35,436.73,433.03
435.13,437.83,439.11,433.89
435.98,435.02,437.10,433.71
435.06,441.54,441.54,434.00
440.06,433.69,441.58,433.30
437.77,435.25,441.26,433.51
434.47,434.25,436.00,432.00
434.75,438.49,439.70,431.76
437.00,431.80,437.60,431.80
433.48,430.30,435.38,430.22
430.25,433.56,433.56,430.25
437.86,442.58,446.99,437.86
445.03,440.76,445.96,439.26
439.05,438.76,442.85,436.00
438.20,433.72,441.86,433.72
434.05,434.60,435.54,430.92
433.51,434.13,435.28,430.44
432.55,434.54,435.69,431.01
432.50,434.10,434.10,430.98
430.99,435.79,438.08,430.99
436.11,435.62,441.11,434.00
433.50,434.38,435.59,431.00
434.87,422.60,434.87,422.60
424.25,426.10,429.60,424.25
423.00,422.79,425.32,421.00
423.05,425.43,428.50,423.05
426.34,432.94,434.49,423.34
429.85,433.08,434.52,429.35
436.05,441.70,441.70,433.56
440.73,443.75,443.98,432.00
441.55,442.00,442.51,438.00
439.98,438.79,442.87,438.32
435.00,433.53,436.96,428.46
430.81,431.25,433.06,430.06
433.98,432.91,434.03,430.55
432.35,426.50,433.00,423.62
423.71,425.50,429.73,423.51
425.95,427.73,430.51,425.15
428.60,428.05,430.13,425.86
430.68,430.09,431.93,427.00
430.39,427.00,431.84,426.91
428.42,431.01,431.84,423.95
429.95,433.04,441.51,428.84
431.75,429.00,431.83,425.89
426.31,424.15,427.45,420.00
427.85,426.50,428.57,425.99
431.95,431.45,431.99,428.41
432.00,433.53,433.69,430.31
432.50,426.14,432.50,424.39
426.15,432.06,432.06,426.15
432.10,428.55,432.99,427.00
429.11,421.90,429.11,420.74
425.01,427.60,428.12,424.02
