CRVP,Crystal Rock Holdings,NASDAQ
0.70,0.70,0.70,0.70
0.70,0.71,0.72,0.70
0.72,0.71,0.72,0.70
0.72,0.72,0.73,0.72
0.70,0.75,0.75,0.70
0.72,0.75,0.75,0.71
0.73,0.75,0.76,0.73
0.76,0.73,0.76,0.73
0.73,0.80,0.81,0.73
0.79,0.80,0.80,0.66
0.80,0.78,0.80,0.78
0.78,0.78,0.79,0.77
0.76,0.78,0.79,0.76
0.79,0.80,0.82,0.78
0.80,0.82,0.83,0.80
0.80,0.80,0.86,0.77
0.65,0.65,0.65,0.65
0.81,0.80,0.83,0.80
0.82,0.87,0.88,0.82
0.90,0.85,0.90,0.85
0.84,0.84,0.85,0.83
0.84,0.82,0.84,0.81
0.82,0.86,0.86,0.81
0.86,0.82,0.86,0.79
0.82,0.82,0.86,0.81
0.82,0.81,0.82,0.81
0.83,0.81,0.83,0.81
0.83,0.84,0.88,0.83
0.85,0.88,0.88,0.85
0.86,0.86,0.87,0.85
0.85,0.86,0.87,0.85
0.84,0.84,0.84,0.84
0.83,0.87,0.87,0.83
0.87,0.85,0.87,0.85
0.85,0.85,0.88,0.82
0.84,0.84,0.84,0.81
0.82,0.88,0.88,0.82
0.90,0.87,0.90,0.84
0.85,0.84,0.89,0.80
0.86,0.86,0.88,0.82
0.84,0.84,0.84,0.84
0.86,0.89,0.92,0.86
0.88,0.88,0.88,0.88
0.86,0.89,0.90,0.85
0.88,0.89,0.89,0.87
0.87,0.88,0.90,0.86
0.88,0.92,0.95,0.88
0.99,0.96,0.99,0.92
0.91,0.94,0.94,0.90
0.94,0.95,0.95,0.94
0.95,0.98,0.98,0.95
0.98,1.01,1.08,0.96
1.01,1.11,1.12,1.00
1.11,1.12,1.19,1.05
1.10,1.08,1.10,1.02
1.07,1.10,1.13,1.07
1.08,1.12,1.12,1.06
1.12,1.03,1.12,1.02
1.01,1.03,1.03,1.00
1.05,1.06,1.15,1.05
1.02,1.05,1.05,0.99
1.03,1.08,1.11,1.03
1.10,1.10,1.12,1.08
1.08,1.06,1.08,1.06
1.06,1.06,1.09,1.05
1.10,1.05,1.10,1.05
1.05,1.05,1.07,1.03
1.04,1.07,1.09,1.04
1.06,1.02,1.09,1.01
1.03,1.05,1.05,1.03
1.08,1.04,1.11,1.04
1.00,1.05,1.06,1.00
1.04,1.03,1.05,1.00
1.01,1.03,1.03,1.00
1.01,1.04,1.05,1.01
1.03,1.03,1.03,1.03
1.08,1.05,1.08,1.01
1.03,1.05,1.05,1.02
1.03,1.04,1.04,1.02
1.02,1.03,1.04,1.02
1.02,1.04,1.04,1.02
1.01,1.05,1.05,1.01
1.06,1.07,1.10,1.00
1.11,1.11,1.13,1.06
1.09,1.05,1.09,1.04
1.06,1.05,1.06,1.04
1.05,1.02,1.05,1.00
1.01,1.05,1.08,1.01
1.05,1.00,1.05,1.00
1.00,1.00,1.00,1.00
1.00,1.02,1.03,1.00
1.01,1.06,1.07,1.01
1.03,1.01,1.05,1.00
1.01,1.02,1.02,1.01
1.00,1.02,1.02,1.00
1.00,1.02,1.02,1.00
1.01,1.01,1.01,1.00
1.00,1.01,1.02,1.00
1.01,1.00,1.03,1.00
1.02,1.00,1.02,0.99
1.05,1.06,1.08,1.05
1.06,0.99,1.06,0.96
0.99,0.99,0.99,0.99
1.02,1.02,1.06,1.02
1.03,1.03,1.05,1.02
1.06,1.01,1.06,1.01
1.04,1.01,1.04,1.01
1.01,1.00,1.05,0.99
1.00,1.00,1.00,1.00
0.98,1.05,1.05,0.98
1.01,1.00,1.01,0.92
0.94,0.94,0.94,0.94
1.02,1.03,1.10,1.00
1.01,1.01,1.01,1.01
1.03,1.05,1.05,1.03
1.04,1.02,1.04,1.01
1.04,1.03,1.05,1.03
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
1.03,1.04,1.04,1.03
1.02,1.00,1.02,1.00
1.02,0.99,1.04,0.98
1.03,1.02,1.03,1.02
1.00,0.97,1.00,0.96
1.00,1.00,1.00,1.00
0.99,0.99,0.99,0.99
1.00,1.00,1.00,1.00
1.00,0.99,1.00,0.98
1.00,1.05,1.05,1.00
1.01,1.05,1.05,1.01
1.02,1.00,1.02,1.00
1.00,1.00,1.01,1.00
1.00,1.00,1.00,0.99
1.00,1.00,1.02,1.00
1.00,1.00,1.00,1.00
1.00,1.02,1.02,1.00
1.01,1.01,1.02,0.99
1.01,1.02,1.02,1.00
1.02,1.02,1.02,1.02
1.01,1.01,1.01,1.01
1.01,1.01,1.04,1.00
1.00,0.99,1.03,0.94
1.01,1.01,1.02,0.99
0.97,0.97,0.97,0.97
0.98,0.98,0.98,0.91
0.79,0.79,0.79,0.79
0.98,0.98,0.98,0.98
1.00,1.02,1.02,1.00
1.01,0.96,1.01,0.96
1.02,0.97,1.02,0.97
0.99,1.00,1.01,0.98
1.02,1.03,1.04,0.97
1.02,1.03,1.03,0.98
1.00,0.98,1.00,0.98
1.00,1.00,1.00,1.00
0.96,0.96,1.02,0.90
0.94,0.94,0.96,0.94
0.93,1.02,1.02,0.93
1.01,1.01,1.01,1.01
0.99,1.02,1.02,0.99
1.01,1.02,1.02,0.99
1.02,1.02,1.02,1.02
1.00,1.03,1.03,0.99
1.03,1.00,1.03,1.00
0.92,1.01,1.01,0.92
1.00,1.01,1.01,1.00
1.01,0.98,1.01,0.98
0.98,0.99,1.02,0.98
0.99,0.99,0.99,0.99
0.99,1.00,1.00,0.99
1.00,1.00,1.01,0.98
0.93,0.93,0.93,0.93
0.99,0.99,0.99,0.99
1.01,0.99,1.01,0.99
0.95,1.00,1.00,0.95
0.98,1.01,1.01,0.98
1.01,1.01,1.01,1.01
0.97,1.01,1.01,0.97
0.96,1.03,1.04,0.96
1.04,1.00,1.04,1.00
1.01,1.04,1.04,0.98
1.02,1.04,1.05,1.02
0.99,1.01,1.02,0.99
0.94,0.99,1.05,0.94
0.95,1.01,1.01,0.95
1.01,1.04,1.04,1.00
1.03,1.09,1.09,1.01
1.09,1.10,1.10,1.09
1.06,1.04,1.11,1.04
1.05,1.06,1.10,1.01
1.03,1.02,1.03,1.00
1.07,1.09,1.09,1.07
1.09,1.00,1.09,0.98
1.01,1.01,1.01,1.01
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.01,1.02,1.02,1.01
1.02,1.01,1.03,0.99
1.00,1.00,1.00,1.00
0.99,1.00,1.02,0.99
1.02,1.03,1.03,1.02
0.84,0.84,0.84,0.84
1.01,1.00,1.01,1.00
1.01,1.02,1.02,1.01
1.02,1.01,1.05,1.01
1.05,1.06,1.06,1.02
0.84,0.84,0.84,0.84
0.97,0.97,0.97,0.97
1.04,1.00,1.05,0.98
1.04,1.05,1.05,1.03
1.02,1.02,1.03,1.02
1.03,1.00,1.03,1.00
1.01,1.00,1.01,1.00
0.98,1.06,1.06,0.98
1.06,1.00,1.06,0.99
1.01,0.94,1.01,0.94
0.96,0.99,0.99,0.96
0.96,0.97,0.97,0.95
0.96,0.96,0.96,0.96
0.97,0.97,0.97,0.97
0.97,0.97,0.97,0.96
0.98,0.98,0.98,0.98
0.97,0.97,0.97,0.97
0.98,0.98,0.98,0.98
0.97,0.96,0.97,0.96
0.96,0.96,0.96,0.96
0.97,0.96,0.97,0.96
0.97,0.96,0.97,0.96
0.96,0.96,0.96,0.96
0.97,0.97,0.97,0.97
0.96,0.95,0.96,0.95
0.97,0.94,0.97,0.94
0.93,0.95,0.96,0.93
0.95,0.94,0.95,0.87
0.95,0.95,0.95,0.95
0.97,0.93,0.97,0.93
0.94,0.93,0.94,0.93
0.94,0.97,0.97,0.93
0.97,0.97,0.98,0.95
0.97,0.97,0.97,0.96
0.97,0.97,1.00,0.97
0.97,0.97,0.98,0.97
0.97,0.99,0.99,0.97
0.98,1.00,1.03,0.98
0.99,1.01,1.03,0.97
0.99,0.97,1.01,0.96
0.97,0.97,0.99,0.97
0.99,0.96,0.99,0.96
0.97,0.98,1.01,0.97
0.97,0.97,0.98,0.97
0.97,1.00,1.01,0.97
0.97,1.01,1.03,0.95
1.00,1.04,1.05,0.97
1.03,1.02,1.03,1.00
1.02,1.02,1.03,0.99
1.00,1.00,1.00,0.98
1.01,1.02,1.03,1.01
1.03,1.00,1.03,0.95
1.03,1.01,1.03,1.00
1.03,1.06,1.09,1.03
1.08,1.11,1.11,1.05
1.10,1.10,1.10,1.06
1.09,1.09,1.09,1.07
1.09,1.08,1.10,1.08
1.08,1.09,1.09,1.07
1.07,1.07,1.07,1.05
1.05,1.04,1.07,0.99
1.04,1.04,1.05,1.03
1.03,1.04,1.04,1.02
1.05,1.05,1.05,1.05
1.03,1.04,1.04,1.03
1.05,1.03,1.05,1.03
1.02,1.03,1.04,1.00
1.04,1.04,1.04,1.04
1.01,1.04,1.04,1.01
1.02,1.02,1.03,1.02
1.01,1.06,1.06,1.00
1.06,1.05,1.06,1.05
1.06,1.01,1.07,1.00
1.00,1.05,1.05,0.96
1.04,1.05,1.07,1.04
1.08,1.10,1.10,1.02
1.12,1.05,1.12,0.98
1.06,1.10,1.10,1.04
1.07,1.06,1.09,1.03
1.05,1.05,1.05,1.05
1.05,1.04,1.05,1.04
1.08,1.07,1.08,1.07
1.05,1.00,1.05,1.00
1.02,1.03,1.03,1.00
1.02,1.05,1.05,1.02
1.03,1.03,1.03,1.03
1.04,1.04,1.05,0.98
1.09,1.05,1.09,1.03
1.05,1.02,1.05,1.02
1.03,1.03,1.03,1.03
1.05,1.03,1.05,1.02
1.02,1.03,1.03,1.01
1.03,1.05,1.05,1.03
1.06,1.04,1.06,1.03
1.02,1.02,1.03,1.02
nan,1.02,nan,nan
1.01,1.02,1.03,0.99
1.05,1.02,1.05,1.02
1.00,1.00,1.00,1.00
1.00,1.05,1.05,0.98
1.01,0.98,1.01,0.98
0.98,0.99,1.01,0.98
1.01,1.01,1.01,0.99
0.99,0.99,1.01,0.98
1.03,1.01,1.03,1.01
1.01,1.03,1.05,1.01
1.01,1.00,1.01,1.00
1.01,1.04,1.04,1.00
1.02,1.01,1.02,1.01
1.00,0.99,1.00,0.98
0.99,0.99,0.99,0.96
nan,0.99,nan,nan
0.98,0.96,1.04,0.95
0.95,0.97,0.99,0.94
0.99,1.00,1.00,0.96
1.00,0.96,1.00,0.95
0.99,0.99,0.99,0.99
0.97,0.97,0.97,0.97
0.98,0.98,0.98,0.98
0.97,0.97,0.97,0.97
0.97,0.96,0.97,0.96
0.96,0.96,0.96,0.96
0.95,0.98,0.98,0.91
0.94,0.95,0.95,0.94
0.96,0.96,0.96,0.96
nan,0.96,nan,nan
0.97,0.99,0.99,0.97
0.97,0.94,0.97,0.93
0.94,0.95,0.95,0.92
0.98,0.99,0.99,0.98
0.95,0.98,0.98,0.95
0.99,0.95,0.99,0.95
0.96,0.97,0.97,0.92
0.95,0.97,0.97,0.95
0.96,0.95,0.96,0.95
0.95,0.96,0.96,0.93
0.95,0.92,0.95,0.92
0.92,0.93,0.94,0.91
0.92,0.92,0.93,0.92
0.95,0.97,0.97,0.94
0.91,0.91,0.91,0.91
0.98,0.92,0.98,0.92
0.92,0.92,0.92,0.92
nan,0.92,nan,nan
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
0.91,0.91,0.92,0.90
nan,0.91,nan,nan
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
nan,0.90,nan,nan
0.91,0.96,0.96,0.91
0.96,0.95,0.96,0.95
0.92,0.92,0.92,0.92
0.92,0.93,0.93,0.92
0.92,0.92,0.93,0.92
0.92,0.91,0.92,0.91
0.95,0.92,0.97,0.91
0.91,0.90,0.91,0.90
0.90,0.90,0.90,0.89
0.89,0.88,0.89,0.86
0.86,0.86,0.86,0.86
0.86,0.88,0.89,0.86
0.96,0.91,0.96,0.91
