ONVI,Onvia,NASDAQ
3.71,3.92,3.92,3.71
3.84,3.84,3.84,3.84
3.86,3.95,3.99,3.86
3.98,3.90,3.98,3.68
3.70,3.95,3.97,3.70
3.92,3.89,3.94,3.69
3.89,3.88,3.89,3.65
3.88,3.88,3.88,3.88
3.85,3.88,3.89,3.70
3.88,3.88,3.88,3.88
3.88,3.88,3.88,3.88
3.73,3.88,3.88,3.73
3.65,3.84,3.84,3.65
3.82,3.74,3.89,3.43
3.65,3.85,3.88,3.60
3.80,3.79,3.80,3.39
3.77,3.81,3.83,3.37
3.88,3.78,3.88,3.32
3.64,3.86,3.86,3.64
3.86,3.86,3.86,3.86
4.22,3.93,4.22,3.40
3.89,3.63,3.90,3.55
3.75,3.60,3.75,3.46
3.54,3.54,3.63,3.54
3.54,3.54,3.54,3.54
3.98,3.90,3.98,3.55
3.82,3.99,3.99,3.59
3.96,3.99,3.99,3.55
3.99,3.99,3.99,3.99
3.66,3.90,4.00,3.64
3.80,3.70,3.94,3.51
3.65,3.64,3.69,3.51
3.61,3.61,3.61,3.61
3.61,3.61,3.61,3.61
3.86,3.73,3.86,3.52
3.87,3.87,3.87,3.87
3.78,3.90,3.90,3.78
3.86,3.96,3.96,3.86
3.90,3.90,3.90,3.90
3.90,3.90,3.90,3.90
3.61,3.90,3.90,3.53
3.97,3.97,3.97,3.97
3.60,3.96,3.96,3.56
3.88,3.98,3.98,3.88
3.83,3.96,3.98,3.57
3.96,3.96,3.96,3.96
3.96,3.96,3.96,3.96
3.89,3.98,3.98,3.89
3.92,3.86,3.96,3.86
3.86,3.86,3.86,3.86
3.65,3.88,3.88,3.59
3.85,3.85,3.85,3.85
3.83,3.87,3.87,3.83
3.87,3.87,3.87,3.87
3.82,3.87,3.87,3.82
3.42,3.86,3.86,3.42
3.62,3.83,3.83,3.62
3.78,3.78,3.78,3.78
3.78,3.78,3.78,3.78
3.78,3.78,3.78,3.78
3.78,3.78,3.78,3.78
3.97,3.97,3.97,3.46
3.41,3.95,3.97,3.41
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
3.50,3.60,3.60,3.44
3.65,3.95,3.95,3.65
3.88,3.65,3.88,3.51
3.51,3.51,3.51,3.51
3.60,3.73,3.73,3.60
3.70,3.71,3.72,3.70
3.71,3.89,3.89,3.71
3.72,3.89,3.89,3.72
3.82,3.80,3.82,3.71
3.85,3.89,3.89,3.71
3.71,3.85,3.85,3.71
3.82,3.74,3.89,3.71
3.77,3.89,3.89,3.77
3.75,3.89,3.89,3.75
3.81,3.89,3.89,3.81
3.54,3.88,3.88,3.54
3.87,3.87,3.87,3.87
3.84,3.89,3.89,3.84
3.85,3.85,3.85,3.85
3.72,3.89,3.89,3.72
3.84,3.89,3.89,3.80
3.82,3.88,3.88,3.82
3.78,3.83,3.83,3.78
3.60,3.75,3.84,3.58
3.72,3.75,3.75,3.72
3.68,3.57,3.80,3.57
3.78,3.78,3.78,3.78
3.73,3.85,3.85,3.65
3.80,3.80,3.80,3.78
3.80,3.80,3.80,3.80
3.50,3.79,3.80,3.50
3.77,3.87,3.87,3.77
3.87,3.87,3.87,3.87
3.87,3.87,3.87,3.87
3.85,3.55,3.85,3.55
3.59,3.59,3.69,3.59
3.80,3.60,3.80,3.54
3.64,3.61,3.67,3.55
3.61,3.62,3.77,3.61
3.77,3.76,3.77,3.76
3.63,3.75,3.77,3.61
3.67,3.88,3.90,3.67
3.70,3.85,3.85,3.70
3.85,3.76,3.85,3.76
3.76,3.85,3.85,3.76
3.85,3.85,3.85,3.85
3.84,3.84,3.84,3.84
3.75,3.83,3.84,3.73
3.73,3.79,3.83,3.73
3.83,3.85,3.85,3.73
3.70,3.85,3.85,3.70
3.80,3.80,3.85,3.74
3.81,3.83,3.85,3.81
3.83,3.83,3.83,3.83
3.83,3.83,3.83,3.83
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.68
3.71,3.85,3.85,3.70
3.97,3.89,3.97,3.89
3.97,3.90,3.97,3.75
3.81,3.90,3.90,3.81
3.90,3.90,3.90,3.90
3.73,3.76,3.90,3.71
3.79,3.87,3.87,3.79
3.80,3.90,3.90,3.80
3.80,3.87,3.87,3.80
3.73,3.89,3.89,3.73
3.75,3.65,3.75,3.65
3.68,3.60,3.68,3.59
3.62,3.64,3.64,3.62
3.73,3.73,3.73,3.73
3.70,3.65,3.75,3.65
3.66,3.65,3.68,3.65
3.65,3.65,3.65,3.65
3.52,3.74,3.74,3.52
3.74,3.74,3.74,3.74
3.58,3.74,3.74,3.58
3.63,3.76,3.76,3.63
3.66,3.75,3.75,3.66
3.75,3.75,3.75,3.75
3.62,3.75,3.75,3.62
3.75,3.72,3.75,3.56
3.63,3.71,3.71,3.60
3.71,3.71,3.71,3.71
3.41,3.66,3.69,3.41
3.66,3.66,3.66,3.66
3.66,3.66,3.66,3.66
3.53,3.69,3.72,3.53
3.52,3.71,3.71,3.52
3.55,3.69,3.69,3.55
3.56,3.70,3.70,3.56
3.56,3.70,3.70,3.56
3.73,3.73,3.73,3.73
3.57,3.65,3.73,3.57
3.72,3.72,3.72,3.72
3.57,3.62,3.70,3.55
3.54,3.54,3.69,3.53
3.54,3.54,3.54,3.54
3.51,3.61,3.62,3.49
3.45,3.68,3.68,3.45
3.68,3.68,3.68,3.68
3.66,3.68,3.68,3.66
3.50,3.55,3.58,3.47
3.53,3.52,3.53,3.51
3.52,3.52,3.52,3.52
3.52,3.52,3.52,3.52
3.45,3.53,3.53,3.45
3.35,3.57,3.58,3.35
3.57,3.57,3.57,3.57
3.52,3.60,3.61,3.48
3.56,3.60,3.60,3.56
3.45,3.45,3.59,3.42
3.40,3.45,3.54,3.40
3.45,3.45,3.45,3.45
3.58,3.58,3.58,3.58
3.58,3.58,3.58,3.58
3.56,3.57,3.60,3.40
3.49,3.54,3.57,3.49
3.54,3.54,3.54,3.54
3.45,3.47,3.47,3.45
3.59,3.60,3.64,3.58
3.60,3.60,3.60,3.60
3.60,3.60,3.60,3.60
3.46,3.57,3.60,3.46
3.60,3.58,3.60,3.49
3.60,3.61,3.64,3.58
