NWLI,National Western Life Group,NASDAQ
152.75,152.60,153.24,152.21
151.43,151.20,154.41,151.20
151.30,150.61,151.35,150.40
151.58,151.64,155.05,151.58
152.00,152.84,154.81,151.71
153.61,155.55,156.61,153.02
155.22,155.61,155.98,155.22
154.51,157.14,157.79,154.51
157.86,158.05,158.07,155.91
157.82,159.00,159.00,157.82
159.57,160.14,161.39,157.95
162.08,159.62,162.08,158.00
158.34,159.47,160.75,158.16
160.06,160.84,160.84,158.57
161.55,159.73,161.55,158.14
157.79,157.17,157.79,154.87
158.05,159.10,159.70,157.70
159.65,160.53,161.75,157.10
159.75,161.01,162.25,159.75
161.10,163.35,167.38,160.80
164.00,167.25,167.51,164.00
168.93,168.00,169.50,167.00
168.14,172.51,173.93,166.76
172.27,172.10,173.00,170.54
173.43,174.44,175.34,172.19
173.89,177.56,178.64,172.13
178.32,176.00,178.82,175.99
176.62,175.81,177.15,172.45
174.59,176.32,178.48,172.75
177.50,173.90,177.50,173.51
172.71,170.01,172.71,168.77
170.00,171.06,172.61,169.00
170.51,171.33,172.47,170.51
171.42,168.97,171.42,168.97
168.28,165.12,170.31,165.12
166.59,167.98,167.98,163.53
166.48,156.16,166.50,156.16
161.00,161.46,161.98,156.78
158.92,148.28,160.90,148.28
151.43,150.35,154.60,145.36
146.69,145.71,149.43,143.35
145.72,153.02,153.51,144.07
153.48,148.04,153.48,147.01
150.21,148.56,150.21,148.56
148.99,144.85,148.99,143.40
145.86,148.52,153.85,145.86
146.00,144.03,147.50,144.03
142.09,141.71,145.31,141.71
144.56,141.48,145.67,140.67
142.72,149.09,149.09,142.72
147.75,152.10,152.66,146.50
150.06,146.93,150.06,146.93
145.93,151.09,151.09,145.93
153.22,153.30,154.00,151.51
152.81,151.75,152.81,148.90
152.38,150.99,152.38,149.46
147.00,143.70,147.33,143.44
141.05,141.61,143.99,141.00
139.05,142.16,143.74,139.02
144.80,145.89,148.39,143.81
145.00,143.86,147.62,143.00
142.00,139.38,143.86,139.13
139.00,142.08,142.19,139.00
142.07,142.69,143.44,141.51
144.70,146.76,147.68,143.54
147.93,146.30,147.93,144.10
146.32,144.78,146.32,143.30
142.96,143.32,145.80,139.28
144.51,141.34,147.25,141.34
141.90,138.09,141.90,136.30
133.54,134.49,135.65,132.15
134.55,134.30,137.21,133.68
135.00,136.20,138.00,134.50
136.48,136.34,138.27,135.58
137.49,135.70,137.49,134.00
137.62,137.60,138.23,135.44
136.76,135.50,137.81,135.50
135.37,132.04,138.21,132.04
131.67,134.03,137.99,130.15
132.56,133.74,135.04,130.15
133.74,140.93,142.43,133.74
142.00,141.77,144.01,137.39
138.71,138.77,142.36,136.57
138.59,137.45,139.40,134.62
138.99,140.80,141.64,138.65
138.95,138.52,139.14,136.90
139.19,142.63,142.63,139.19
142.33,136.75,142.33,136.57
139.40,140.80,142.65,137.22
139.25,139.16,140.78,138.00
138.70,138.16,139.16,137.85
140.38,140.64,140.90,139.44
141.15,145.45,146.88,140.49
144.97,140.04,146.98,140.04
145.95,144.00,147.00,142.52
148.44,151.00,153.02,146.05
151.62,148.55,151.99,147.99
146.11,143.77,146.74,142.00
141.88,138.36,143.00,137.50
139.91,140.22,143.57,138.32
139.10,146.63,146.63,139.10
145.30,145.77,145.77,143.76
143.45,143.61,145.10,141.52
144.94,147.01,148.87,144.94
143.51,141.20,144.02,140.66
141.06,145.30,145.35,141.06
147.24,145.45,147.30,143.16
144.29,143.70,147.05,143.00
143.22,145.24,146.50,143.22
143.91,141.87,144.81,141.18
140.50,140.00,141.76,140.00
140.93,139.51,141.00,139.01
138.99,138.25,138.99,138.25
138.00,139.19,140.41,138.00
138.07,137.11,138.25,136.03
138.25,135.05,138.25,135.01
137.94,140.51,143.99,137.94
138.73,138.94,143.53,138.73
142.99,145.04,145.55,142.34
141.53,137.99,141.53,136.67
139.48,139.03,141.00,138.02
139.99,139.95,141.58,138.65
140.45,140.73,141.84,139.98
140.00,139.99,140.01,139.00
139.51,136.20,139.51,136.20
136.57,138.89,139.37,136.57
137.51,138.38,139.00,136.85
138.71,135.54,143.98,135.54
137.69,132.56,137.69,132.56
132.00,131.51,133.20,130.00
132.38,131.00,134.49,131.00
131.00,131.00,133.65,130.26
131.50,131.50,133.15,131.03
131.54,131.00,131.54,130.37
131.51,132.38,132.38,130.08
131.77,134.57,134.66,131.55
134.40,134.39,137.60,133.62
134.09,132.57,134.74,132.34
133.86,135.35,135.50,133.86
135.39,136.16,136.16,133.71
137.68,136.00,137.68,135.75
135.38,133.88,135.74,133.47
133.00,133.15,134.40,132.50
133.06,132.50,134.27,132.50
133.13,132.79,135.32,132.53
134.64,133.00,135.70,132.47
132.51,132.79,133.37,132.20
133.10,135.85,135.94,133.10
134.12,136.64,136.64,134.01
136.22,137.90,140.80,136.22
137.75,139.25,139.35,137.75
138.95,138.32,139.14,138.00
139.00,137.75,139.00,135.10
138.02,141.05,141.78,137.83
140.55,141.36,141.97,140.32
141.81,142.12,143.72,141.32
142.40,141.75,143.89,141.11
142.21,143.20,144.32,141.43
141.58,144.52,144.61,140.36
145.38,144.46,145.38,142.61
145.01,149.33,149.33,142.51
149.00,151.00,152.64,147.59
152.84,153.50,154.98,151.10
152.93,152.66,153.28,149.91
152.50,152.44,153.90,149.10
152.71,152.31,153.10,150.62
152.50,152.30,154.09,152.15
148.90,151.01,151.76,148.70
152.10,152.85,152.85,151.70
152.47,148.88,152.47,148.09
148.51,148.03,149.78,147.22
148.00,149.65,149.91,148.00
150.00,148.02,150.00,147.52
148.18,146.74,148.18,146.00
146.01,145.00,146.62,145.00
145.10,144.01,146.93,143.40
144.00,140.51,144.00,140.50
139.27,137.31,139.27,135.92
138.40,137.53,138.40,137.10
139.15,135.76,139.15,135.76
136.06,135.06,137.95,135.06
135.51,133.65,135.55,133.51
134.53,135.44,136.56,134.53
135.40,134.51,136.20,134.38
136.28,136.00,138.97,135.63
137.55,135.64,137.55,134.51
135.11,136.62,136.62,135.03
136.50,136.00,138.18,135.35
136.11,140.75,140.95,135.54
141.33,137.94,141.39,137.10
137.47,138.12,138.68,136.85
137.83,139.05,140.58,137.83
138.98,139.58,140.00,138.00
138.00,137.71,138.85,136.71
137.29,137.49,138.31,136.51
137.00,136.85,137.50,136.76
137.55,137.88,138.97,136.83
138.07,138.15,139.50,137.59
137.20,137.57,140.00,136.60
137.90,136.51,137.90,136.00
136.50,137.58,137.58,136.50
138.48,136.87,138.59,136.87
138.68,137.99,139.70,137.56
138.54,139.63,140.55,138.42
138.28,137.50,138.99,136.75
138.39,138.39,138.39,136.88
136.68,136.80,137.98,136.46
136.19,133.74,136.80,133.35
136.40,136.20,136.40,134.98
136.15,137.87,138.43,136.15
136.72,135.81,136.75,135.50
136.71,137.60,138.54,136.71
139.49,138.77,139.49,138.15
136.83,136.64,137.32,136.45
136.95,135.95,137.00,135.50
137.70,137.42,137.99,136.76
136.89,136.00,136.89,135.81
136.31,135.90,136.88,135.88
136.90,137.49,137.51,136.90
136.00,136.79,136.79,136.00
137.00,136.93,137.33,136.47
136.14,136.06,136.76,136.00
136.90,134.60,137.00,134.60
136.34,135.54,136.34,134.25
134.85,134.22,135.33,134.22
134.99,133.91,135.30,133.70
133.10,135.00,135.19,133.10
134.89,135.03,135.49,134.12
134.25,138.08,138.89,134.25
139.41,139.33,139.92,137.17
138.41,138.47,139.75,138.26
137.48,136.50,137.54,136.01
136.35,136.85,137.80,135.13
137.20,136.50,137.20,136.50
135.90,133.70,135.90,133.70
133.50,130.13,133.61,130.13
131.00,132.79,133.28,131.00
133.85,130.89,133.85,130.89
130.99,129.50,130.99,129.20
130.06,129.08,130.20,127.30
128.80,129.04,129.08,128.31
129.80,129.05,129.80,128.70
127.90,126.82,127.99,126.24
125.90,126.42,127.08,125.36
125.12,125.19,126.14,125.05
125.89,124.66,125.89,124.66
124.68,128.15,128.65,124.68
128.93,131.50,131.50,128.30
131.56,131.64,131.65,130.52
132.60,131.99,132.60,129.89
132.07,131.10,133.83,131.05
131.35,132.73,132.73,131.15
132.79,132.15,132.84,132.00
132.10,133.42,133.75,131.25
133.40,135.65,135.96,133.40
134.47,133.90,135.67,132.81
134.09,137.43,137.45,134.09
135.22,137.90,137.90,135.22
138.98,137.95,138.99,137.01
138.49,141.25,142.00,138.00
