SPY,SPDR S&P 500,NASDAQ
123.49,124.99,125.22,120.00
124.85,124.97,125.64,124.43
126.12,124.86,126.50,124.78
126.84,126.22,127.18,125.44
126.21,126.26,127.11,125.76
125.84,126.73,127.26,124.97
125.90,123.95,126.18,123.65
124.51,126.05,126.37,124.40
124.95,124.21,124.97,123.16
124.86,123.05,125.57,122.45
122.56,121.74,123.03,121.47
123.03,122.18,123.20,121.99
122.23,121.59,122.95,121.30
122.06,120.29,122.32,120.03
122.18,123.93,124.14,120.37
123.93,124.17,124.36,122.75
124.63,125.27,125.40,124.23
125.67,126.39,126.43,125.41
126.17,126.49,126.82,126.06
126.51,124.83,126.53,124.73
125.24,126.12,126.25,124.86
126.02,125.50,126.33,125.50
127.76,127.50,128.38,127.43
127.20,127.70,127.81,126.71
127.01,128.04,128.23,126.43
128.20,127.71,128.22,127.29
128.00,128.02,128.18,127.41
129.39,129.13,129.65,128.95
128.73,129.20,129.37,128.52
129.57,129.51,129.70,128.54
128.64,128.84,129.05,127.72
130.08,129.34,130.32,128.90
129.31,130.77,130.84,129.08
131.22,131.46,131.57,130.80
131.24,131.95,131.95,130.92
131.51,131.61,132.25,130.98
130.80,131.46,131.50,130.60
131.26,132.56,132.87,130.75
133.15,131.88,133.40,131.36
131.24,131.82,132.05,131.15
130.51,131.37,131.44,130.06
132.02,131.32,132.18,130.68
132.29,132.47,133.14,132.13
132.73,132.68,133.02,132.21
134.00,134.54,134.62,133.77
133.98,134.45,134.51,133.83
134.17,134.79,135.02,133.64
134.86,135.19,135.22,134.31
135.41,135.36,135.59,134.56
134.16,134.36,134.47,133.84
135.32,135.36,135.52,134.74
135.00,135.19,135.27,134.25
135.63,134.56,135.83,134.29
134.57,136.05,136.17,134.33
136.52,136.41,136.63,135.96
136.73,136.47,137.05,136.05
136.26,136.03,136.55,135.79
135.96,136.63,136.73,135.50
136.93,136.93,137.20,136.63
136.02,137.16,137.53,135.80
137.20,137.56,137.72,136.93
137.76,137.02,138.19,136.54
137.31,137.73,137.99,136.93
137.64,137.31,137.82,137.00
137.10,136.75,137.20,136.28
135.35,134.75,135.43,134.36
135.06,135.69,135.91,134.93
136.52,137.04,137.32,136.24
137.30,137.57,137.93,137.13
137.55,137.58,137.76,137.09
138.32,140.06,140.13,138.09
140.10,139.91,140.45,139.48
140.12,140.72,140.78,139.76
140.36,140.30,140.48,140.00
140.21,140.85,141.28,140.11
140.05,140.44,140.61,139.64
140.52,140.21,140.65,139.92
139.18,139.20,139.55,138.74
139.32,139.65,139.81,138.55
140.65,141.61,141.61,140.60
141.74,141.17,141.83,141.08
141.10,140.47,141.32,139.64
139.64,140.23,140.49,139.09
140.92,140.81,141.05,140.05
140.64,141.84,142.21,140.36
141.64,141.26,141.88,140.43
140.22,139.86,140.34,139.34
139.38,139.79,140.20,139.26
138.03,138.22,139.84,137.84
137.95,135.90,138.34,135.76
137.29,137.00,137.54,136.75
137.13,138.79,138.90,137.03
138.47,137.14,138.82,137.01
137.84,137.05,138.04,136.58
137.84,139.08,139.36,137.70
138.46,138.61,139.08,138.38
138.63,137.72,139.15,137.07
138.33,137.95,138.83,137.87
136.54,136.79,136.91,135.94
136.91,137.31,137.66,136.80
138.65,139.19,139.25,138.53
138.89,140.16,140.32,138.81
140.58,140.39,140.79,139.80
140.11,139.87,140.21,139.49
139.79,140.74,141.66,139.63
139.92,140.32,140.46,139.46
140.34,139.25,140.45,138.99
138.52,137.00,139.30,136.92
136.51,137.10,137.56,136.46
136.28,136.55,136.77,134.92
135.10,135.74,136.61,134.49
136.68,136.02,136.85,135.71
135.17,135.61,136.87,135.11
134.31,134.11,135.61,133.91
134.02,133.34,134.81,133.13
133.94,132.83,134.55,132.80
132.86,130.86,133.02,130.79
131.37,129.74,131.60,129.55
130.16,131.97,132.02,129.95
132.31,132.20,133.23,131.34
131.25,132.27,132.46,129.99
132.63,132.53,132.84,131.42
132.48,132.10,132.85,131.78
133.16,133.70,133.93,131.17
132.56,131.76,133.69,131.49
131.71,131.47,132.45,130.34
129.41,128.16,131.50,128.16
128.39,128.10,128.74,127.14
127.85,129.07,129.26,127.78
129.97,131.97,132.03,129.93
133.47,132.05,133.53,131.78
131.71,133.10,133.13,131.29
134.17,131.41,134.25,131.28
131.79,132.92,133.01,131.16
132.53,132.07,133.36,131.62
132.34,133.47,134.00,131.98
133.38,134.14,134.26,133.10
133.58,134.40,134.73,133.28
135.08,135.70,136.25,134.37
135.71,135.48,136.10,134.27
135.64,132.44,135.78,132.33
133.13,133.46,133.71,132.62
132.05,131.32,132.10,130.85
131.70,131.98,132.38,130.93
132.42,133.17,133.43,131.97
132.29,132.79,132.99,131.28
135.20,136.10,136.27,134.85
136.48,136.51,136.65,135.52
136.48,137.41,137.51,136.34
136.90,136.79,137.80,136.29
135.47,135.49,135.77,134.85
135.38,135.32,135.57,134.70
136.01,134.14,136.23,133.68
134.21,134.16,134.60,133.38
133.38,133.51,134.23,132.60
133.86,135.75,135.89,133.84
135.44,135.43,135.83,134.90
135.97,136.36,136.64,134.55
136.04,137.37,137.64,135.96
137.65,137.73,138.18,137.21
136.95,136.47,137.16,136.32
134.47,135.09,136.38,133.84
135.19,133.93,135.25,133.03
134.21,133.96,134.56,133.25
135.89,136.17,136.46,135.26
136.89,138.68,139.07,136.14
138.52,138.68,139.34,138.27
138.49,137.71,138.87,137.71
138.70,137.59,138.73,137.40
136.55,136.64,137.57,135.58
138.56,139.35,139.64,136.68
139.72,139.62,140.17,139.56
140.18,140.32,140.92,140.03
139.85,140.49,140.65,139.81
140.29,140.61,140.89,140.15
140.04,140.84,140.89,139.81
140.60,140.77,140.84,140.04
141.29,140.79,141.38,140.37
140.64,140.95,141.19,140.55
141.15,141.99,142.16,140.80
142.23,142.18,142.30,141.86
141.98,142.19,142.22,141.59
142.54,141.76,143.09,141.45
141.40,141.82,142.05,141.07
141.47,140.66,141.48,140.44
140.31,141.51,141.83,140.22
141.89,141.54,142.08,141.34
141.18,141.40,141.84,140.97
141.52,141.51,141.89,141.12
140.90,140.49,140.94,140.19
141.29,141.16,141.82,140.36
141.04,141.03,141.46,140.13
141.09,140.91,141.47,140.63
141.76,143.77,143.78,141.75
144.01,144.33,144.39,143.88
144.19,143.51,144.44,143.46
143.60,143.91,144.37,143.56
144.39,144.39,144.55,143.90
144.37,146.59,147.04,143.99
146.88,147.24,148.11,146.76
146.94,146.74,147.19,146.37
146.49,146.62,146.81,146.25
146.79,146.70,147.17,146.41
146.03,146.71,146.79,145.63
146.64,145.87,146.67,145.81
145.15,145.65,145.98,145.04
145.96,144.10,146.24,144.06
144.07,143.29,144.11,142.95
143.89,144.64,144.97,143.51
144.09,143.97,144.56,143.46
144.52,144.35,145.69,144.01
144.92,144.50,145.15,143.83
144.89,145.09,145.43,144.13
145.64,146.13,146.34,145.44
146.91,146.14,147.16,145.70
145.60,145.64,146.12,145.31
145.53,144.20,145.65,144.15
144.18,143.28,144.32,143.09
144.28,143.36,144.49,143.33
143.46,142.89,143.95,142.58
