ADS,Alliance Data Systems Corporation Common Stock,NASDAQ
99.75,102.41,102.52,99.42
102.24,103.33,104.47,101.87
104.52,104.85,105.24,103.76
106.85,104.98,107.33,104.34
104.51,103.07,104.51,101.91
102.67,103.29,103.72,101.35
103.12,102.02,103.12,101.44
102.35,103.70,104.23,102.25
102.95,103.02,103.51,102.04
103.59,102.21,104.74,101.58
101.42,100.06,101.54,99.58
102.48,101.55,102.75,101.17
102.24,103.00,103.85,101.87
103.70,102.80,104.15,102.50
103.65,105.03,105.42,103.46
104.76,105.72,105.82,103.83
105.97,105.74,106.50,105.24
106.05,105.74,106.34,105.33
105.50,105.55,106.03,105.27
105.46,103.92,105.88,103.60
104.34,104.33,104.70,103.76
104.36,103.84,104.36,103.51
102.99,102.76,105.25,102.04
102.45,100.94,102.72,100.42
100.81,102.54,103.33,100.68
102.51,102.54,103.35,101.53
102.57,104.19,104.35,102.37
105.32,104.96,105.77,104.68
104.51,106.70,107.20,104.28
106.93,107.39,108.62,106.92
106.43,106.03,106.53,105.63
103.60,108.24,109.07,0.00
108.04,109.47,109.87,107.74
109.95,109.85,110.16,109.23
109.56,108.49,109.69,108.03
108.30,108.79,109.28,107.09
108.09,110.50,110.80,107.28
110.49,111.14,111.65,109.95
111.65,110.20,111.74,109.63
109.84,110.40,110.87,109.16
109.91,109.90,110.16,108.96
110.41,110.80,111.79,110.03
111.76,111.01,111.77,109.96
108.99,112.35,114.06,107.00
113.93,115.57,116.05,113.61
115.61,115.97,116.71,115.01
115.94,115.93,116.26,115.20
116.39,117.40,117.57,116.28
117.52,117.88,118.00,116.66
116.57,117.93,118.09,116.39
118.82,118.77,119.13,117.75
118.00,120.23,120.42,118.00
120.74,120.62,122.62,120.32
120.60,119.68,120.73,118.67
120.33,119.62,120.49,119.27
119.62,119.97,120.20,119.20
119.80,120.23,121.21,119.80
120.25,121.63,121.72,119.88
121.84,121.88,122.11,120.84
120.87,122.08,122.53,120.28
122.22,121.51,122.22,120.85
121.81,121.36,122.44,120.57
121.40,121.78,122.44,121.30
121.85,120.70,122.07,120.07
120.80,121.60,121.96,120.07
120.38,120.05,121.17,119.27
120.35,121.15,121.76,119.92
121.74,122.29,123.46,121.74
122.59,122.90,123.45,122.00
122.88,122.86,123.42,122.28
123.14,124.41,124.60,122.56
124.08,123.94,124.48,123.25
124.15,126.30,126.30,123.34
126.27,124.87,126.56,124.66
124.90,124.61,124.96,123.78
123.95,124.78,125.36,123.76
124.90,125.46,125.94,124.90
124.56,125.74,126.42,124.32
125.39,125.98,125.98,124.35
126.15,126.24,127.08,125.72
126.43,125.43,126.43,125.02
124.93,124.63,125.06,123.64
124.81,125.94,126.98,124.81
127.04,125.96,127.55,125.95
125.62,126.57,127.71,125.46
126.80,127.19,127.34,126.13
126.18,126.60,127.02,125.44
126.41,126.41,126.82,126.06
125.03,126.20,126.83,124.62
126.24,123.15,126.30,122.78
124.17,123.57,124.17,123.28
123.73,125.04,125.45,123.71
125.14,124.32,125.28,123.57
124.75,125.55,126.81,123.75
