RGI,Guggenheim S&P 500 Equal Weight Industrials ETF,NASDAQ
53.60,53.60,53.60,53.60
53.35,53.41,53.62,53.35
54.10,52.78,54.10,52.78
52.67,52.30,52.67,52.30
51.76,52.09,52.10,51.76
52.93,52.93,52.93,52.93
52.73,52.74,52.74,52.56
52.72,53.07,53.16,52.72
52.52,54.01,54.03,52.52
54.35,54.51,54.51,54.35
54.09,53.65,54.14,53.65
53.30,53.41,53.41,53.30
52.89,52.72,53.00,52.64
52.54,52.95,52.95,52.54
53.19,53.49,53.49,53.09
52.65,54.76,54.77,52.65
54.59,54.68,54.68,54.56
54.69,54.62,54.69,54.47
54.44,54.24,54.51,53.98
53.36,53.40,53.93,53.36
54.74,55.14,55.31,54.74
55.20,55.36,55.51,55.20
55.27,55.72,55.79,55.27
55.63,55.61,55.71,55.56
55.82,55.78,55.82,55.78
55.76,56.00,56.00,55.67
55.64,55.73,55.73,55.60
56.07,56.01,56.07,56.00
55.71,56.06,56.06,55.67
56.06,56.71,56.71,56.01
56.80,56.81,56.81,56.76
56.93,56.69,56.93,56.66
57.04,56.85,57.23,56.85
56.43,56.51,56.51,56.14
56.23,56.05,56.23,56.00
56.05,56.05,56.05,56.05
56.13,55.94,56.13,55.94
55.85,55.80,55.85,55.73
55.55,55.84,55.84,55.48
55.42,55.34,55.51,55.17
55.59,55.50,55.59,55.50
55.25,55.24,55.25,54.87
55.18,55.09,55.18,55.09
55.77,56.28,56.28,55.77
56.80,56.73,56.80,56.73
56.66,56.66,56.66,56.66
56.65,56.84,56.93,56.65
57.03,57.00,57.06,57.00
57.53,57.68,57.68,57.52
58.35,58.06,58.35,58.06
57.79,57.61,57.81,57.61
57.55,57.71,57.71,57.55
57.84,57.91,57.91,57.82
57.91,57.91,57.91,57.91
57.09,56.94,57.09,56.94
56.64,56.70,56.74,56.64
56.85,56.85,56.85,56.85
55.70,55.99,55.99,55.70
55.84,56.26,56.28,55.80
55.87,56.03,56.03,55.87
56.35,56.68,56.68,56.35
56.42,56.21,56.42,56.16
56.47,56.38,56.47,56.20
56.70,56.74,56.74,56.69
57.24,57.23,57.27,57.19
56.75,56.79,56.84,56.62
57.06,56.17,57.06,56.13
55.61,55.61,55.61,55.61
55.70,55.99,56.11,55.70
55.90,55.90,55.90,55.90
55.86,56.27,56.27,55.86
56.58,56.88,56.93,56.58
57.07,57.08,57.08,57.06
57.02,57.54,57.54,57.01
57.11,57.00,57.11,57.00
56.76,56.41,56.76,56.29
55.74,56.04,56.04,55.74
56.04,56.04,56.04,56.04
56.13,56.13,56.13,56.13
56.37,56.46,56.46,56.37
57.13,56.88,57.30,56.88
58.02,58.02,58.02,58.02
57.97,57.97,57.97,57.97
57.40,57.66,57.66,57.40
58.47,58.37,58.55,58.37
56.81,56.81,56.81,56.81
57.06,56.54,57.08,56.54
56.52,56.55,56.84,56.52
56.55,56.55,56.58,56.42
56.87,56.60,56.87,56.56
56.32,55.19,56.32,55.19
53.83,55.13,55.41,53.83
55.13,54.99,55.13,54.99
56.08,56.19,56.19,56.06
56.24,56.34,56.34,56.24
56.67,56.67,56.67,56.67
56.67,56.67,56.67,56.67
57.23,57.39,57.39,57.09
57.47,57.28,57.47,57.28
56.85,57.59,57.59,56.85
57.75,57.75,57.75,57.75
57.97,57.89,57.97,57.89
58.34,57.50,58.34,57.50
57.45,57.56,57.61,57.45
57.76,58.02,58.02,57.52
58.00,57.71,58.00,57.71
58.03,58.04,58.04,58.03
58.39,58.87,58.87,58.39
59.04,58.68,59.04,58.68
59.23,59.01,59.23,59.01
58.91,58.67,59.00,58.67
58.67,58.56,58.92,58.56
58.65,59.00,59.00,58.65
59.43,59.92,59.93,59.34
60.02,60.00,60.09,59.94
59.99,59.99,59.99,59.99
57.84,59.22,59.22,57.84
59.20,59.14,59.20,59.14
59.23,58.86,59.23,58.86
58.47,58.47,58.47,58.47
58.44,58.40,58.63,58.40
58.30,59.03,59.03,58.30
60.70,60.40,62.57,60.22
60.78,60.72,61.08,60.72
61.22,61.21,61.22,61.15
60.95,61.09,61.11,60.95
61.06,60.72,61.06,59.77
61.38,61.28,61.44,61.26
61.58,61.53,61.58,61.24
62.38,61.48,62.38,61.33
61.37,61.39,61.57,61.37
61.47,61.69,61.69,61.47
62.40,61.54,62.40,61.38
61.82,62.31,62.33,61.82
62.31,62.35,62.40,62.31
62.44,62.83,62.83,62.35
62.69,62.78,62.78,62.61
63.33,63.12,63.33,62.97
63.30,63.28,63.30,63.11
63.70,63.12,63.70,63.08
63.00,63.28,63.28,62.98
63.38,62.96,63.38,62.96
63.23,63.05,63.23,62.89
63.50,63.51,63.66,63.44
63.27,62.88,63.27,62.80
63.31,63.48,63.48,63.31
63.50,63.54,63.54,63.46
63.41,63.17,63.41,63.07
63.40,63.45,63.47,63.34
63.57,63.56,63.57,63.45
63.72,63.71,63.81,63.69
64.14,63.90,64.14,63.89
63.91,64.11,64.16,63.91
64.20,64.16,64.26,63.94
64.50,64.46,64.50,64.34
64.47,63.76,64.59,63.76
63.60,63.16,63.60,62.87
63.51,63.56,63.58,63.48
63.83,62.62,64.02,62.62
62.25,62.37,62.39,62.25
62.47,63.85,63.85,62.47
64.07,64.08,64.31,63.80
63.20,63.59,63.92,63.03
63.42,63.62,63.65,63.05
64.38,64.63,64.71,64.36
64.77,64.66,64.77,64.66
64.65,64.66,64.70,64.60
64.94,65.07,65.08,64.86
65.14,65.40,65.41,65.14
65.39,65.21,65.51,65.10
65.33,65.69,65.71,65.33
65.87,65.94,65.96,65.82
65.74,65.75,65.85,65.71
65.38,65.68,65.98,65.38
65.67,65.60,65.82,65.18
65.69,65.57,65.74,65.52
65.56,65.11,65.56,65.00
65.11,65.19,65.32,65.11
65.66,64.58,65.66,64.58
64.94,65.22,65.22,64.94
64.79,65.18,65.18,64.79
65.43,65.76,65.76,65.21
65.76,64.78,65.79,64.75
64.99,64.89,64.99,64.89
64.20,64.07,64.37,64.07
64.14,64.31,64.52,64.14
63.67,63.99,64.02,63.67
64.21,64.71,64.71,64.05
64.87,65.07,65.10,64.85
65.63,65.79,65.79,65.63
66.12,66.05,66.21,66.05
65.82,65.48,65.82,65.42
64.06,63.86,64.06,63.86
64.07,64.08,64.08,64.05
63.23,63.11,63.23,62.86
63.11,62.83,63.14,62.75
63.30,63.45,63.51,63.12
63.68,63.68,63.68,63.68
64.09,64.00,64.12,63.86
64.60,64.83,64.83,64.60
65.04,65.04,65.04,65.04
65.00,64.92,65.08,64.92
65.25,65.17,65.32,65.17
64.97,64.94,64.97,64.94
64.94,64.94,64.94,64.94
