APDN,Applied DNA Sciences Inc - Common Stock,NASDAQ
3.42,3.42,3.89,3.42
3.89,3.75,3.89,3.75
4.14,3.80,4.14,3.75
4.08,3.66,4.20,3.60
4.20,3.75,4.20,3.69
3.90,3.72,3.90,3.72
3.72,3.72,4.08,3.72
3.90,3.67,4.08,3.66
nan,3.67,nan,nan
3.67,3.90,4.00,3.67
3.90,3.90,4.02,3.66
3.90,3.90,4.08,3.67
3.90,3.90,4.20,3.75
3.74,3.90,4.14,3.67
3.90,3.78,3.90,3.67
4.14,4.26,4.26,3.90
4.17,3.90,4.49,3.81
3.90,4.19,4.19,3.81
4.19,3.90,4.19,3.79
4.08,3.90,4.08,3.89
4.08,4.02,4.20,3.75
4.02,3.84,4.20,3.75
3.84,4.08,4.44,3.84
4.20,4.26,4.49,4.02
4.50,3.90,4.65,3.90
3.90,4.20,4.20,3.90
3.96,4.19,4.20,3.91
3.90,4.19,4.20,3.90
4.19,4.20,4.20,3.90
4.20,4.19,4.20,3.90
3.90,3.75,4.20,3.72
3.72,3.60,4.02,3.60
3.60,3.48,3.84,3.48
3.78,3.90,3.90,3.42
3.90,3.89,3.90,3.66
3.66,4.08,4.19,3.48
3.90,3.67,4.08,3.60
3.60,3.73,4.07,3.60
3.73,3.73,3.73,3.67
3.72,3.67,3.72,3.67
3.72,3.72,3.73,3.60
3.66,3.72,3.72,3.60
3.48,3.90,3.90,3.48
3.78,3.66,3.81,3.66
3.60,3.66,4.14,3.51
3.60,3.67,3.67,3.60
3.66,3.90,3.90,3.66
3.90,3.84,3.90,3.66
3.60,3.84,3.90,3.60
3.66,3.59,3.83,3.00
3.18,3.54,3.60,3.18
3.60,3.60,3.66,3.48
3.37,3.37,3.60,3.37
3.60,3.42,3.60,3.42
3.37,3.53,3.60,3.30
3.41,3.41,3.41,3.24
3.53,3.60,3.60,3.01
3.30,3.45,3.60,3.30
3.60,3.57,3.60,3.45
3.60,3.57,3.60,3.31
3.36,3.57,3.60,3.30
3.60,3.57,3.60,3.36
3.29,3.31,3.60,3.29
3.57,3.53,3.60,3.18
3.18,3.56,3.56,3.18
3.55,3.59,3.60,3.31
3.30,3.59,3.60,3.30
3.31,3.30,3.59,3.12
3.24,3.48,3.48,3.24
3.51,3.57,3.57,3.24
3.36,3.59,3.60,3.36
3.30,3.59,3.59,3.30
3.60,3.53,3.60,3.36
3.54,3.35,3.60,3.24
3.60,3.31,3.60,3.30
3.31,3.18,3.60,3.18
3.36,3.18,3.45,3.18
3.18,3.25,3.60,3.18
3.30,3.30,3.30,3.25
3.25,3.36,3.47,3.24
3.36,3.42,3.54,3.36
3.42,3.60,3.60,3.39
3.36,3.36,3.60,3.36
3.36,3.30,3.53,3.30
3.36,3.24,3.36,3.06
3.41,3.47,3.57,3.24
3.41,3.42,3.42,3.36
3.42,3.12,3.42,3.00
3.24,3.15,3.27,3.06
3.23,3.48,3.54,3.23
3.48,3.54,3.60,3.48
3.48,3.48,3.48,3.48
3.36,3.48,3.60,3.36
3.42,3.54,3.54,3.42
3.42,3.41,3.66,3.01
3.41,3.30,3.41,3.01
3.30,3.24,3.30,3.12
3.24,3.18,3.24,3.12
3.18,3.18,3.18,3.18
3.18,3.48,3.48,3.18
3.18,3.30,3.47,3.18
3.47,3.47,3.47,3.30
3.36,3.30,3.48,3.12
3.12,3.30,3.54,3.01
3.30,3.06,3.30,3.00
3.00,3.00,3.30,3.00
3.01,3.01,3.12,3.01
3.01,3.30,3.30,3.01
3.30,3.30,3.30,3.00
3.18,3.30,3.30,3.18
3.18,3.30,3.30,3.18
3.30,3.30,3.30,3.24
3.30,3.06,3.30,3.06
3.06,3.30,3.30,2.40
3.13,3.30,3.30,3.00
3.30,3.30,3.30,3.00
3.06,3.00,3.06,2.82
3.00,3.00,3.00,2.82
