BLK,BlackRock,NASDAQ
181.99,185.56,185.71,181.63
184.23,189.02,189.25,184.23
188.04,188.24,188.81,186.32
189.80,187.86,191.68,186.40
186.00,187.49,189.05,185.58
185.68,183.22,186.00,182.81
184.41,182.00,184.88,180.41
185.48,183.00,185.48,181.11
182.98,183.77,184.42,182.35
185.26,188.64,188.69,184.69
184.01,190.18,190.20,184.01
188.98,189.47,189.99,187.32
189.77,190.25,190.65,188.99
190.46,190.19,190.96,188.54
188.02,190.00,190.41,187.56
191.37,192.45,192.71,190.56
191.00,191.52,192.81,189.88
192.68,189.88,192.95,189.43
193.08,193.12,193.21,190.56
194.73,196.19,196.80,192.20
196.37,194.53,196.79,193.87
192.70,193.51,194.60,192.40
193.59,197.13,198.09,192.80
198.49,196.00,199.10,195.23
195.00,197.71,198.40,194.00
197.94,198.33,199.90,197.40
202.09,199.00,202.09,197.57
198.02,198.50,200.00,197.16
197.80,198.25,200.25,197.60
196.74,195.24,196.82,194.55
193.65,193.17,194.95,191.88
194.15,196.72,196.72,193.28
198.55,195.55,198.97,195.02
196.32,196.91,197.51,195.28
196.98,194.88,196.98,194.51
197.00,203.00,203.01,195.25
206.42,200.67,206.42,198.84
201.24,205.08,205.09,199.35
204.04,205.60,205.72,203.02
204.02,205.09,206.52,203.81
204.62,203.30,204.62,202.93
202.68,201.34,204.27,200.70
199.55,198.52,200.12,198.15
199.02,201.11,201.44,198.24
201.52,205.19,205.20,200.71
208.69,203.58,208.69,203.46
203.89,202.73,204.55,200.20
201.23,199.59,202.22,198.70
201.73,204.90,204.90,199.18
207.70,206.29,209.37,203.38
205.44,206.57,207.27,202.38
205.59,203.82,206.14,202.99
202.87,205.98,206.20,202.43
201.64,202.74,208.21,200.78
202.38,198.60,203.63,197.44
200.64,197.81,201.05,197.15
198.70,201.71,201.91,198.49
201.51,197.81,201.72,197.48
199.50,198.18,201.28,197.52
200.77,201.81,202.99,199.64
200.00,196.01,200.00,194.05
195.51,190.60,195.99,189.71
190.45,190.40,193.25,189.59
188.00,186.94,188.28,184.00
187.45,188.57,190.56,186.91
190.00,191.40,191.56,189.75
190.73,193.25,193.69,190.02
193.20,192.50,193.94,191.38
191.96,191.58,192.51,190.76
191.34,190.50,193.24,190.32
190.81,188.78,190.81,187.32
188.33,183.16,188.94,182.54
182.89,183.17,184.65,181.77
181.04,183.82,184.82,181.04
182.49,182.34,183.49,180.65
180.21,180.27,181.95,179.54
180.80,179.68,181.94,179.13
178.95,179.77,180.93,177.12
177.03,176.49,178.23,176.40
176.67,176.85,179.94,176.40
177.83,175.07,178.92,175.03
175.00,173.97,176.76,173.90
173.26,171.91,174.67,171.36
167.11,167.73,172.62,166.01
166.99,163.37,167.65,162.72
160.65,167.50,168.06,160.25
169.30,170.44,170.90,166.81
170.47,171.36,172.25,169.61
173.13,174.60,174.69,171.02
172.99,170.77,173.00,170.18
170.53,170.80,171.93,167.56
168.07,166.57,169.33,165.40
167.17,165.00,168.35,163.64
162.71,166.28,166.75,162.71
168.57,170.56,170.71,167.24
171.98,172.12,174.00,171.72
170.79,173.91,173.93,169.96
175.38,171.95,175.40,171.78
174.13,173.02,174.96,170.33
173.28,171.92,173.34,170.16
171.92,172.69,173.16,171.11
173.56,176.73,177.66,173.18
175.86,173.45,175.86,171.92
174.78,176.08,177.35,173.69
177.24,175.66,177.24,174.24
175.66,170.95,177.10,170.83
173.35,172.00,174.91,170.66
169.11,166.91,169.52,165.71
167.16,168.19,169.00,166.52
169.26,166.38,169.26,165.97
165.17,166.09,166.21,163.24
169.87,169.82,169.87,166.98
169.81,169.63,170.37,168.46
169.03,173.84,173.86,169.03
172.96,171.75,174.53,170.64
170.16,171.28,171.45,169.32
171.51,171.86,172.45,169.45
173.06,173.51,175.21,171.96
173.97,175.13,175.38,172.75
173.51,172.47,173.51,171.24
172.79,175.78,176.40,172.50
175.51,175.29,176.47,174.03
175.77,176.15,176.44,172.32
172.89,175.05,176.00,171.74
175.07,176.12,176.95,174.55
175.27,173.31,176.32,173.11
170.31,166.85,170.31,165.66
166.48,164.42,168.00,163.85
165.51,164.06,166.27,163.95
166.64,165.00,167.24,164.42
166.36,170.67,171.54,165.69
170.85,172.03,172.54,168.71
170.90,170.26,171.69,168.65
170.76,169.62,172.92,169.29
168.24,168.51,169.60,166.00
170.87,173.19,173.73,170.00
173.80,172.91,175.29,172.69
173.74,174.01,174.63,173.01
173.00,173.67,173.91,172.61
173.50,174.79,175.55,173.13
173.58,174.41,174.74,172.94
174.11,174.95,175.34,173.21
175.51,173.00,175.57,172.41
172.97,176.03,176.45,172.95
176.06,177.22,177.99,175.23
179.45,178.79,180.00,177.56
177.72,178.37,179.30,177.25
178.80,178.53,181.34,177.46
178.30,178.04,178.98,177.22
178.25,177.30,178.69,176.77
176.62,178.27,178.88,175.51
178.53,177.00,178.99,176.75
176.78,178.32,179.43,176.22
178.88,177.15,179.20,176.75
175.44,176.01,176.83,174.50
176.94,176.37,177.98,174.86
176.67,176.93,178.00,175.36
177.20,176.00,177.97,175.92
177.22,180.18,180.40,176.54
180.40,182.02,182.73,179.90
181.70,177.83,181.95,177.72
177.61,176.72,179.35,176.55
177.00,176.69,178.08,175.31
176.78,181.89,181.98,175.29
185.30,183.00,185.46,182.06
182.50,182.72,183.95,182.29
182.75,182.74,183.75,181.57
183.00,182.33,183.69,182.29
181.24,183.00,183.37,179.93
183.91,183.00,184.27,182.63
181.44,181.04,182.25,180.56
181.74,177.91,182.24,177.89
178.58,176.66,179.31,176.55
178.01,178.93,180.00,177.68
178.60,178.30,179.43,177.12
179.57,179.86,182.91,179.25
180.69,177.17,180.90,175.49
178.24,181.57,182.00,176.56
182.14,184.02,184.07,181.54
185.02,187.39,191.99,185.02
187.94,188.69,189.90,187.33
188.94,188.99,190.34,188.69
188.61,187.36,188.99,187.24
187.80,185.79,188.61,185.50
185.68,184.31,187.75,183.26
186.52,185.37,188.00,184.35
187.24,189.97,190.87,186.84
191.49,189.13,192.00,188.69
188.81,190.00,192.08,188.40
189.41,188.94,190.20,188.39
188.49,189.27,189.41,186.67
