TGC,Tengasco,NASDAQ
0.80,0.76,0.80,0.70
0.76,0.75,0.78,0.75
0.75,0.70,0.75,0.69
0.71,0.72,0.72,0.70
0.72,0.69,0.72,0.69
0.68,0.69,0.70,0.67
0.70,0.69,0.72,0.69
0.72,0.72,0.75,0.70
0.72,0.70,0.73,0.69
0.72,0.74,0.74,0.70
0.72,0.74,0.74,0.70
0.74,0.80,0.80,0.72
0.80,0.84,0.87,0.79
0.83,0.78,0.83,0.77
0.78,0.75,0.78,0.72
0.75,0.75,0.78,0.73
0.73,0.76,0.82,0.73
0.75,0.75,0.76,0.71
0.72,0.75,0.75,0.72
0.76,0.78,0.78,0.75
0.80,0.78,0.80,0.75
0.79,0.78,0.80,0.78
0.78,0.78,0.78,0.72
0.75,0.80,0.80,0.73
0.79,0.79,0.82,0.78
0.78,0.75,0.81,0.75
0.72,0.72,0.79,0.69
0.68,0.72,0.75,0.67
0.70,0.75,0.77,0.67
0.76,0.76,0.78,0.75
0.76,0.75,0.76,0.74
0.75,0.73,0.77,0.73
0.73,0.75,0.75,0.72
0.73,0.72,0.75,0.68
0.68,0.69,0.72,0.65
0.68,0.71,0.71,0.67
0.71,0.75,0.75,0.71
0.71,0.71,0.74,0.70
0.72,0.75,0.76,0.71
0.74,0.74,0.75,0.72
0.85,0.71,0.85,0.70
0.72,0.72,0.73,0.71
0.73,0.73,0.74,0.73
0.74,0.70,0.74,0.70
0.71,0.72,0.72,0.70
0.73,0.72,0.75,0.70
0.69,0.72,0.72,0.69
0.74,0.71,0.74,0.70
0.70,0.72,0.74,0.70
0.75,0.73,0.75,0.73
0.71,0.73,0.73,0.71
0.74,0.76,0.76,0.74
0.73,0.76,0.76,0.73
0.73,0.74,0.76,0.73
0.73,0.72,0.73,0.71
0.72,0.73,0.74,0.72
0.73,0.70,0.73,0.70
0.70,0.71,0.72,0.70
0.75,0.74,0.75,0.71
0.70,0.72,0.73,0.70
0.71,0.71,0.75,0.70
0.70,0.72,0.73,0.70
0.73,0.72,0.74,0.70
0.71,0.72,0.73,0.71
0.72,0.77,0.78,0.72
0.77,0.84,0.93,0.77
0.86,0.85,0.87,0.83
0.85,0.82,0.86,0.81
0.81,0.75,0.81,0.75
0.74,0.74,0.78,0.74
0.73,0.71,0.73,0.68
0.72,0.74,0.79,0.72
0.77,0.75,0.80,0.75
0.78,0.74,0.78,0.71
0.75,0.75,0.77,0.73
0.73,0.73,0.75,0.72
0.73,0.73,0.75,0.71
0.75,0.74,0.75,0.70
0.72,0.72,0.74,0.70
0.72,0.73,0.75,0.71
0.73,0.72,0.73,0.71
0.71,0.73,0.73,0.71
0.72,0.71,0.72,0.71
0.71,0.71,0.75,0.68
0.70,0.69,0.72,0.69
0.69,0.69,0.71,0.69
0.67,0.71,0.72,0.67
0.70,0.71,0.72,0.70
0.70,0.71,0.71,0.69
0.71,0.71,0.71,0.69
0.70,0.69,0.72,0.68
0.69,0.70,0.75,0.69
0.70,0.74,0.75,0.69
0.75,0.72,0.76,0.70
0.71,0.73,0.73,0.70
0.71,0.71,0.74,0.70
0.76,0.75,0.76,0.72
0.77,0.82,0.82,0.75
0.81,0.82,0.82,0.78
0.80,0.84,0.85,0.80
0.84,0.83,0.84,0.78
0.82,0.77,0.83,0.77
0.77,0.77,0.80,0.77
0.77,0.76,0.79,0.76
0.76,0.77,0.78,0.76
0.76,0.78,0.80,0.76
0.80,0.78,0.82,0.77
0.77,0.79,0.82,0.77
0.82,0.80,0.82,0.78
0.79,0.82,0.82,0.79
0.80,0.81,0.85,0.80
0.81,0.82,0.82,0.78
0.81,0.82,0.84,0.78
0.80,0.82,0.85,0.78
0.82,0.85,0.85,0.82
0.85,0.84,0.85,0.83
0.84,0.88,0.88,0.83
0.88,0.90,0.90,0.87
0.90,0.92,0.92,0.89
0.91,0.88,0.91,0.86
0.88,0.90,0.91,0.86
1.00,0.89,1.00,0.89
1.00,0.89,1.00,0.88
0.92,0.86,0.92,0.83
0.88,0.89,0.92,0.87
0.92,0.89,0.92,0.84
0.87,0.87,0.89,0.85
0.86,0.89,0.90,0.85
0.90,0.96,0.96,0.90
0.99,1.08,1.13,0.98
1.15,1.17,1.18,1.11
1.17,1.10,1.18,1.03
1.10,1.15,1.17,1.06
1.13,1.14,1.20,1.10
1.15,1.11,1.16,1.05
1.14,1.03,1.14,1.03
1.03,1.07,1.09,1.03
1.07,1.04,1.09,1.02
1.05,1.00,1.07,0.97
0.94,0.98,1.00,0.93
0.95,1.05,1.05,0.95
1.05,1.01,1.07,1.00
1.01,1.04,1.05,0.99
1.02,1.05,1.08,1.01
1.06,1.02,1.07,1.02
1.03,1.05,1.05,1.01
1.05,1.02,1.06,1.02
1.05,1.05,1.05,1.01
1.07,1.10,1.15,1.07
1.11,1.07,1.11,1.03
1.09,1.10,1.12,1.06
1.10,1.02,1.12,0.99
1.05,1.07,1.08,1.02
1.07,1.05,1.08,1.03
1.05,1.04,1.08,1.04
1.04,1.05,1.10,1.03
1.08,1.08,1.12,1.07
1.12,1.10,1.12,1.00
1.09,1.07,1.10,1.03
1.06,1.04,1.07,1.02
1.04,1.00,1.04,0.99
1.00,1.00,1.02,1.00
1.00,0.95,1.00,0.95
0.95,0.88,0.97,0.88
0.90,0.96,0.96,0.89
0.95,0.92,0.98,0.92
0.92,0.96,0.97,0.90
0.98,0.94,0.98,0.92
0.94,0.97,0.97,0.94
0.97,0.94,0.97,0.91
0.93,0.92,0.95,0.91
0.94,0.93,0.94,0.91
0.95,0.93,0.96,0.90
0.95,0.97,0.97,0.93
0.98,0.96,0.98,0.95
0.96,0.96,0.99,0.95
0.97,0.96,0.98,0.96
0.97,0.96,0.98,0.96
0.98,0.98,1.00,0.96
0.99,0.97,0.99,0.96
1.02,1.05,1.05,1.00
1.04,1.05,1.07,1.01
1.03,0.99,1.03,0.99
1.00,1.03,1.04,1.00
1.03,0.98,1.03,0.98
1.01,1.00,1.02,0.98
0.99,0.99,1.01,0.97
0.98,0.96,0.98,0.94
0.95,0.90,1.00,0.88
0.88,0.79,0.89,0.76
0.78,0.80,0.84,0.78
0.80,0.82,0.82,0.80
0.84,0.83,0.84,0.80
0.81,0.81,0.83,0.80
0.80,0.76,0.80,0.76
0.79,0.79,0.80,0.75
0.80,0.78,0.80,0.77
0.78,0.78,0.80,0.78
0.78,0.77,0.78,0.72
0.78,0.78,0.78,0.75
0.78,0.75,0.78,0.74
0.74,0.72,0.74,0.72
0.72,0.74,0.76,0.72
0.76,0.79,0.80,0.76
0.80,0.75,0.80,0.75
0.74,0.75,0.79,0.73
0.76,0.72,0.77,0.72
0.71,0.73,0.75,0.71
0.73,0.73,0.74,0.71
0.73,0.75,0.78,0.73
0.75,0.77,0.80,0.73
0.77,0.75,0.77,0.71
0.73,0.74,0.75,0.71
0.75,0.73,0.75,0.73
0.72,0.70,0.75,0.69
0.70,0.69,0.71,0.69
0.70,0.69,0.71,0.68
0.69,0.70,0.72,0.68
0.69,0.71,0.71,0.69
0.70,0.80,0.80,0.70
0.79,0.80,0.80,0.76
0.81,0.81,0.81,0.80
0.82,0.83,0.83,0.80
0.81,0.79,0.83,0.78
0.78,0.81,0.82,0.78
0.79,0.78,0.79,0.78
0.82,0.80,0.82,0.78
0.81,0.79,0.81,0.78
0.77,0.78,0.79,0.77
0.77,0.79,0.80,0.77
0.80,0.79,0.80,0.77
0.79,0.80,0.82,0.79
0.82,0.80,0.82,0.79
0.81,0.86,0.86,0.80
0.86,0.83,0.86,0.79
0.80,0.85,0.85,0.80
0.82,0.82,0.84,0.82
0.82,0.84,0.85,0.82
0.83,0.85,0.86,0.83
0.84,0.82,0.86,0.82
0.80,0.81,0.81,0.80
0.82,0.81,0.85,0.80
0.81,0.80,0.85,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.81,0.80
0.80,0.79,0.81,0.79
0.76,0.76,0.79,0.75
0.76,0.77,0.79,0.76
0.77,0.79,0.79,0.77
0.77,0.78,0.80,0.77
0.77,0.80,0.80,0.77
0.80,0.74,0.82,0.73
0.74,0.77,0.77,0.74
0.75,0.76,0.76,0.72
0.75,0.75,0.76,0.74
0.77,0.74,0.77,0.71
0.73,0.71,0.75,0.71
0.71,0.72,0.74,0.71
0.72,0.70,0.72,0.70
0.70,0.68,0.72,0.68
0.72,0.75,0.76,0.70
0.74,0.73,0.76,0.73
0.72,0.72,0.75,0.72
0.73,0.73,0.74,0.72
0.74,0.71,0.74,0.71
0.70,0.72,0.72,0.70
0.72,0.73,0.73,0.70
0.72,0.72,0.73,0.70
0.72,0.70,0.73,0.70
0.70,0.70,0.72,0.70
0.70,0.73,0.74,0.70
0.78,0.70,0.78,0.69
0.70,0.71,0.73,0.70
0.74,0.73,0.75,0.73
0.75,0.73,0.75,0.72
0.75,0.74,0.75,0.71
0.71,0.73,0.73,0.70
0.72,0.74,0.74,0.70
0.73,0.70,0.78,0.70
0.70,0.72,0.74,0.70
0.72,0.71,0.73,0.70
0.71,0.72,0.75,0.70
0.72,0.72,0.73,0.70
0.71,0.72,0.74,0.71
0.73,0.73,0.74,0.72
0.72,0.71,0.73,0.70
0.70,0.71,0.72,0.70
0.71,0.72,0.72,0.71
0.70,0.72,0.73,0.70
0.72,0.73,0.73,0.71
0.73,0.73,0.74,0.72
0.71,0.71,0.73,0.71
0.71,0.71,0.72,0.71
0.71,0.70,0.71,0.69
0.70,0.69,0.71,0.69
0.69,0.70,0.74,0.69
0.70,0.69,0.71,0.69
0.73,0.69,0.73,0.69
0.69,0.70,0.70,0.67
0.68,0.69,0.69,0.68
0.68,0.68,0.70,0.67
0.68,0.68,0.69,0.67
0.68,0.68,0.70,0.67
0.68,0.67,0.68,0.67
0.74,0.68,0.74,0.66
0.67,0.69,0.69,0.67
0.69,0.68,0.69,0.67
0.65,0.66,0.69,0.65
0.69,0.67,0.69,0.67
0.69,0.64,0.69,0.60
0.65,0.61,0.65,0.60
0.60,0.62,0.64,0.60
0.60,0.63,0.65,0.60
0.63,0.64,0.66,0.62
0.62,0.63,0.63,0.61
0.62,0.59,0.63,0.59
0.59,0.65,0.67,0.59
0.62,0.65,0.66,0.60
0.64,0.66,0.66,0.63
0.66,0.64,0.66,0.63
0.66,0.65,0.66,0.65
0.65,0.63,0.65,0.61
0.61,0.62,0.65,0.60
0.63,0.62,0.64,0.60
0.63,0.63,0.64,0.62
0.60,0.66,0.66,0.60
0.66,0.63,0.66,0.63
0.65,0.61,0.65,0.60
0.61,0.61,0.63,0.61
0.61,0.60,0.63,0.60
0.60,0.60,0.61,0.58
0.60,0.61,0.63,0.60
0.61,0.60,0.63,0.60
0.59,0.60,0.61,0.59
0.61,0.60,0.61,0.59
0.59,0.59,0.61,0.59
0.59,0.59,0.60,0.59
0.59,0.59,0.60,0.59
0.59,0.61,0.61,0.59
0.60,0.60,0.62,0.59
0.60,0.61,0.61,0.60
0.60,0.60,0.61,0.60
0.61,0.61,0.61,0.59
0.61,0.60,0.61,0.60
0.59,0.60,0.61,0.59
0.59,0.60,0.60,0.59
0.61,0.64,0.65,0.60
0.64,0.64,0.66,0.61
0.64,0.65,0.66,0.62
0.64,0.75,0.76,0.63
0.75,0.78,0.82,0.75
0.79,0.76,0.79,0.75
0.76,0.74,0.76,0.70
0.70,0.71,0.73,0.70
0.70,0.71,0.74,0.70
0.72,0.70,0.72,0.70
0.69,0.69,0.70,0.67
0.67,0.71,0.72,0.66
0.66,0.72,0.72,0.66
0.72,0.74,0.75,0.70
0.75,0.72,0.75,0.71
0.71,0.69,0.72,0.69
0.71,0.74,0.75,0.70
0.73,0.72,0.73,0.71
0.73,0.72,0.73,0.71
0.71,0.71,0.72,0.70
0.71,0.71,0.72,0.70
0.71,0.71,0.72,0.70
0.71,0.70,0.72,0.70
0.71,0.69,0.71,0.69
0.69,0.70,0.72,0.69
0.70,0.68,0.71,0.68
0.68,0.69,0.70,0.68
0.68,0.68,0.70,0.68
0.70,0.70,0.70,0.69
0.68,0.68,0.69,0.67
0.68,0.68,0.70,0.67
0.68,0.69,0.69,0.66
0.69,0.70,0.70,0.68
0.69,0.66,0.70,0.65
0.66,0.65,0.68,0.64
0.65,0.67,0.70,0.65
0.67,0.66,0.68,0.65
0.66,0.66,0.67,0.66
0.66,0.65,0.67,0.65
0.65,0.68,0.68,0.65
0.70,0.69,0.70,0.67
0.70,0.65,0.70,0.65
0.65,0.64,0.70,0.64
0.70,0.64,0.70,0.64
0.64,0.65,0.68,0.64
0.65,0.65,0.66,0.64
0.65,0.64,0.66,0.64
0.64,0.65,0.66,0.64
0.64,0.64,0.67,0.64
0.65,0.66,0.67,0.65
0.67,0.66,0.67,0.66
0.66,0.65,0.66,0.65
0.65,0.65,0.66,0.64
0.63,0.65,0.68,0.63
0.65,0.65,0.67,0.64
0.65,0.65,0.65,0.65
0.65,0.65,0.67,0.65
0.65,0.66,0.67,0.65
0.65,0.64,0.66,0.63
0.65,0.65,0.66,0.65
0.65,0.62,0.65,0.62
0.62,0.61,0.65,0.60
0.59,0.57,0.61,0.57
0.57,0.55,0.60,0.55
0.55,0.58,0.60,0.55
0.58,0.56,0.58,0.55
0.54,0.56,0.58,0.54
0.58,0.57,0.58,0.55
0.58,0.58,0.59,0.56
0.58,0.56,0.58,0.56
0.56,0.56,0.60,0.54
0.55,0.56,0.59,0.55
0.58,0.55,0.58,0.55
0.55,0.57,0.57,0.55
0.58,0.56,0.58,0.55
0.56,0.55,0.57,0.55
0.55,0.56,0.57,0.55
0.57,0.57,0.57,0.55
0.55,0.55,0.58,0.55
0.56,0.55,0.56,0.55
0.56,0.55,0.57,0.55
0.56,0.55,0.58,0.55
0.55,0.55,0.58,0.55
0.55,0.56,0.56,0.53
0.55,0.57,0.58,0.55
0.57,0.57,0.59,0.57
0.59,0.59,0.60,0.57
0.60,0.62,0.66,0.60
0.63,0.60,0.64,0.60
0.63,0.58,0.63,0.58
0.48,0.58,0.61,0.48
0.60,0.58,0.60,0.57
0.58,0.57,0.58,0.57
0.55,0.57,0.57,0.55
0.55,0.57,0.71,0.55
0.55,0.56,0.57,0.55
0.54,0.58,0.58,0.54
0.55,0.55,0.57,0.55
0.55,0.57,0.58,0.55
0.58,0.59,0.62,0.57
0.60,0.58,0.61,0.58
0.57,0.55,0.57,0.55
0.55,0.56,0.57,0.54
0.56,0.59,0.59,0.55
0.59,0.59,0.60,0.56
0.57,0.60,0.60,0.56
0.58,0.58,0.60,0.57
0.58,0.58,0.58,0.55
0.59,0.56,0.59,0.55
0.55,0.59,0.59,0.55
0.58,0.58,0.58,0.56
0.57,0.57,0.58,0.56
0.56,0.55,0.57,0.54
0.55,0.56,0.58,0.54
0.55,0.54,0.55,0.53
0.54,0.55,0.55,0.54
