CWEI,Clayton Williams Energy,NASDAQ
64.97,63.20,66.54,62.69
63.72,61.46,64.85,61.35
58.66,57.59,61.14,57.46
58.04,56.14,60.08,55.90
56.64,60.20,60.38,55.53
59.96,57.39,61.67,56.71
56.57,58.29,58.39,54.59
58.53,57.75,58.69,55.52
57.65,57.44,58.90,56.98
58.00,60.00,60.84,57.87
58.68,56.51,59.15,56.00
56.52,57.14,57.48,53.80
54.98,53.65,55.52,53.55
54.24,53.09,54.85,51.91
53.75,56.20,56.56,53.46
56.90,58.89,60.09,56.57
60.30,57.37,60.94,56.82
56.86,57.65,58.74,56.02
58.60,54.09,59.60,54.03
54.66,54.89,56.01,53.30
54.44,52.81,55.06,52.45
53.07,54.43,54.76,52.08
54.41,56.00,56.00,53.87
54.79,50.80,54.79,50.75
51.11,50.44,51.65,50.09
50.62,49.88,51.27,48.84
49.64,44.32,49.64,44.28
45.00,45.06,45.36,43.76
43.92,42.30,44.57,41.80
42.13,41.97,43.14,41.52
42.25,42.11,43.70,41.88
41.49,44.16,44.32,41.05
46.32,48.38,48.99,46.32
48.58,48.99,49.05,46.45
49.51,52.55,52.60,49.51
52.51,49.92,52.51,49.55
48.93,48.68,49.56,47.69
48.51,48.36,49.46,48.16
48.73,46.21,48.75,45.44
46.27,45.86,46.89,44.54
45.20,44.64,45.26,43.93
44.91,45.71,46.14,44.63
45.36,45.65,46.35,44.89
46.49,47.91,48.40,44.44
47.82,46.95,48.17,46.41
47.41,49.13,49.50,47.41
48.57,50.13,50.58,48.01
48.48,46.58,48.63,45.62
46.37,44.07,47.03,43.28
44.51,44.24,45.57,43.34
46.58,42.16,46.58,40.10
41.02,41.64,42.51,39.09
41.68,42.21,42.36,41.24
42.06,41.28,42.62,41.14
41.60,41.77,42.18,40.83
41.00,41.05,42.16,40.68
42.32,42.37,43.65,41.62
42.58,44.31,44.53,42.58
44.98,45.44,47.58,44.94
45.41,44.56,46.04,44.10
44.51,45.25,45.50,43.96
44.76,46.01,46.01,43.76
45.70,45.41,46.04,44.73
45.77,46.80,47.05,45.03
46.80,47.86,48.43,46.29
48.16,50.66,51.48,48.16
50.53,49.31,50.78,48.87
49.33,48.63,49.36,48.39
49.19,48.82,50.70,48.48
48.74,48.38,49.07,47.48
48.05,46.69,48.43,46.11
46.48,46.79,47.26,45.93
47.07,47.26,47.94,46.16
47.04,49.08,49.21,47.04
49.09,48.32,49.22,48.00
47.94,47.24,48.14,46.76
47.94,48.05,48.92,47.16
48.24,47.86,48.47,46.16
48.05,49.21,49.62,48.05
49.58,51.06,52.25,49.46
51.05,53.51,53.99,51.05
54.00,54.17,55.39,54.00
54.76,55.23,55.50,54.47
55.67,56.85,57.33,54.59
57.08,57.23,58.48,55.10
57.89,60.45,61.09,57.89
58.68,58.53,60.24,57.49
59.18,58.76,60.55,58.21
58.50,53.89,58.77,53.03
53.08,54.44,54.90,52.30
56.06,53.65,56.06,53.65
53.05,52.06,53.74,52.01
52.63,52.38,53.90,52.25
52.38,51.37,52.75,50.92
52.05,52.73,53.42,51.81
52.62,51.89,53.13,51.73
52.54,52.51,53.02,51.77
52.66,52.05,52.81,51.17
50.96,50.10,51.25,49.81
50.53,50.15,50.74,48.60
50.41,49.32,50.87,48.75
48.88,48.70,49.24,48.13
49.24,48.84,49.71,48.23
48.68,47.76,48.93,47.35
48.38,47.63,49.00,47.46
47.55,47.56,48.09,47.00
47.54,46.84,47.75,46.49
47.20,47.73,48.18,47.17
47.79,48.54,48.68,47.76
48.22,47.55,48.43,47.43
47.13,46.74,47.38,46.01
46.31,45.93,47.09,45.44
45.00,45.10,45.63,44.27
45.44,44.03,45.82,43.51
43.83,43.00,44.79,42.30
42.85,42.63,44.23,42.50
42.60,42.35,43.13,41.98
